,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,1671.0,104.0,347.0,-239.0,-119.0,-121.0,-4068.0,441.0,-1065.0,-1025.0,-2036.0,-495.0,-3577.0,628.0
total-depreciation-amortization-cash-flow,929.0,848.0,826.0,788.0,920.0,1165.0,5175.0,1435.0,2698.0,846.0,3654.0,939.0,781.0,314.0
other-non-cash-items,-129.0,407.0,-197.0,-184.0,-494.0,-117.0,-131.0,-631.0,65.0,89.0,-333.0,443.0,4283.0,364.0
total-non-cash-items,800.0,1255.0,629.0,604.0,426.0,1048.0,5044.0,804.0,2763.0,935.0,3321.0,1382.0,5064.0,678.0
change-in-accounts-receivable,-110.0,-30.0,-216.0,-17.0,53.0,-101.0,37.0,42.0,52.0,1.0,96.0,-72.0,64.0,-24.0
change-in-inventories,,,,,,,,,,,,,,
change-in-assets-liabilities,-1336.0,8.0,-171.0,360.0,370.0,300.0,312.0,46.0,-272.0,554.0,-437.0,104.0,114.0,-89.0
total-change-in-assets-liabilities,-2160.0,66.0,206.0,326.0,962.0,183.0,304.0,-237.0,-1373.0,925.0,-69.0,47.0,358.0,-403.0
cash-flow-from-operating-activities,310.0,1426.0,1182.0,691.0,1269.0,1110.0,1280.0,1008.0,325.0,835.0,1216.0,934.0,1845.0,903.0
net-change-in-property-plant-equipment,,,,,,,,,,,,,,
net-acquisitions-divestitures,-1448.0,-560.0,-408.0,-1734.0,-500.0,-244.0,-356.0,1070.0,-205.0,-527.0,591.0,-261.0,-9181.0,-211.0
net-change-in-short-term-investments,,,,,,,,,,,,,159.0,185.0
net-change-in-long-term-investments,-172.0,-131.0,-132.0,-266.0,14.0,-44.0,-22.0,-11.0,,-50.0,93.0,120.0,33.0,-203.0
net-change-in-investments-total,-172.0,-131.0,-132.0,-266.0,14.0,-44.0,-22.0,-11.0,,-50.0,93.0,120.0,192.0,-18.0
investing-activities-other,,,,61.0,,5.0,9.0,5.0,4.0,91.0,,,,
cash-flow-from-investing-activities,-1921.0,-1010.0,-887.0,-2186.0,-745.0,-475.0,-579.0,776.0,-468.0,-793.0,324.0,-474.0,-9312.0,-551.0
net-long-term-debt,366.0,-1033.0,-315.0,1385.0,,-170.0,-156.0,-1250.0,-1712.0,-2825.0,-1175.0,-1000.0,7034.0,231.0
net-current-debt,1020.0,1123.0,60.0,,,,-9.0,,1173.0,1972.0,-250.0,246.0,-146.0,-544.0
debt-issuance-retirement-net-total,1386.0,90.0,-255.0,1385.0,,-170.0,-165.0,-1250.0,-539.0,-853.0,-1425.0,-754.0,6888.0,-313.0
net-common-equity-issued-repurchased,101.0,85.0,111.0,114.0,-65.0,-426.0,-579.0,-471.0,31.0,33.0,71.0,72.0,1545.0,-640.0
net-total-equity-issued-repurchased,,,,,,,,,,,,,,
financial-activities-other,-56.0,-65.0,-62.0,-222.0,-85.0,-28.0,-20.0,-7.0,,,4.0,2.0,6.0,-1.0
cash-flow-from-financial-activities,1432.0,110.0,-206.0,1276.0,-150.0,-624.0,-764.0,-1728.0,-508.0,-820.0,-1350.0,-680.0,8439.0,-954.0
net-cash-flow,-188.0,530.0,87.0,-223.0,370.0,10.0,-60.0,54.0,-651.0,-777.0,189.0,-216.0,979.0,-607.0
stock-based-compensation,,,,,,,,,,,,,,
