,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,92.418,102.45,81.678,57.217,57.303,25.915,62.303,10.968,9.647,10.392,7.929,209.248,-30.1,-110.458
total-depreciation-amortization-cash-flow,37.857,31.848,24.665,22.061,23.826,22.473,21.775,23.12,21.828,20.505,21.055,19.878,19.028,19.964
other-non-cash-items,-8.615,17.351,-0.833,29.978,-14.133,-1.808,-37.803,2.815,4.175,10.164,9.833,-202.81,50.362,154.586
total-non-cash-items,29.242,49.199,23.832,52.039,9.693,20.665,-16.028,25.935,26.003,30.669,30.888,-182.932,69.39,174.55
change-in-accounts-receivable,-62.183,40.651,-5.12,-14.378,-8.955,-27.707,-6.31,2.066,-7.148,5.93,5.547,-4.542,-2.399,-3.225
change-in-inventories,,,,,,,,,,,,,,
change-in-assets-liabilities,37.47,-9.888,44.789,11.115,3.62,27.222,10.742,-3.371,2.023,-0.273,5.746,1.681,-8.885,-11.222
total-change-in-assets-liabilities,-34.678,-2.634,28.046,-24.205,-2.028,-9.706,-2.729,1.419,-12.366,-6.669,-33.828,-27.109,-4.57,-21.657
cash-flow-from-operating-activities,86.982,149.015,133.556,85.051,64.968,36.874,43.546,38.322,23.284,34.392,4.989,-0.793,34.72,42.435
net-change-in-property-plant-equipment,,,,,,,,,,,,,,
net-acquisitions-divestitures,,,,,,,,,,,,,,
investing-activities-other,,,,-0.056,-1.404,-1.655,-2.042,,-1.166,0.067,0.012,0.898,-1.46,1.482
cash-flow-from-investing-activities,-486.842,-49.307,-73.976,-60.239,-24.798,-56.597,-20.182,-15.488,-39.052,-12.52,-30.637,440.718,-41.254,-39.639
net-long-term-debt,,,,,,,,,,,,,,
debt-issuance-retirement-net-total,300.0,,-30.0,-30.0,26.272,15.25,-34.0,-17.9,-4.9,-3.0,22.142,-57.509,-26.678,-39.21
net-common-equity-issued-repurchased,14.041,4.781,4.941,5.816,4.203,3.224,1.355,0.145,,0.009,0.018,21.898,21.31,3.906
net-total-equity-issued-repurchased,14.041,4.781,4.941,5.816,4.203,3.224,1.355,0.145,,0.009,0.018,21.898,21.31,3.906
total-common-preferred-stock-dividends-paid,,,,,,,,,,-0.889,,-402.389,-3.21,-3.176
financial-activities-other,,,-2.515,,-45.0,-0.301,-0.022,-1.881,-0.054,-0.048,-0.05,-0.059,-0.113,-0.055
cash-flow-from-financial-activities,314.041,4.781,-27.574,-24.184,-14.525,18.173,-32.667,-19.636,-4.954,-3.928,22.11,-438.059,-8.691,-38.535
net-cash-flow,-87.432,109.143,30.167,-1.544,22.773,-0.806,-8.37,2.307,-22.751,19.825,-5.948,4.742,-11.596,-45.509
stock-based-compensation,4.094,8.914,7.766,5.599,5.002,2.825,1.802,1.565,1.822,1.281,1.967,3.142,1.281,1.936
common-stock-dividends-paid,,,,,,,,,,-0.889,,-402.389,-3.21,-3.176
