,2019-03-31,2018-03-31,2017-03-31,2016-03-31,2015-03-31,2014-03-31,2013-03-31,2012-03-31,2011-03-31,2010-03-31,2009-03-31,2008-03-31,2007-03-31,2006-03-31,2005-03-31
net-income-loss,46.703,35.695,29.479,28.525,28.59,34.392,26.73,26.552,24.663,26.096,19.277,23.384,18.576,9.753,10.157
total-depreciation-amortization-cash-flow,22.984,21.775,20.948,19.952,17.995,16.411,15.739,14.723,12.249,11.988,11.778,11.768,10.122,10.94,11.085
other-non-cash-items,7.986,6.048,4.28,2.179,4.528,1.031,5.808,13.683,5.758,5.331,3.875,1.855,2.585,2.684,5.253
total-non-cash-items,30.97,27.823,25.228,22.131,22.523,17.442,21.547,28.406,18.007,17.319,15.653,13.623,12.707,13.624,16.338
change-in-accounts-receivable,,,,,,,,,,,,,,,
change-in-accounts-payable,-1.975,-3.13,3.35,-2.537,-2.695,2.535,0.814,-1.817,0.085,-4.058,-1.939,2.654,-0.294,1.419,1.528
change-in-assets-liabilities,-9.693,-4.646,-6.862,-2.105,-7.007,-4.32,0.443,-6.694,-3.286,-2.05,-0.827,-1.982,-0.472,1.523,1.548
total-change-in-assets-liabilities,0.966,-1.366,-2.655,0.655,-6.797,2.966,6.542,-19.286,2.392,-5.355,-5.087,0.26,-1.291,5.367,-0.14
cash-flow-from-operating-activities,78.639,62.152,52.052,51.311,44.316,54.8,54.819,35.672,45.062,38.06,29.843,37.267,29.992,28.744,26.355
net-change-in-property-plant-equipment,,,,,,,,,,,,,,,
net-acquisitions-divestitures,,,,,,,,,,,,,,,
net-change-in-long-term-investments,,,0.034,-0.6,-1.4,,,,,,,,,,
net-change-in-investments-total,,,,,,,,,,,,,,,
cash-flow-from-investing-activities,,,,,,,,,,,,,,,
net-common-equity-issued-repurchased,-27.423,-7.303,-25.213,-27.405,-29.795,-23.447,-27.015,-19.081,-25.563,-29.496,-21.32,-5.373,-12.265,-15.729,-14.411
net-total-equity-issued-repurchased,,,,,,,,,,,,,,,
financial-activities-other,,,,0.713,0.397,2.035,0.308,0.996,2.267,0.729,0.63,0.34,3.592,,
cash-flow-from-financial-activities,-27.423,-7.303,-25.213,-26.692,-29.398,-21.412,-26.707,-18.085,-23.296,-28.767,-20.69,-5.033,-8.673,-15.729,-14.411
net-cash-flow,35.942,27.16,-4.168,7.263,-9.35,15.044,13.225,-5.672,2.027,-2.975,-4.694,2.891,0.814,5.261,0.304
stock-based-compensation,,,,,,,,,,,,,,,
