,2019-06-30,2018-06-30,2017-06-30,2016-06-30,2015-06-30,2014-06-30,2013-06-30,2012-06-30,2011-06-30,2010-06-30,2009-06-30,2008-12-31,2008-06-30,2007-12-31,2007-06-30,2006-12-31,2006-06-30,2005-12-31,2005-06-30
net-income-loss,-0.255,1.712,-1.792,-56.024,-32.822,-35.29,-24.037,-16.79,-11.125,-23.904,-31.895,-41.125,-39.167,7.692,-15.596,-29.249,0.0,-33.669,0.0
total-depreciation-amortization-cash-flow,3.391,3.934,4.135,3.917,2.321,1.504,0.914,0.804,0.691,0.856,1.698,1.061,0.241,2.253,-0.095,0.683,0.7,0.824,
other-non-cash-items,12.233,10.59,11.848,14.04,16.003,11.773,7.948,6.123,7.291,9.081,2.758,1.178,9.728,2.784,1.717,1.18,,0.058,
total-non-cash-items,15.624,14.524,15.983,17.957,18.324,13.277,8.862,6.927,7.982,9.937,4.456,2.239,9.969,5.037,1.622,1.863,0.7,0.882,
change-in-accounts-receivable,-4.915,-2.878,-5.809,7.327,-10.568,-6.718,-1.281,-0.391,-3.718,-1.057,-3.672,,-5.061,,,,,,
change-in-inventories,,,,,,,,,,,,,,,,,,,
change-in-assets-liabilities,-2.277,2.497,8.177,0.728,-1.183,-0.564,0.925,-0.379,0.323,0.006,2.362,1.678,-1.323,-51.894,-0.113,49.971,,-0.696,
total-change-in-assets-liabilities,-5.161,-6.562,5.397,14.484,-7.859,-4.825,4.41,-1.737,-5.468,0.4,-2.271,-5.717,-2.67,-47.459,1.698,49.453,50.43,6.3,
cash-flow-from-operating-activities,10.208,9.674,19.588,-23.583,-22.357,-26.838,-10.765,-11.34,-8.361,-13.567,-29.71,-44.636,-31.868,-34.715,-12.276,22.172,51.13,-26.459,
net-change-in-property-plant-equipment,-2.665,-1.956,-0.981,-3.818,-20.325,-12.717,-1.672,-0.437,-1.081,-0.793,-0.957,-0.007,-0.72,-0.225,-0.465,-1.169,-0.55,-1.569,
net-change-in-intangible-assets,,,,,,,,,,,,,,,,,0.0,,
net-change-in-short-term-investments,-47.742,0.194,0.046,1.212,-1.747,0.0,0.0,,,22.95,0.05,34.393,-11.326,54.502,-11.329,-46.261,,-31.781,
net-change-in-long-term-investments,-3.055,-2.538,,,,,,,,,,,,,,,,,
net-change-in-investments-total,-50.797,-2.344,0.046,1.212,-1.747,,,,,22.95,0.05,34.393,-11.326,54.502,-11.329,-46.261,-28.16,-31.781,
investing-activities-other,,0.318,,-0.35,,,,,,-0.4,36.933,,-0.397,,-0.058,,,,
cash-flow-from-investing-activities,-54.352,-5.095,-1.779,-3.769,-23.027,-13.419,-2.455,-0.975,-1.737,21.757,36.026,34.386,-12.443,54.277,-11.852,-47.43,-28.71,-33.35,
net-long-term-debt,,,20.944,,-2.4,-5.05,-0.3,5.95,5.052,-19.366,18.9,,42.184,,30.294,-0.169,,-1.173,
net-current-debt,,,,,,,,,,,,,,,,-0.227,-0.16,0.227,
debt-issuance-retirement-net-total,,,20.944,,-2.4,-5.05,-0.3,5.95,5.052,-19.366,18.9,,42.184,,30.294,-0.396,0.0,-0.946,
net-common-equity-issued-repurchased,2.157,3.755,8.517,4.148,5.034,104.002,45.888,20.735,2.488,1.482,0.525,0.019,1.865,0.316,0.197,44.936,,0.291,
net-total-equity-issued-repurchased,,,,,,,,,,,,,,,,,0.0,,
financial-activities-other,-0.036,0.014,0.004,,,,,,,,,,-0.051,,-1.776,0.356,,,
cash-flow-from-financial-activities,2.121,3.769,29.465,4.148,2.634,98.952,45.588,26.685,7.54,-17.884,19.5,0.019,43.998,0.316,30.482,44.996,0.11,59.522,
net-cash-flow,-42.023,8.348,47.274,-23.204,-42.75,58.695,32.368,14.37,-2.558,-9.694,25.816,-10.231,-0.313,19.878,6.354,19.738,22.53,-0.287,
stock-based-compensation,,,,,,,,,,,,,,,,,,,
