,2019-06-30,2018-06-30,2017-06-30,2016-06-30,2015-06-30,2014-06-30,2013-06-30,2012-06-30,2011-06-30
net-income-loss,137.4,83.6,109.8,111.2,210.3,15.2,-49.7,-23.2,-50.1
total-depreciation-amortization-cash-flow,242.8,194.8,153.3,145.3,156.8,156.9,171.2,144.4,125.5
other-non-cash-items,27.8,87.3,48.2,0.5,-107.0,-6.7,41.5,42.0,45.8
total-non-cash-items,270.6,282.1,201.5,145.8,49.8,150.2,212.7,186.4,171.3
change-in-accounts-receivable,-118.9,-33.6,-54.9,-54.1,-7.5,-38.0,-23.6,-64.9,-18.9
change-in-inventories,-34.0,-1.8,-13.5,-35.4,-19.2,-8.5,-10.5,1.4,-2.0
change-in-accounts-payable,36.2,32.3,9.9,21.4,-11.7,-7.6,17.9,7.7,-3.5
change-in-assets-liabilities,,,,,,,,-21.3,
total-change-in-assets-liabilities,-160.3,8.8,-11.8,-101.7,-88.3,12.9,-25.3,-75.3,-21.5
cash-flow-from-operating-activities,247.7,374.5,299.5,155.3,171.8,178.3,137.7,87.9,99.7
net-change-in-property-plant-equipment,,,,,,,,,
net-acquisitions-divestitures,,,,,,,,,
investing-activities-other,-1.8,3.4,,,,4.0,,43.7,32.9
cash-flow-from-investing-activities,-1510.4,-919.3,-309.0,-137.7,-271.8,-171.2,-122.1,-494.5,-50.4
net-long-term-debt,157.2999,423.7,178.9,-18.6,-729.4,-17.6001,-35.8,356.3,-24.1
net-current-debt,-8.4,-3.1,-5.8,2.3,,-17.5,-3.9,-2.9,-3.3
debt-issuance-retirement-net-total,148.8999,420.6,173.1,-16.3,-729.4,-35.1001,-39.7,353.4,-27.4
net-common-equity-issued-repurchased,445.5,277.8,,-5.8,948.8,0.2,1.2,1.1,3.9
net-total-equity-issued-repurchased,,,,,,,,,
financial-activities-other,-39.3,-29.3,-11.8,-8.7,-22.9,-7.2,-10.8,-1.6,-2.6
cash-flow-from-financial-activities,1201.4,669.1,161.3,-30.8,196.5,-42.1,-49.3,352.9,-26.1
net-cash-flow,-64.8,121.9,156.7,-19.7,76.9,-32.0,-32.6,-66.1,41.1
stock-based-compensation,,,,,,,,,
