,2018-12-31,2017-12-31,2016-12-31
net-income-loss,107.382,92.044,100.264
total-depreciation-amortization-cash-flow,64.1,59.053,55.448
other-non-cash-items,1.809,13.139,-0.716
total-non-cash-items,65.909,72.192,54.732
change-in-accounts-receivable,-13.19,-33.941,-13.373
change-in-inventories,,,
change-in-assets-liabilities,-34.594,-5.106,-4.22
total-change-in-assets-liabilities,-15.387,-56.045,-50.197
cash-flow-from-operating-activities,157.904,108.191,104.799
net-change-in-property-plant-equipment,,,
net-change-in-long-term-investments,-8.166,-108.933,-110.615
net-change-in-investments-total,,,
cash-flow-from-investing-activities,-29.368,-128.526,-122.757
net-long-term-debt,,,
debt-issuance-retirement-net-total,,,
total-common-preferred-stock-dividends-paid,-9.859,-20.481,-22.204
financial-activities-other,-107.732,35.831,42.884
cash-flow-from-financial-activities,-119.695,15.036,20.307
net-cash-flow,6.668,-3.058,0.695
stock-based-compensation,7.052,7.22,6.208
common-stock-dividends-paid,-9.859,-20.481,-22.204
