,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,-596.0,6623.0,5319.0,5239.0,4644.0,4592.0,3862.0,3458.0,3424.0,3696.0,3212.0,2637.0,1368.9,1224.7
total-depreciation-amortization-cash-flow,8867.0,2660.0,2475.0,2092.0,1931.0,1870.0,1753.0,1568.0,1469.0,1389.0,1274.0,1095.0,733.3,589.1
other-non-cash-items,706.0,-860.0,1018.0,-36.0,628.0,55.0,369.0,226.0,180.0,213.0,89.0,117.0,168.1,13.5
total-non-cash-items,9573.0,1800.0,3493.0,2056.0,2559.0,1925.0,2122.0,1794.0,1649.0,1602.0,1363.0,1212.0,901.4,602.6
change-in-accounts-receivable,-1139.0,-941.0,-243.0,-1594.0,-737.0,-2210.0,-387.0,-748.0,532.0,-86.0,-291.0,280.0,-540.1,-83.1
change-in-inventories,-1153.0,-514.0,-742.0,-1141.0,-770.0,12.0,-853.0,586.0,-352.0,-1199.0,-488.0,-448.0,-624.1,-265.2
change-in-accounts-payable,2489.0,1710.0,2189.0,2834.0,1742.0,1024.0,1147.0,1128.0,-40.0,4.0,-64.0,-181.0,396.7,192.2
change-in-assets-liabilities,-309.0,-671.0,125.0,253.0,-361.0,-31.0,14.0,-467.0,-258.0,84.0,32.0,-102.0,-89.3,-15.3
total-change-in-assets-liabilities,-112.0,-416.0,1329.0,1244.0,934.0,-734.0,687.0,604.0,-294.0,-1263.0,-628.0,-619.0,-527.9,-215.2
cash-flow-from-operating-activities,8865.0,8007.0,10141.0,8539.0,8137.0,5783.0,6671.0,5856.0,4779.0,4035.0,3947.0,3230.0,1742.4,1612.1
net-change-in-property-plant-equipment,,,,,,,,,,,,,,
net-acquisitions-divestitures,-41394.0,-1181.0,-524.0,-11475.0,-2439.0,-415.0,-371.0,-1191.0,-177.0,-101.0,-2651.0,-1984.0,-4224.2,12.1
net-change-in-short-term-investments,-692.0,-137.0,-80.0,-267.0,4.0,-90.0,0.0,57.0,1.0,-5.0,28.0,,,
net-change-in-long-term-investments,817.0,61.0,91.0,243.0,,,,,,,,,,
net-change-in-investments-total,125.0,-76.0,11.0,-24.0,4.0,-90.0,,57.0,1.0,-5.0,28.0,,,
investing-activities-other,21.0,298.0,267.0,411.0,515.0,600.0,529.0,592.0,507.0,1562.0,223.0,707.0,1399.9,571.7
cash-flow-from-investing-activities,-43285.0,-2877.0,-2470.0,-13420.0,-4045.0,-1835.0,-1849.0,-2410.0,-1640.0,-1069.0,-4580.0,-3082.0,-4593.2,-911.6
net-long-term-debt,38821.0,,-2488.0,11903.0,-1617.0,3964.0,-479.0,-659.0,-1112.0,2147.0,-5.0,5178.0,1189.5,6.0
net-current-debt,-556.0,-598.0,1874.0,-685.0,685.0,-690.0,-60.0,450.0,-15.0,-2729.0,959.0,242.0,1589.3,-632.2
debt-issuance-retirement-net-total,38265.0,-598.0,-614.0,11218.0,-932.0,3274.0,-539.0,-209.0,-1127.0,-582.0,954.0,5420.0,2778.8,-626.2
net-common-equity-issued-repurchased,242.0,-4032.0,-4165.0,-4639.0,-3580.0,-3476.0,-3494.0,-2570.0,-1215.0,-2227.0,305.0,-4817.0,187.6,178.4
net-total-equity-issued-repurchased,242.0,-4032.0,-4165.0,-4639.0,-3580.0,-3476.0,-3494.0,-2570.0,-1215.0,-2227.0,305.0,-4817.0,187.6,178.4
total-common-preferred-stock-dividends-paid,-2038.0,-2049.0,-1840.0,-1576.0,-1288.0,-1097.0,-829.0,-674.0,-479.0,-439.0,-383.0,-323.0,-140.9,-131.6
financial-activities-other,350.0,-72.0,-142.0,-124.0,106.0,62.0,2.0,-7.0,23.0,16.0,53.0,98.0,42.6,
cash-flow-from-financial-activities,36819.0,-6751.0,-6761.0,4879.0,-5694.0,-1237.0,-4860.0,-3460.0,-2798.0,-3232.0,929.0,378.0,2868.1,-579.4
net-cash-flow,2395.0,-1620.0,912.0,-22.0,-1608.0,2714.0,-38.0,-14.0,341.0,-266.0,296.0,526.0,17.3,121.1
stock-based-compensation,280.0,234.0,222.0,230.0,165.0,141.0,132.0,135.0,150.0,165.0,92.0,78.0,69.9,
common-stock-dividends-paid,-2038.0,-2049.0,-1840.0,-1576.0,-1288.0,-1097.0,-829.0,-674.0,-479.0,-439.0,-383.0,-323.0,-140.9,-131.6
