,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,-704.0,-2396.0,-1626.0,259.0,203.0,217.0,346.0,277.623,348.441,306.377,252.734,44.691,168.263,167.544
total-depreciation-amortization-cash-flow,700.0,861.0,1100.0,1174.0,1187.0,783.0,726.0,657.665,609.839,566.543,506.694,332.58,188.771,166.162
other-non-cash-items,696.0,1783.0,1840.0,306.0,439.0,281.0,248.0,289.521,138.433,115.608,199.062,67.065,-4.742,31.703
total-non-cash-items,1396.0,2644.0,2940.0,1480.0,1626.0,1064.0,974.0,947.186,748.272,682.151,705.756,399.645,184.029,197.865
change-in-accounts-receivable,31.0,732.0,-96.0,-219.0,-306.0,-285.0,-204.0,-138.332,-27.049,58.39,-49.578,128.743,-71.141,-47.455
change-in-inventories,,,,,,,,,,,,,,
change-in-assets-liabilities,-302.0,-105.0,31.0,-53.0,-83.0,25.0,17.0,-27.821,-2.982,-22.052,62.197,24.811,21.497,24.977
total-change-in-assets-liabilities,-418.0,525.0,-177.0,-818.0,-214.0,-192.0,-40.0,37.099,92.017,87.901,98.091,244.102,-2.037,45.64
cash-flow-from-operating-activities,274.0,773.0,1137.0,921.0,1615.0,1089.0,1280.0,1261.908,1188.73,1076.429,1056.581,688.438,350.255,411.049
net-change-in-property-plant-equipment,,,,,,,,,,,,,,
net-acquisitions-divestitures,,,,,,,,,,,,,,
net-change-in-long-term-investments,36.0,83.0,362.0,-6.0,-34.0,,,,,,,,,
net-change-in-investments-total,36.0,83.0,362.0,-6.0,-34.0,,,,,,,,,
investing-activities-other,-141.0,-143.0,977.0,-205.0,-511.0,-340.0,-298.0,-188.249,-137.082,-120.054,-190.45,-72.671,-36.35,-34.851
cash-flow-from-investing-activities,-245.0,1069.0,630.0,-1051.0,-4351.0,-991.0,-1383.0,-1195.775,-1044.31,-867.182,-665.471,-7498.858,-640.257,-327.272
net-long-term-debt,,,,,,,,,,,,,,
debt-issuance-retirement-net-total,-175.0,-1345.0,-1729.0,78.0,3355.0,-90.0,621.0,-73.297,-61.476,-58.173,-103.641,7082.602,380.782,-26.837
net-common-equity-issued-repurchased,-1.0,-5.0,-6.0,-154.0,45.0,68.0,11.0,-80.191,-57.045,12.759,-88.382,8.214,-161.743,-30.273
net-total-equity-issued-repurchased,-1.0,-5.0,-6.0,-154.0,45.0,68.0,11.0,-80.191,-57.045,12.759,-88.382,8.214,-161.743,-30.273
total-common-preferred-stock-dividends-paid,,,,,,,-23.0,,,,,,,
financial-activities-other,-220.0,-167.0,22.0,-119.0,-528.0,-91.0,-248.0,-81.949,-71.271,-39.947,-112.006,-187.388,7.421,-5.057
cash-flow-from-financial-activities,-396.0,-1517.0,-1713.0,-195.0,2872.0,-113.0,361.0,-235.437,-189.792,-85.361,-304.029,6903.428,226.46,-62.167
net-cash-flow,-367.0,325.0,54.0,-325.0,136.0,-15.0,258.0,-169.304,-45.372,123.886,87.081,93.008,-63.542,21.61
stock-based-compensation,13.0,24.0,46.0,59.0,54.0,38.0,41.0,42.542,38.779,44.501,52.105,38.771,20.073,4.957
common-stock-dividends-paid,,,,,,,-23.0,0.0,0.0,,,,,
