,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,788.0,824.0,696.0,753.0,592.0,883.0,592.0,506.0,757.017,766.222,613.195,366.449,586.421,546.277
total-depreciation-amortization-cash-flow,309.0,270.0,249.0,304.0,314.0,283.0,287.0,281.0,253.964,256.687,264.593,237.879,197.398,176.124
other-non-cash-items,144.0,96.0,38.0,133.0,370.0,-161.0,408.0,613.0,325.902,473.613,467.588,580.3041,299.636,289.644
total-non-cash-items,453.0,366.0,287.0,437.0,684.0,122.0,695.0,894.0,579.866,730.3,732.181,818.183,497.034,465.768
change-in-accounts-receivable,,,,,,,,,,,,,,
change-in-assets-liabilities,31.0,-26.0,79.0,-42.0,2.0,-11.0,64.0,-227.0,16.162,-292.424,-25.553,1.547,-5.176,4.866
total-change-in-assets-liabilities,-49.0,-9.0,135.0,-369.0,-320.0,-372.0,-92.0,-513.0,-241.803,-528.803,-296.099,-266.018,-151.731,-182.135
cash-flow-from-operating-activities,1200.0,1175.0,1116.0,821.0,944.0,652.0,1187.0,895.0,1118.047,997.418,1063.049,926.924,951.896,851.583
net-change-in-property-plant-equipment,-383.0,-252.0,-293.0,-263.0,-308.0,-231.0,-182.0,-161.0,-205.4,-166.928,-212.681,-219.101,-193.422,-224.27
net-change-in-intangible-assets,,,,,,474.0,0.0,,,,,,,
net-acquisitions-divestitures,,,,,,,,,,,,,,
net-change-in-long-term-investments,1.0,2.0,10.0,-32.0,11.0,2.0,16.0,217.0,-11.11,-10.681,5.732,-4.266,15.563,-41.304
net-change-in-investments-total,1.0,2.0,10.0,-32.0,11.0,2.0,16.0,217.0,-11.11,-10.681,5.732,-4.266,15.563,-41.304
investing-activities-other,2.0,1.0,295.0,,,,,,,,,,,
cash-flow-from-investing-activities,-801.0,-830.0,-127.0,-362.0,-1025.0,328.0,-217.0,-1243.0,-216.51,-195.904,-198.883,-1759.193,-414.402,-1079.793
net-long-term-debt,124.0,23.0,141.0,-84.0,371.0,-4.0,-654.0,979.0,-169.491,26.9871,-458.941,1049.121,-41.208,602.91
net-current-debt,,,,,,,,,,,,-24.95,-1.705,33.384
debt-issuance-retirement-net-total,124.0,23.0,141.0,-84.0,371.0,-4.0,-654.0,979.0,-169.491,26.9871,-458.941,1024.171,-42.913,636.294
net-common-equity-issued-repurchased,-223.0,-335.0,-517.0,-164.0,-54.0,-899.0,-38.0,-798.0,-701.465,-412.871,-223.486,-64.732,-370.001,-291.828
net-total-equity-issued-repurchased,-223.0,-335.0,-517.0,-164.0,-54.0,-899.0,-38.0,-798.0,-701.465,-412.871,-223.486,-64.732,-370.001,-291.828
total-common-preferred-stock-dividends-paid,-266.0,-247.0,-223.0,-212.0,-187.0,-185.0,-108.0,-65.0,-71.321,-74.748,-77.964,-77.327,-77.135,-69.673
financial-activities-other,-36.0,-33.0,-139.0,-58.0,-44.0,-18.0,-22.0,-52.0,-44.215,-60.572,-17.423,-31.889,10.065,-27.755
cash-flow-from-financial-activities,-401.0,-592.0,-738.0,-518.0,86.0,-1106.0,-822.0,64.0,-986.492,-521.204,-777.814,850.223,-479.984,247.038
net-cash-flow,-2.0,-247.0,251.0,-59.0,5.0,-109.0,131.0,-284.0,-84.955,280.31,86.352,17.954,57.51,18.828
stock-based-compensation,61.0,79.0,69.0,52.0,51.0,28.0,50.0,72.0,53.927,75.059,70.581,56.853,55.478,2.037
common-stock-dividends-paid,-266.0,-247.0,-223.0,-212.0,-187.0,-185.0,-108.0,-65.0,-71.321,-74.748,-77.964,-77.327,-77.135,-69.673
