,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,62.7,82.6,51.8,62.87,36.741,30.259,18.143,16.113,47.184,26.545,19.958,22.936,22.793,15.784
total-depreciation-amortization-cash-flow,62.2,42.6,38.2,35.335,32.453,18.958,11.197,9.355,5.99,4.999,4.964,4.817,4.715,3.549
other-non-cash-items,36.0,29.2,8.9,12.158,29.583,23.608,23.135,33.198,21.89,23.511,3.769,2.151,0.948,-10.953
total-non-cash-items,98.2,71.8,47.1,47.493,62.036,42.566,34.332,42.553,27.88,28.51,8.733,6.968,5.663,-7.404
change-in-accounts-receivable,-94.2,-4.8,-22.4,-64.351,21.405,35.456,-21.89,-34.873,19.094,-30.017,-6.038,24.514,-40.801,16.107
change-in-inventories,-1.9,6.1,-9.0,-11.262,4.229,0.518,-0.5,-1.939,0.799,6.207,-1.428,9.337,-8.28,-3.189
change-in-accounts-payable,-7.0,16.1,-14.8,4.749,-9.279,-0.551,0.274,2.51,3.392,-1.547,-0.457,-0.012,7.105,5.463
change-in-assets-liabilities,-7.7,11.3,2.5,5.785,-5.327,-6.2,-0.589,-10.203,-1.602,-1.441,-8.092,-3.882,-3.226,14.794
total-change-in-assets-liabilities,-119.1,53.7,-44.3,-67.846,13.541,24.143,-12.832,-46.481,22.957,-25.185,-21.374,25.543,-32.517,33.87
cash-flow-from-operating-activities,41.8,208.1,54.6,42.517,112.318,96.968,39.643,12.185,98.021,29.87,7.317,55.447,-4.061,42.25
net-change-in-property-plant-equipment,,,,,,,,,,,,,,
net-acquisitions-divestitures,-827.7,-195.1,,-0.65,-179.379,-25.873,,,-17.873,,,,-0.218,-0.559
net-change-in-short-term-investments,,,,,,,,,,,,,,
net-change-in-investments-total,,,,,,,,,10.0,,-10.0,,,
cash-flow-from-investing-activities,-897.2,-249.9,-76.2,-45.462,-210.052,-67.894,-40.114,-53.963,-23.456,-33.287,-30.813,-43.969,-41.446,-7.091
net-long-term-debt,795.2,,,2.0,180.588,-0.774,3.32,12.028,-18.291,8.535,-0.751,15.18,30.861,-1.079
net-current-debt,,-20.0,,,,,,,,,,,,0.123
debt-issuance-retirement-net-total,795.2,-20.0,,2.0,180.588,-0.774,3.32,12.028,-18.291,8.535,-0.751,15.18,30.861,-0.956
net-common-equity-issued-repurchased,15.8,-13.8,17.1,25.861,13.878,6.635,-5.145,10.026,7.235,4.464,3.391,2.471,54.627,-0.304
net-total-equity-issued-repurchased,15.8,-13.8,17.1,25.861,13.878,6.635,-5.145,10.026,7.235,4.464,3.391,2.471,54.627,-0.304
total-common-preferred-stock-dividends-paid,,,,,,,,,,,,,,-5.4
financial-activities-other,-22.3,-17.6,-36.9,7.53,4.408,2.751,0.06,-5.395,2.607,1.845,6.328,0.84,0.34,1.25
cash-flow-from-financial-activities,788.7,-51.4,-19.8,35.391,198.874,8.612,-1.765,16.659,-8.449,14.844,8.968,18.491,85.828,-5.41
net-cash-flow,-66.9,-93.2,-41.3,32.296,101.161,37.672,-2.235,-25.118,66.095,11.451,-14.257,29.312,40.124,29.473
stock-based-compensation,23.2,15.2,18.5,15.848,12.829,11.238,11.115,10.739,7.063,5.007,2.51,2.541,0.723,-0.017
common-stock-dividends-paid,,,,,,,,,,,,,,-5.4
