,2018-12-31,2017-12-31,2016-12-31
net-income-loss,-40.725,-11.941,-2.542
total-depreciation-amortization-cash-flow,1.067,0.004,0.001
other-non-cash-items,5.691,1.078,0.273
total-non-cash-items,,,
change-in-accounts-payable,1.39,0.472,0.052
change-in-assets-liabilities,-2.14,-0.4,0.04
total-change-in-assets-liabilities,0.826,1.142,0.209
cash-flow-from-operating-activities,-33.141,-9.717,-2.059
net-change-in-property-plant-equipment,,,
cash-flow-from-investing-activities,,,
net-current-debt,10.0,,
debt-issuance-retirement-net-total,10.0,,
net-common-equity-issued-repurchased,111.066,0.318,0.063
net-total-equity-issued-repurchased,,,
cash-flow-from-financial-activities,184.941,13.311,3.99
net-cash-flow,151.65,3.541,1.931
stock-based-compensation,,,
