,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,-1031.469,-2035.433,-3347.05,-1495.325,-718.184,-632.414,-688.021,242.065,287.02,266.336,255.336,227.44,137.839,202.295
total-depreciation-amortization-cash-flow,744.2209,1006.459,1011.823,656.36,360.737,291.927,322.223,270.202,130.417,99.884,60.278,16.291,16.609,14.64
other-non-cash-items,951.583,1136.66,3252.704,1228.309,-89.059,574.687,642.0469,90.267,-8.318,-83.242,36.345,14.973,95.259,183.139
total-non-cash-items,1695.804,2143.119,4264.527,1884.669,271.678,866.614,964.2699,360.469,122.099,16.642,96.623,31.264,111.868,197.779
change-in-accounts-receivable,17.09,484.71,-0.502,-269.921,-341.239,-76.7,43.797,-107.609,-83.804,-62.584,3.458,30.43,11.667,-146.787
change-in-inventories,67.269,147.189,66.876,29.13,2.74,-29.286,-96.318,-8.703,13.894,12.92,-11.428,-7.099,-11.146,20.432
change-in-accounts-payable,,,,443.398,1453.388,-159.532,142.609,-30.269,30.145,12.068,-17.969,52.496,30.771,9.968
change-in-assets-liabilities,-12.797,5.345,69.273,91.209,-250.356,465.116,18.133,-5.185,-9.615,23.207,8.235,1.062,20.496,0.902
total-change-in-assets-liabilities,-397.065,446.299,-389.334,-270.843,784.2819,64.317,457.63,99.581,44.527,12.428,3.668,107.038,95.627,-115.43
cash-flow-from-operating-activities,267.27,553.985,528.143,118.501,337.776,298.517,733.879,702.115,453.646,295.406,355.627,365.742,345.334,284.644
net-change-in-property-plant-equipment,-83.398,-125.654,-138.856,-81.774,-80.251,-94.626,-98.392,-57.757,-19.535,-12.415,-17.401,-19.845,-13.076,-10.484
net-change-in-intangible-assets,-3.0,,-19.206,-43.968,-5.0,-12.0,-5.7,-2.3,,,,,,
net-acquisitions-divestitures,70.369,223.237,-19.524,-6059.269,-1031.989,4.505,-3.175,-2380.407,-1105.04,-250.359,-15.0,,-20.473,
net-change-in-short-term-investments,,,,1.23,87.233,,18.8,71.0,231.125,23.75,313.875,-591.508,,
net-change-in-long-term-investments,,,,,,,,,,,,2.125,,
net-change-in-investments-total,,,,1.23,87.233,,18.8,71.0,231.125,23.75,313.875,-589.383,,
investing-activities-other,-1.871,7.0,0.034,0.017,258.154,-781.518,,-4.628,-2.873,-6.485,-101.667,-5.3,-32.9,-16.2
cash-flow-from-investing-activities,-17.9,104.583,-177.552,-6183.764,-771.853,-883.639,-88.467,-2374.092,-896.323,-245.509,179.807,-614.528,-66.449,-26.684
net-long-term-debt,-34.15,-315.9509,-103.625,2047.368,-136.682,-152.032,-362.075,2408.68,786.263,-120.72,262.508,-1.118,-2.367,-2.452
net-current-debt,,300.0,-225.0,2160.125,750.0,700.0,,-519.04,-446.758,,,,,
debt-issuance-retirement-net-total,-34.15,-15.9509,-328.625,4207.493,613.318,547.968,-362.075,1889.64,339.505,-120.72,262.508,-1.118,-2.367,-2.452
net-common-equity-issued-repurchased,0.933,,7.071,2081.428,-238.445,102.439,25.42,-5.748,-58.974,8.037,-372.21,7.731,8.443,10.189
net-total-equity-issued-repurchased,,,,,,,,,,,,,,
financial-activities-other,-48.355,-151.042,-75.632,-286.929,-72.016,-70.882,-308.892,-131.211,-80.102,-4.445,-0.364,-35.587,-157.832,-42.775
cash-flow-from-financial-activities,-81.572,-166.993,-397.186,6001.992,302.857,579.525,-645.547,1752.681,200.429,-117.128,-110.066,-28.974,-151.756,-35.038
net-cash-flow,165.823,505.834,-57.903,-73.543,-120.901,-3.092,3.045,76.918,-242.248,-67.231,425.368,-277.76,127.129,222.922
stock-based-compensation,,,,,,,,,,,,,,
