,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,690.07,154.227,-70.222,-161.744,-261.297,-244.76,-147.645,75.697,-92.33,-139.557,-175.57,-111.022,-101.492,-84.404
total-depreciation-amortization-cash-flow,7.769,1.369,9.434,18.447,24.68,3.147,5.513,6.822,10.543,12.595,13.227,11.332,16.91,17.755
other-non-cash-items,-199.998,17.012,43.363,26.23,7.328,38.321,23.585,18.331,19.838,30.68,18.337,-16.768,-4.084,-10.236
total-non-cash-items,-192.229,18.381,52.797,44.677,32.008,41.468,29.098,25.153,30.381,43.275,31.564,-5.436,12.826,7.519
change-in-accounts-receivable,-89.881,-40.839,-35.318,-0.54,-0.941,-1.19,27.038,-24.294,5.968,-8.505,0.201,17.698,-15.09,-2.801
change-in-inventories,,,,,,,,,,,,,,
change-in-assets-liabilities,2.992,27.745,250.378,-25.337,2.534,-6.879,-40.825,-225.789,-38.857,79.569,126.139,5.412,45.481,32.368
total-change-in-assets-liabilities,-79.763,-6.946,227.267,-25.845,-10.277,-2.268,-8.638,-264.884,-42.333,80.072,133.376,47.186,42.555,29.922
cash-flow-from-operating-activities,415.72,165.611,210.404,-141.051,-235.405,-198.773,-123.146,-159.233,-101.048,-14.591,-9.684,-68.321,-45.339,-46.361
net-change-in-property-plant-equipment,,,,,,,,,,,,,,
net-acquisitions-divestitures,,,,0.095,0.838,,,3.01,9.0,2.2,9.0,35.309,,
net-change-in-short-term-investments,-277.006,17.5,-217.702,34.944,133.363,135.196,-222.71,-112.413,-26.968,-110.633,108.045,-47.478,7.899,4.204
net-change-in-long-term-investments,12.145,40.274,4.76,,,,,55.205,,4.448,16.232,24.153,-21.048,-34.039
net-change-in-investments-total,-264.861,57.774,-212.942,34.944,133.363,135.196,-222.71,-57.208,-26.968,-106.185,124.277,-23.325,-13.149,-29.835
investing-activities-other,,,,14.139,12.211,11.183,-35.986,2.2,0.045,-2.429,3.223,2.396,3.048,3.358
cash-flow-from-investing-activities,-297.85,36.795,-214.548,50.077,146.33,144.351,-259.47,-51.463,-19.569,-112.322,121.295,-3.437,-21.701,-40.648
net-long-term-debt,-0.013,-185.788,-7.71,-4.381,-11.709,-13.17,272.803,-6.032,,,,,-0.098,-1.931
net-current-debt,,,,,,,,,125.445,-38.063,-3.834,0.49,-27.098,3.424
debt-issuance-retirement-net-total,-0.013,-185.788,-7.71,-4.381,-11.709,-13.17,272.803,-6.032,125.445,-38.063,-3.834,0.49,-27.196,1.493
net-common-equity-issued-repurchased,17.278,22.423,27.514,157.128,77.201,1.501,205.625,193.545,5.816,4.099,4.464,83.758,96.54,62.44
net-total-equity-issued-repurchased,,,,,,,,,,,,,,
financial-activities-other,-7.574,-6.563,-4.108,-0.534,,,,,,-0.025,,,40.0,37.0
cash-flow-from-financial-activities,9.691,-169.928,15.696,152.213,65.492,-11.669,478.428,187.513,131.261,-33.989,0.63,84.248,109.344,100.933
net-cash-flow,127.561,32.478,11.552,61.239,-23.583,-66.091,95.812,-23.183,10.644,-160.902,112.241,12.088,42.041,13.787
stock-based-compensation,,,,,,,,,,,,,,
