,2018-12-31,2017-12-31,2016-12-31
net-income-loss,-70.37,-44.898,-19.539
total-depreciation-amortization-cash-flow,0.401,0.371,0.134
other-non-cash-items,3.018,0.724,0.245
total-non-cash-items,,,
change-in-accounts-payable,0.916,1.221,1.995
change-in-assets-liabilities,-4.196,2.289,-5.503
total-change-in-assets-liabilities,0.934,6.866,-2.655
cash-flow-from-operating-activities,-66.017,-36.937,-21.815
net-change-in-property-plant-equipment,,,
net-change-in-long-term-investments,-63.786,-63.738,
net-change-in-investments-total,,,
cash-flow-from-investing-activities,,,
net-common-equity-issued-repurchased,116.627,0.312,0.436
net-total-equity-issued-repurchased,,,
financial-activities-other,-0.001,,
cash-flow-from-financial-activities,116.626,115.464,5.026
net-cash-flow,-13.58,14.675,-17.892
stock-based-compensation,,,
