,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31
net-income-loss,-174.193,-117.024,-82.468,-46.36,-20.807,-18.116
total-depreciation-amortization-cash-flow,3.946,2.362,1.235,0.873,0.666,0.534
other-non-cash-items,30.125,13.682,9.235,7.748,0.647,2.593
total-non-cash-items,,,,,,
change-in-accounts-payable,-1.285,2.771,1.066,2.705,-0.304,-0.465
change-in-assets-liabilities,-3.456,-1.705,-1.31,-0.085,-1.193,0.077
total-change-in-assets-liabilities,4.747,7.958,4.275,6.849,-0.627,0.289
cash-flow-from-operating-activities,-135.375,-93.022,-67.723,-30.89,-20.121,-14.7
net-change-in-property-plant-equipment,,,,,,
net-change-in-long-term-investments,-179.408,-31.724,-105.5,,,
net-change-in-investments-total,-179.408,-31.724,-105.5,,,
investing-activities-other,,-0.175,,,-0.06,
cash-flow-from-investing-activities,,,,,,
net-common-equity-issued-repurchased,404.158,235.426,118.145,128.316,0.457,0.044
net-total-equity-issued-repurchased,,,,,,
financial-activities-other,-6.252,-0.238,,,,
cash-flow-from-financial-activities,397.906,235.188,118.145,128.316,69.295,15.279
net-cash-flow,78.374,107.166,-56.43,96.433,48.791,-0.361
stock-based-compensation,,,,,,
