,2018-12-31,2017-12-31,2016-12-31
net-income-loss,-64.775,-41.377,-18.75
total-depreciation-amortization-cash-flow,3.409,1.812,0.866
other-non-cash-items,2.995,1.126,0.688
total-non-cash-items,,,
change-in-accounts-payable,3.249,2.273,-0.76
change-in-assets-liabilities,16.96,1.195,2.664
total-change-in-assets-liabilities,20.209,3.468,1.904
cash-flow-from-operating-activities,-38.162,-34.971,-15.292
net-change-in-property-plant-equipment,,,
net-change-in-long-term-investments,-53.44,-21.761,-25.143
net-change-in-investments-total,,,
cash-flow-from-investing-activities,,,
net-common-equity-issued-repurchased,92.586,0.014,0.232
net-total-equity-issued-repurchased,,,
financial-activities-other,-3.08,,
cash-flow-from-financial-activities,110.441,95.812,35.946
net-cash-flow,13.176,27.589,-11.473
stock-based-compensation,,,
