,2019-01-31,2018-01-31,2017-01-31,2016-01-31,2015-01-31,2014-01-31,2013-01-31
net-income-loss,73.899,47.362,26.376,16.613,10.166,1.233,11.169
total-depreciation-amortization-cash-flow,18.185,15.952,13.186,8.624,5.89,4.27,3.365
other-non-cash-items,22.638,19.213,5.638,3.729,4.908,9.624,-4.729
total-non-cash-items,40.823,35.165,18.824,12.353,10.798,13.894,-1.364
change-in-accounts-receivable,-4.306,-4.734,-2.728,-5.174,-3.38,-1.546,0.571
change-in-inventories,,,,0.005,-0.234,-0.118,0.018
change-in-accounts-payable,0.863,-0.581,0.567,1.011,-1.156,1.492,0.245
change-in-assets-liabilities,-5.32,0.179,-0.123,-0.359,-1.513,-0.005,0.083
total-change-in-assets-liabilities,-1.3,-0.825,0.391,-2.425,-5.918,2.888,1.965
cash-flow-from-operating-activities,113.422,81.702,45.591,26.541,15.046,18.015,11.77
net-change-in-property-plant-equipment,-3.869,-5.458,-3.645,-2.376,-1.712,-1.595,-0.831
net-change-in-intangible-assets,-1.195,-17.545,0.0,-40.489,0.0,0.0,
net-acquisitions-divestitures,,-2.882,,,,,
net-change-in-short-term-investments,40.694,-0.483,-0.379,-40.291,0.0,0.0,
net-change-in-long-term-investments,,,,-0.5,-0.305,,
net-change-in-investments-total,40.694,-0.483,-0.379,-40.791,-0.305,,
investing-activities-other,-9.978,-10.38,-9.03,-6.896,-6.42,-3.044,-2.706
cash-flow-from-investing-activities,25.652,-36.748,-13.054,-90.552,-8.437,-4.639,-3.537
net-long-term-debt,,,,,,,
debt-issuance-retirement-net-total,,,,,,-2.167,-7.568
net-common-equity-issued-repurchased,22.929,14.564,7.142,25.407,137.397,0.597,0.11
net-total-equity-issued-repurchased,22.929,14.564,7.142,25.407,137.397,-2.774,0.11
total-common-preferred-stock-dividends-paid,,,,,-50.347,-0.694,
financial-activities-other,,,16.634,11.24,3.429,0.271,
cash-flow-from-financial-activities,22.929,14.564,23.776,36.647,90.479,-5.364,-7.458
net-cash-flow,162.003,59.518,56.313,-27.364,97.088,8.012,0.775
stock-based-compensation,21.057,14.31,8.398,5.883,2.525,0.057,0.047
common-stock-dividends-paid,,,,,-50.347,-0.694,0.0
