,2019-09-30,2018-09-30,2017-09-30,2016-09-30,2015-09-30,2014-09-30,2013-09-30,2012-09-30,2011-09-30,2010-09-30,2009-09-30,2008-09-30,2007-09-30,2006-09-30,2005-09-30
net-income-loss,152.2,252.4,132.3,122.8,46.8,60.6,105.0,120.8,133.5,126.0,-405.0,115.8,190.6,221.2,-94.1
total-depreciation-amortization-cash-flow,201.9,203.9,210.8,209.0,118.2,106.4,116.8,111.7,103.9,99.7,573.0,112.8,92.3,94.4,100.1
other-non-cash-items,55.5,-18.1,24.1,-8.4,9.2,29.4,-0.1,-13.9,-19.7,-41.2,-2.3,21.5,-17.7,103.1,234.6
total-non-cash-items,257.4,185.8,234.9,200.6,127.4,135.8,116.7,97.8,84.2,58.5,570.7,134.3,74.6,197.5,334.7
change-in-accounts-receivable,-62.3,-7.7,-45.8,-15.8,-39.7,17.1,30.8,20.1,-24.7,-7.0,61.2,-2.8,6.2,-46.6,-31.4
change-in-inventories,-0.9,-18.7,-22.2,21.3,11.0,9.1,8.4,4.4,14.7,-16.2,23.7,5.2,-21.9,-5.2,-2.6
change-in-accounts-payable,13.2,12.5,21.6,-0.5,0.7,7.0,0.1,0.3,-18.0,-2.4,-23.9,15.1,8.7,-6.6,4.3
change-in-assets-liabilities,12.3,-28.1,22.6,25.8,13.8,-6.8,2.4,24.4,22.8,-31.6,19.2,5.5,23.0,3.2,9.3
total-change-in-assets-liabilities,-8.2,-43.0,-56.1,-42.2,39.6,13.9,41.5,43.1,4.8,-44.7,60.0,20.4,20.1,-389.6,-0.9
cash-flow-from-operating-activities,401.4,395.2,311.1,281.2,213.8,210.3,263.2,261.7,222.5,139.8,225.7,270.5,285.3,29.1,239.7
net-change-in-property-plant-equipment,,,,,,,,,,,,,,,0.0
net-acquisitions-divestitures,-180.5,1.0,-305.6,-15.0,-1638.7,-234.9,0.8,-476.8,-15.5,-7.3,-187.2,,-21.2,5.5,-9.5
net-change-in-short-term-investments,,,,,,,,,,,,,6.5,,
net-change-in-long-term-investments,,,,,,,,,0.5,31.3,2.1,45.7,-93.0,111.6,-44.5
net-change-in-investments-total,,,,,,,,,0.5,31.3,2.1,45.7,-86.5,111.6,-44.5
investing-activities-other,2.0,1.9,-1.4,-1.6,2.1,0.7,,4.5,,,,,,,
cash-flow-from-investing-activities,-249.0,-82.4,-389.4,-97.7,-1756.4,-294.5,-58.6,-539.5,-78.0,-38.2,-234.2,-56.3,-241.2,31.8,-175.2
net-long-term-debt,392.7001,-246.7,305.9,-237.5,1817.5,-37.4,-10.1,150.0,,,-25.7,-225.3,,10.8,
net-current-debt,80.0,-90.0,-145.8,136.9,-40.7,194.8,-35.0,52.2,-0.6,-49.1,5.2,335.9,-2.1,-6.0,-4.9
debt-issuance-retirement-net-total,472.7001,-336.7,160.1,-100.6,1776.8,157.4,-45.1,202.2,-0.6,-49.1,-20.5,110.6,-2.1,4.8,-4.9
net-common-equity-issued-repurchased,-99.9,32.3,-37.8,1.6,-48.4,-57.8,-83.9,-33.6,-69.3,-11.4,0.8,15.1,24.6,4.5,-52.7
net-total-equity-issued-repurchased,-99.9,32.3,-37.8,1.6,-48.4,-57.8,-83.9,-33.6,-69.3,-11.4,0.8,15.1,24.6,4.5,-52.7
total-common-preferred-stock-dividends-paid,-55.4,-51.8,-46.6,-43.8,-37.1,-34.2,-31.2,-30.1,-27.0,-25.8,-25.6,-48.2,-70.3,-69.8,-69.4
financial-activities-other,-12.7,-0.4,-5.1,0.9,-48.6,-1.6,-1.3,-2.9,-5.0,-1.1,,-141.3,0.6,4.1,12.1
cash-flow-from-financial-activities,304.7,-356.6,70.6,-141.9,1642.7,63.8,-161.5,135.6,-101.9,-87.4,-45.3,-63.8,-47.2,-56.4,-114.9
net-cash-flow,450.8,-48.8,-0.4,39.4,93.5,-28.1,43.1,-140.3,40.1,13.9,-51.1,140.2,-0.4,5.1,-50.9
stock-based-compensation,34.4,28.1,23.0,23.1,25.0,18.0,13.5,11.6,12.2,12.0,12.1,23.2,9.0,7.4,
common-stock-dividends-paid,-55.4,-51.8,-46.6,-43.8,-37.1,-34.2,-31.2,-30.1,-27.0,-25.8,-25.6,-48.2,-70.3,-69.8,-69.4
