,2018-12-31,2017-12-31,2016-12-31,2016-06-30,2015-06-30,2014-06-30,2013-06-30,2012-06-30,2011-06-30,2010-06-30,2009-06-30,2008-06-30,2007-06-30,2006-06-30,2005-06-30
net-income-loss,-168.843,-96.012,0.0,-144.817,-60.739,-71.364,-72.811,-73.319,-58.274,-50.912,-31.937,-32.02,-18.987,-17.834,-10.951
total-depreciation-amortization-cash-flow,7.411,5.963,,5.327,5.513,4.598,4.641,4.633,4.937,3.859,4.02,3.933,3.153,2.688,2.222
other-non-cash-items,-4.696,20.11,,17.219,15.87,29.225,12.424,10.367,5.253,4.955,6.486,4.631,2.497,2.504,0.301
total-non-cash-items,2.715,26.073,,22.546,21.383,33.823,17.065,15.0,10.19,8.814,10.506,8.564,5.65,5.192,2.523
change-in-accounts-receivable,2.911,3.575,,3.51,-2.577,-1.104,-0.796,4.831,-2.766,-1.083,1.561,3.648,-0.528,-0.535,4.061
change-in-inventories,1.038,1.154,,2.028,0.015,-2.247,0.585,-0.808,0.762,0.594,0.28,1.151,-2.032,0.285,5.118
change-in-accounts-payable,2.667,0.771,,2.649,3.319,0.321,1.103,0.182,0.149,1.82,-0.167,-0.815,0.88,-0.753,-0.047
change-in-assets-liabilities,-11.072,63.182,,-11.336,-21.421,-13.397,-7.137,19.474,41.803,-1.271,6.318,-0.584,-2.399,-2.635,-2.888
total-change-in-assets-liabilities,-0.294,77.584,,-2.205,-15.935,-16.109,-4.553,24.031,40.095,1.514,8.097,3.307,-2.444,-1.639,6.363
cash-flow-from-operating-activities,-166.422,7.645,,-124.476,-55.291,-53.65,-60.299,-34.288,-7.989,-40.584,-13.334,-20.149,-15.781,-14.281,-2.065
net-change-in-property-plant-equipment,,,,,,,,,,,,,,,
net-change-in-short-term-investments,,,,,,-0.001,0.074,-0.06,0.168,-0.182,-0.336,-12.759,-276.286,-536.752,-1067.135
net-change-in-long-term-investments,,,,,,,,,1.201,0.834,14.227,45.908,297.69,553.396,1067.761
net-change-in-investments-total,,,,,,,,,,,,,,,
cash-flow-from-investing-activities,,,,,,,,,,,,,,,
net-current-debt,,-1.699,,,,,,,,,,,,,
debt-issuance-retirement-net-total,,-1.699,,,,,,,,,,,,,
net-common-equity-issued-repurchased,166.813,102.313,,5.161,4.429,9.136,98.017,6.988,90.699,80.983,39.359,26.009,2.15,1.15,0.529
net-total-equity-issued-repurchased,,,,,,,,,,,,,,,
financial-activities-other,,,,,194.135,,,,,,,,,,
cash-flow-from-financial-activities,166.813,100.614,,101.769,198.564,9.136,98.017,6.988,90.699,80.983,39.359,26.009,2.15,1.15,0.529
net-cash-flow,,,,,,,,,,,,,,,
