,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,-324.277,-192.649,-176.273,-118.183,-79.159,-56.073,-41.374,-59.664,-6.434,118.35,-15.667,-19.962,-56.139,-40.929
total-depreciation-amortization-cash-flow,22.065,3.019,2.719,2.44,1.463,1.013,0.797,0.343,0.054,0.707,1.043,0.406,3.369,12.897
other-non-cash-items,28.499,18.731,18.21,15.666,11.447,8.826,2.187,27.588,0.366,-124.932,1.493,0.559,5.984,0.048
total-non-cash-items,50.564,21.75,20.929,18.106,12.91,9.839,2.984,27.931,0.42,-124.225,2.536,0.965,9.353,12.945
change-in-accounts-receivable,-5.515,,,,,,0.757,-0.286,0.019,-0.123,,-0.009,-0.241,
change-in-inventories,-7.032,,,,,,,,,,,0.576,-0.576,
change-in-accounts-payable,3.87,3.604,2.767,-1.781,3.312,-1.131,4.726,0.884,-2.75,-0.085,0.17,-6.282,6.219,-1.653
change-in-assets-liabilities,-5.514,-2.783,0.191,-1.484,-2.972,-1.832,-0.18,0.051,-1.201,-2.246,0.646,0.069,0.055,0.766
total-change-in-assets-liabilities,15.736,11.282,8.636,-0.623,1.833,-0.43,7.378,1.528,-1.708,-5.137,1.139,-6.258,4.582,0.219
cash-flow-from-operating-activities,-257.977,-159.617,-146.708,-100.7,-64.416,-46.664,-31.012,-30.205,-7.722,-11.012,-11.992,-25.255,-42.204,-27.765
net-change-in-property-plant-equipment,-13.09,-3.001,-4.2,-3.454,-5.341,-0.824,-0.285,-0.979,,,,,-5.02,
net-change-in-intangible-assets,,,,,,,,,,,,,,
net-change-in-short-term-investments,,,,,,,,,,,,,,
net-change-in-investments-total,,,,,,2.153,61.807,35.339,12.691,-108.744,12.673,8.566,-12.191,-2.8
investing-activities-other,,,,,,,,,-6.733,127.474,,,,
cash-flow-from-investing-activities,-14.814,-3.001,-4.2,-3.454,-5.341,1.329,61.522,34.36,5.958,18.73,12.673,8.566,-17.211,-2.8
net-long-term-debt,395.0,,30.0,,4.936,-0.096,19.88,-0.082,-0.006,,,,,35.0
net-current-debt,,,,,,,,,-0.231,-1.246,-2.211,,,
debt-issuance-retirement-net-total,395.0,,30.0,,4.936,-0.096,19.88,-0.082,-0.237,-1.246,-2.211,,,35.0
net-common-equity-issued-repurchased,8.815,381.089,1.084,228.054,110.403,68.643,25.872,0.032,,4.071,,16.964,52.213,4.621
net-total-equity-issued-repurchased,,,,,,,,,,,,,,
financial-activities-other,-17.072,,-0.411,-0.25,-0.25,-0.1,-0.328,,0.004,0.052,0.121,1.158,0.288,-2.243
cash-flow-from-financial-activities,386.743,381.089,30.673,227.804,115.089,68.447,45.424,-0.05,-0.233,2.877,-2.09,18.122,52.501,37.378
net-cash-flow,113.907,218.574,-120.285,123.65,45.332,23.112,75.934,4.105,-1.997,10.595,-1.409,1.433,-6.914,6.813
stock-based-compensation,,,,,,,,,,,,,,
