,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,214.985,-10.783,-60.4,-88.278,-38.984,-60.644,-65.478,-84.801,-61.251,150.672,-22.906,-40.079,-45.903,-72.401
total-depreciation-amortization-cash-flow,46.688,51.296,47.654,47.923,33.07,28.68,30.507,29.126,22.554,18.943,13.598,12.064,7.819,10.988
other-non-cash-items,-158.192,96.592,78.388,40.984,7.14,9.432,-13.36,11.141,16.54,-173.938,10.476,10.508,-17.127,9.903
total-non-cash-items,-111.504,147.888,126.042,88.907,40.21,38.112,17.147,40.267,39.094,-154.995,24.074,22.572,-9.308,20.891
change-in-accounts-receivable,47.595,45.088,-96.687,-7.453,7.199,-10.58,6.399,-5.679,10.479,-6.778,1.238,-3.782,1.523,5.38
change-in-inventories,1.4,-2.493,-0.59,-0.609,1.743,-1.912,-1.982,-1.655,0.284,-0.017,-1.323,-1.956,0.09,1.771
change-in-accounts-payable,-0.655,1.784,-10.677,9.211,4.824,0.066,1.292,0.875,1.325,-3.652,0.962,-0.794,1.214,-4.872
change-in-assets-liabilities,464.906,-28.185,-83.703,17.724,-13.165,87.47,49.057,-69.561,-47.753,-83.605,208.318,55.171,-1.222,-12.45
total-change-in-assets-liabilities,499.407,37.044,-177.747,20.496,5.059,86.025,50.207,-67.395,-41.436,-104.118,210.863,53.601,1.986,-9.534
cash-flow-from-operating-activities,602.888,174.149,-112.105,21.125,6.285,63.493,1.876,-111.929,-63.593,-108.441,212.031,36.094,-53.225,-61.044
net-change-in-property-plant-equipment,-13.608,-34.764,-7.107,-7.692,-7.518,-1.552,-1.479,-10.203,-13.052,-13.414,-13.665,-2.293,-1.042,13.598
net-change-in-intangible-assets,-4.044,-3.093,-4.421,-4.056,-3.586,-3.81,-3.691,-3.667,-4.319,-2.88,-3.402,-2.717,-1.514,-2.451
net-acquisitions-divestitures,,,,,,,,,10.147,,,-80.4,,
net-change-in-short-term-investments,-911.911,-320.441,63.66,-73.883,-97.156,-252.792,24.782,117.81,47.396,-197.495,-217.178,24.585,-34.45,32.648
net-change-in-long-term-investments,,0.007,4.467,25.579,25.412,2.428,-1.613,4.086,-0.25,1.499,,5.181,4.397,3.283
net-change-in-investments-total,-911.911,-320.434,68.127,-48.304,-71.744,-250.364,23.169,121.896,47.146,-195.996,-217.178,29.766,-30.053,35.931
investing-activities-other,,,,,,,,,-16.228,,,,,
cash-flow-from-investing-activities,-929.563,-358.291,56.599,-60.052,-82.848,-255.726,17.999,108.026,23.694,-212.29,-234.245,-55.644,-32.609,47.078
net-long-term-debt,,,,,,,,,,,,,,
debt-issuance-retirement-net-total,,56.151,-3.066,-0.558,499.519,-11.039,29.66,-5.864,0.34,3.567,4.809,22.299,-7.851,-11.567
net-common-equity-issued-repurchased,475.865,255.106,13.417,24.888,,236.25,9.47,3.567,4.356,198.156,102.776,21.351,86.364,49.168
net-total-equity-issued-repurchased,,,,,,,,,,,,,,
financial-activities-other,,-82.17,1.043,0.396,-439.931,2.513,,1.625,,0.278,,,70.95,
cash-flow-from-financial-activities,475.865,229.087,11.394,24.726,59.588,227.724,39.13,-0.672,4.696,202.001,107.585,43.65,149.463,37.601
net-cash-flow,149.19,44.945,-44.112,-14.201,-16.975,35.491,59.005,-4.575,-35.203,-118.73,85.371,24.1,63.629,23.635
stock-based-compensation,,,,,,,,,,,,,,
