,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31
net-income-loss,-282.368,-116.937,-81.708,-142.669,-189.618,-272.812,-72.624,-64.852,-51.86,-73.312,-55.031,-53.16,-37.279
total-depreciation-amortization-cash-flow,14.223,14.617,11.26,11.63,12.331,11.729,11.325,9.999,6.161,4.763,2.62,1.731,1.259
other-non-cash-items,189.647,24.545,50.033,62.351,51.819,23.412,18.75,13.973,-0.931,6.618,6.797,-0.571,0.348
total-non-cash-items,203.87,39.162,61.293,73.981,64.15,35.141,30.075,23.972,5.23,11.381,9.417,1.16,1.607
change-in-accounts-receivable,1.207,-17.303,-10.336,-28.679,-23.68,-1.726,-0.835,2.243,2.324,-0.648,20.116,-24.004,-0.697
change-in-inventories,,,,,,,,,,,,,
change-in-assets-liabilities,-1.748,0.446,-17.558,-8.68,-4.929,-8.067,-42.445,-40.556,-22.072,54.412,-4.289,63.323,-0.046
total-change-in-assets-liabilities,7.616,-22.978,-5.519,-38.239,-30.1,-35.684,-27.084,-34.357,-21.269,58.486,20.103,45.241,2.14
cash-flow-from-operating-activities,-70.882,-100.753,-25.934,-106.927,-155.568,-273.355,-69.633,-75.237,-67.899,-3.445,-25.511,-6.759,-33.532
net-change-in-property-plant-equipment,-7.058,-4.076,-3.981,-3.902,-3.538,-9.592,-13.97,-9.678,-7.719,-3.503,-21.46,-2.65,-2.821
net-change-in-intangible-assets,,,,,,,,,,,,,
net-change-in-long-term-investments,95.924,155.536,-73.693,-5.251,-53.031,-91.841,44.048,124.743,-205.324,21.782,7.852,-24.959,-2.794
net-change-in-investments-total,95.924,155.536,-73.693,-5.251,-53.031,-91.841,44.048,124.743,-205.324,21.782,7.852,-24.959,-2.794
investing-activities-other,,,,,,,,,0.001,-0.521,-1.465,,
cash-flow-from-investing-activities,88.866,151.46,-177.674,-9.153,-56.569,-101.433,30.078,115.065,-213.042,17.758,-15.073,-27.609,-5.615
net-long-term-debt,-1.824,143.016,-1.903,334.382,-1.062,174.232,-0.275,-0.26,-1.957,-0.171,-1.004,0.72,-1.939
net-current-debt,,-134.258,-26.868,-12.712,-1.163,,,,,,,,
debt-issuance-retirement-net-total,-1.824,8.758,-28.771,321.67,-2.225,174.232,-0.275,-0.26,-1.957,-0.171,-1.004,0.72,-1.939
net-common-equity-issued-repurchased,32.061,26.37,24.841,-6.87,213.169,147.063,89.248,3.393,205.19,0.272,0.179,0.047,0.1
net-total-equity-issued-repurchased,,,,,,,,,,,,,
financial-activities-other,-0.165,-15.293,-0.246,-11.73,,-7.717,,,-0.277,1.312,-0.21,,7.002
cash-flow-from-financial-activities,30.072,19.835,-4.176,303.07,210.944,313.578,88.973,3.133,202.956,41.663,48.563,50.718,80.09
net-cash-flow,48.056,70.542,-207.784,186.99,-1.193,-61.21,49.418,42.961,-77.985,55.976,7.979,16.35,40.943
stock-based-compensation,,,,,,,,,,,,,
