,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,447.098,487.848,396.831,329.534,57.326,216.312,288.586,124.984,32.778,-6.836,-184.339,-138.826,-59.391,-85.156
total-depreciation-amortization-cash-flow,260.691,195.18,135.913,130.794,147.406,86.681,74.229,7.827,8.711,9.097,15.026,10.526,10.31,5.439
other-non-cash-items,67.829,-16.707,80.511,70.577,263.383,66.396,-107.906,22.437,23.086,8.781,36.979,18.574,-23.668,24.706
total-non-cash-items,328.52,178.473,216.424,201.371,410.789,153.077,-33.677,30.264,31.797,17.878,52.005,29.1,-13.358,30.145
change-in-accounts-receivable,-40.132,12.278,-25.603,-24.841,-55.041,-48.846,-4.724,-12.293,-9.768,-5.67,-1.254,-0.25,-1.783,-0.249
change-in-inventories,-18.512,-8.667,-17.024,6.271,-7.63,-8.516,1.697,1.239,-1.539,0.883,-2.18,0.499,-0.521,-0.219
change-in-accounts-payable,17.04,0.214,0.361,-2.28,-37.966,5.089,-7.286,2.08,0.891,-3.578,2.88,-2.587,0.657,2.408
change-in-assets-liabilities,13.417,13.188,6.451,25.173,10.497,-4.418,-22.756,-5.889,-4.567,-11.879,8.593,17.099,14.554,1.119
total-change-in-assets-liabilities,23.286,26.766,-20.864,1.038,-60.509,-80.958,-5.157,-3.652,-5.707,-26.92,2.102,28.635,15.399,2.849
cash-flow-from-operating-activities,798.904,693.087,592.391,531.943,407.606,288.431,249.752,151.596,58.868,-15.878,-130.232,-81.091,-57.35,-52.162
net-change-in-property-plant-equipment,27.528,-28.95,-9.687,-35.958,-36.347,-9.976,-5.976,-1.279,-0.731,-0.053,-1.739,-3.149,-1.532,-1.413
net-change-in-intangible-assets,-111.1,0.0,-150.0,0.0,,-1.3,-16.5,-4.5,-4.0,-6.0,-21.225,10.15,,
net-acquisitions-divestitures,,,-1502.443,33.703,-828.676,,-448.609,,,,,,,-146.116
net-change-in-short-term-investments,-310.915,-155.0,-65.275,0.0,,,75.791,-75.853,0.0,1.004,3.436,0.0,-1.705,5.95
net-change-in-long-term-investments,,,,,,,,,,,-4.44,,1.705,
net-change-in-investments-total,-310.915,-155.0,-65.275,,,,75.791,-75.853,,1.004,-1.004,,,5.95
investing-activities-other,,-85.0,-23.75,,-202.626,-4.988,,0.4,2.588,-1.075,12.026,-1.664,0.025,-12.175
cash-flow-from-investing-activities,-394.487,-268.95,-1751.155,-2.255,-1067.649,-16.264,-395.294,-81.232,-2.143,-6.124,-11.942,5.337,-1.507,-153.754
net-long-term-debt,-25.717,-326.701,816.343,-167.118,884.861,87.515,439.041,-41.668,-79.401,,38.034,,,77.999
net-current-debt,,,,,,,,-7.35,-2.049,5.524,0.416,1.268,2.191,
debt-issuance-retirement-net-total,-25.717,-326.701,816.343,-167.118,884.861,87.515,439.041,-49.018,-81.45,5.524,38.45,1.268,2.191,77.999
net-common-equity-issued-repurchased,-430.335,-66.975,-254.122,-21.03,16.272,-105.781,25.003,16.419,62.408,7.17,25.682,98.483,0.01,
net-total-equity-issued-repurchased,,,,,,,,,,,,,,
financial-activities-other,-23.078,-15.435,-21.234,-26.175,-190.099,-5.59,-15.514,-0.483,-8.484,,,,15.0,15.0
cash-flow-from-financial-activities,-479.13,-409.111,540.987,-214.323,711.034,-23.856,448.53,-33.082,-27.526,12.694,64.132,99.751,117.191,192.852
net-cash-flow,-76.413,20.072,-622.822,304.743,47.538,249.308,305.12,37.282,29.199,-9.308,-78.042,23.997,58.334,-13.064
stock-based-compensation,,,,,,,,,,,,,,
