,2019-04-30,2018-04-30,2017-04-30,2016-04-30,2015-12-31,2015-04-30,2014-12-31,2014-04-30,2013-12-31,2013-04-30,2012-12-31,2012-04-30
net-income-loss,-20.816,-15.805,-18.603,-11.436,-24.846,-7.226,-13.359,0.0,-5.678,0.0,-2.053,0.0
total-depreciation-amortization-cash-flow,0.378,0.18,0.04,0.033,0.913,0.038,0.438,0.05,0.027,0.02,0.038,0.03
other-non-cash-items,2.863,0.409,-0.977,-1.543,3.671,0.036,1.05,,0.333,,0.145,
total-non-cash-items,,,,,,,,,,,,
change-in-accounts-payable,1.534,0.217,-1.599,0.374,0.355,0.167,0.487,,0.315,,-0.008,
change-in-assets-liabilities,-22.989,24.425,-0.652,-1.76,-0.658,0.181,-0.699,,-0.04,,0.107,
total-change-in-assets-liabilities,-18.79,25.774,-4.182,-0.21,-0.601,0.784,0.618,0.06,0.46,0.46,0.035,0.03
cash-flow-from-operating-activities,-36.365,10.558,-23.722,-13.156,-20.863,-6.368,-11.253,0.24,-4.858,0.81,-1.835,0.2
net-change-in-property-plant-equipment,,,,,,,,,,,,
net-change-in-long-term-investments,-68.341,,,,,,,,,,,
net-change-in-investments-total,-68.341,,,,,,,0.0,,0.0,,0.0
investing-activities-other,,,34.139,,-0.715,,,,,,,
cash-flow-from-investing-activities,-69.422,-1.427,34.065,-0.011,-1.374,-0.125,-0.159,-0.001,-0.018,-0.01,-0.091,-0.09
net-long-term-debt,-0.209,-0.151,,,4.0,,5.0,,,,,
net-current-debt,,,,,,,1.5,1.25,0.388,0.38,-0.389,-0.38
debt-issuance-retirement-net-total,-0.209,-0.151,,,4.0,,6.5,0.0,0.388,0.0,-0.389,0.0
net-common-equity-issued-repurchased,88.152,9.137,0.002,33.003,68.063,8.661,-0.972,,0.017,,,
net-total-equity-issued-repurchased,,,,,,,,,,,,
cash-flow-from-financial-activities,87.943,8.986,0.002,33.003,72.063,8.662,5.528,1.25,6.415,6.4,5.564,5.57
net-cash-flow,-19.049,20.105,9.186,19.238,49.826,2.045,-5.884,1.489,1.539,7.2,3.638,5.68
stock-based-compensation,,,,,,,,,,,,
