,2018-12-31,2017-12-31,2016-12-31
net-income-loss,-23.167,-8.517,-8.99
total-depreciation-amortization-cash-flow,0.214,0.175,0.154
other-non-cash-items,2.099,0.203,0.128
total-non-cash-items,,,
change-in-assets-liabilities,-1.378,-0.814,-0.583
total-change-in-assets-liabilities,0.062,0.03,-1.052
cash-flow-from-operating-activities,-20.792,-8.109,-9.76
net-change-in-property-plant-equipment,,,
net-change-in-long-term-investments,-82.794,,
net-change-in-investments-total,,,
cash-flow-from-investing-activities,,,
net-common-equity-issued-repurchased,77.913,,0.036
net-total-equity-issued-repurchased,,,
cash-flow-from-financial-activities,77.913,49.755,0.036
net-cash-flow,-26.864,41.286,-10.006
stock-based-compensation,,,
