,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,78.923,60.386,45.942,41.65,28.752,29.146,35.428,-3.651,64.546,57.814,41.878,24.901,20.594,10.102
total-depreciation-amortization-cash-flow,20.732,14.933,12.16,11.955,9.571,8.325,7.806,7.521,7.496,4.831,3.74,3.026,2.427,1.751
other-non-cash-items,29.13,1.549,13.473,26.976,25.926,20.686,19.224,20.79,14.12,12.305,13.893,15.133,7.652,12.21
total-non-cash-items,49.862,16.482,25.633,38.931,35.497,29.011,27.03,28.311,21.616,17.136,17.633,18.159,10.079,13.961
change-in-accounts-receivable,,,,,,,,,,,,,,
change-in-assets-liabilities,-11.253,-26.797,-0.927,-3.663,0.329,-0.975,2.244,-11.49,-1.613,-3.182,6.041,-1.507,0.678,-0.301
total-change-in-assets-liabilities,-20.2,-44.542,-4.103,-20.647,-25.592,-12.242,12.314,-28.036,-14.225,-25.758,25.993,-31.046,-8.911,-17.288
cash-flow-from-operating-activities,108.585,32.326,67.472,59.934,38.657,45.915,74.772,-3.376,71.937,49.192,85.504,12.014,21.762,6.775
net-change-in-property-plant-equipment,,,,,,,,,,,,,,
net-acquisitions-divestitures,,,,,,,,,,,,,,
net-change-in-long-term-investments,,,,,,,,,,,-0.522,,,
net-change-in-investments-total,,,,,,,,,,,,,,
cash-flow-from-investing-activities,-25.291,-74.774,-50.38,-83.855,-82.038,-35.263,-15.14,-19.625,-43.333,-41.663,-75.876,-32.281,-27.5,-12.541
net-long-term-debt,-4.975,-0.26,-0.238,-0.233,-0.202,1.212,,-0.014,-4.514,-0.588,1.61,-0.406,-1.59,-4.018
net-current-debt,-15.8,57.0,-11.0,38.0,38.0,2.5,-15.32,34.82,-5.723,5.723,,,,-14.288
debt-issuance-retirement-net-total,-20.775,56.74,-11.238,37.767,37.798,3.712,-15.32,34.806,-10.237,5.135,1.61,-0.406,-1.59,-18.306
net-common-equity-issued-repurchased,1.342,1.026,0.912,0.926,0.782,-0.083,-26.175,0.283,0.855,0.618,0.493,0.419,21.308,45.57
net-total-equity-issued-repurchased,1.342,1.026,0.912,0.926,0.782,-0.083,-26.175,0.283,0.855,0.618,0.493,0.419,21.308,45.57
total-common-preferred-stock-dividends-paid,,,,,,,,,,,,,,-0.227
financial-activities-other,-17.347,-15.733,-9.641,-9.164,-8.682,-9.987,-8.673,-12.12,-19.328,-16.399,-9.375,-5.468,-4.501,-6.784
cash-flow-from-financial-activities,-36.78,42.033,-19.967,29.529,29.898,-6.358,-50.168,22.969,-28.71,-10.646,-7.272,-5.455,15.217,20.253
net-cash-flow,46.514,-0.415,-2.875,5.608,-13.483,4.294,9.464,-0.032,-0.106,-3.117,2.356,-25.722,9.479,14.487
stock-based-compensation,9.358,5.964,4.872,4.225,4.094,3.886,4.39,4.092,3.742,2.393,1.935,1.187,0.635,4.033
common-stock-dividends-paid,,,,,,,,,,,,,,-0.227
