,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,22.943,17.177,10.59,7.758,3.915,3.202,2.571,2.143,6.013,1.598,-3.314,-2.934,-1.172,0.055
total-depreciation-amortization-cash-flow,4.324,4.055,3.591,3.394,3.334,2.793,2.234,2.037,1.376,1.465,1.494,1.171,1.285,1.208
other-non-cash-items,-6.112,3.259,2.346,0.975,2.161,2.183,2.622,3.227,0.089,1.934,2.951,1.908,1.045,-0.07
total-non-cash-items,-1.788,7.314,5.937,4.369,5.495,4.976,4.856,5.264,1.465,3.399,4.445,3.079,2.33,1.138
change-in-accounts-receivable,-1.283,-1.507,-0.922,-1.879,-0.654,-1.247,-0.64,-0.174,-0.972,-0.486,-0.353,-1.679,-0.71,-0.404
change-in-inventories,,,,,,,,,,,,,,
change-in-assets-liabilities,-0.418,-0.288,1.528,-2.035,0.553,-0.236,0.303,0.105,-0.846,0.61,1.05,-0.92,-1.031,-0.097
total-change-in-assets-liabilities,-1.649,-1.623,0.369,-0.689,-3.898,-2.79,-2.705,-4.237,-0.426,0.443,-0.55,-2.265,-1.707,-2.395
cash-flow-from-operating-activities,19.506,22.868,16.896,11.438,5.512,5.388,4.722,3.17,7.052,5.44,0.581,-2.12,-0.549,-1.202
net-change-in-property-plant-equipment,-3.054,-6.417,-2.841,-2.258,-1.174,-2.733,-1.209,-2.021,-2.471,-0.577,-0.624,-1.114,-0.612,-0.526
net-change-in-intangible-assets,,,-0.002,-0.017,-0.015,-0.164,-0.116,-0.064,-0.087,-1.048,-0.114,-0.273,,
net-acquisitions-divestitures,-4.882,,-14.368,-1.205,-6.559,-3.291,-3.873,0.263,-3.48,-0.759,-0.835,-5.109,,-1.379
net-change-in-short-term-investments,,,,,,,,,,,,,,
net-change-in-investments-total,0.881,-22.541,,,,,,,0.803,4.566,10.586,-2.692,-13.136,0.3
investing-activities-other,,,,,,,,,,,,,0.076,0.223
cash-flow-from-investing-activities,-7.055,-28.958,-17.211,-3.48,-7.748,-6.188,-5.198,-1.822,-5.235,2.182,9.013,-9.188,-13.672,-1.382
net-long-term-debt,,,,,-1.133,,,,,0.108,,-0.032,-1.167,-0.779
net-current-debt,,,,,,,,,,,-0.262,,-0.71,0.71
debt-issuance-retirement-net-total,,,,,-1.133,,,,,0.108,-0.262,-0.032,-1.877,-0.069
net-common-equity-issued-repurchased,2.228,4.722,1.131,4.57,10.623,0.846,-1.662,-2.144,-2.384,-0.484,0.238,0.163,-0.112,2.554
net-total-equity-issued-repurchased,2.228,4.722,1.131,4.57,10.623,0.846,-1.662,-2.144,-2.384,-0.484,0.238,0.163,-0.112,2.554
total-common-preferred-stock-dividends-paid,-5.445,-4.179,-3.323,-2.845,-2.308,-1.838,-1.518,-1.237,,,,,,
financial-activities-other,-1.199,-0.463,-0.385,-0.646,-0.52,0.031,0.023,-0.419,0.049,,,-0.121,33.161,0.003
cash-flow-from-financial-activities,-4.416,0.08,-2.577,1.079,6.662,-0.961,-3.157,-3.8,-2.335,-0.376,-0.024,0.01,31.172,2.488
net-cash-flow,7.222,-5.192,-3.163,8.759,3.981,-1.737,-3.684,-2.482,-0.578,7.297,9.498,-11.229,16.809,0.093
stock-based-compensation,2.349,2.256,1.68,1.424,1.302,1.253,1.213,1.097,0.967,0.985,0.801,0.561,0.404,0.033
common-stock-dividends-paid,-5.445,-4.179,-3.323,-2.845,-2.308,-1.838,-1.518,-1.237,,,,,,
