,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,268.629,320.372,324.596,335.691,317.203,280.517,240.907,217.997,202.691,175.804,169.201,142.722,124.465,87.509
total-depreciation-amortization-cash-flow,115.853,108.393,94.08,65.769,47.22,39.966,30.816,25.292,21.95,16.448,13.21,10.563,9.47,9.915
other-non-cash-items,3.651,-34.283,52.361,45.571,32.081,50.864,50.776,36.238,51.035,32.035,-31.41,10.945,16.74,13.689
total-non-cash-items,119.504,74.11,146.441,111.34,79.301,90.83,81.592,61.53,72.985,48.483,-18.2,21.508,26.21,23.604
change-in-accounts-receivable,,,,,,,,,,,,,,
change-in-assets-liabilities,-15.744,11.492,-2.642,-10.964,10.118,16.371,10.475,11.951,2.045,12.599,-6.919,-5.199,-4.72,0.009
total-change-in-assets-liabilities,-98.208,116.896,-27.259,-78.33,26.137,34.051,2.407,-8.858,-35.118,17.087,30.39,24.292,26.597,51.305
cash-flow-from-operating-activities,289.925,511.378,443.778,368.701,422.641,405.398,324.906,270.669,240.558,241.374,181.391,188.522,177.272,162.418
net-change-in-property-plant-equipment,,,,,,,,,,,,,,
net-acquisitions-divestitures,,,,,,,,,,,,,,
net-change-in-long-term-investments,-2.174,-2.313,-19.651,-2.024,-6.149,-9.791,-5.047,-4.356,-10.903,3.134,-1.494,36.818,-57.338,-5.03
net-change-in-investments-total,-2.174,-2.313,-19.651,-2.024,-6.149,-9.791,-5.047,-4.356,-10.903,3.134,-1.494,36.818,-57.338,-5.03
investing-activities-other,22.764,6.705,,,,,,,,,,,,
cash-flow-from-investing-activities,-142.769,-576.613,-821.217,-848.0,-503.604,-263.49,-460.548,-190.573,-361.612,-163.134,-222.898,-90.792,-155.948,-104.852
net-long-term-debt,498.644,-2.267,-2.13,747.829,-0.159,-0.099,-0.136,-0.463,-0.262,-0.316,-0.521,-0.46,-0.908,-0.636
net-current-debt,1723.5,2846.0,1940.0,2121.5,541.0,-117.0,112.603,-119.47,96.5,-89.5,137.737,,,-54.172
debt-issuance-retirement-net-total,2222.144,2843.733,1937.87,2869.329,540.841,-117.099,112.467,-119.933,96.238,-89.816,137.216,-0.46,-0.908,-54.808
net-common-equity-issued-repurchased,-285.902,-46.916,-39.806,-214.923,-445.553,-23.166,28.81,31.362,22.532,17.959,-188.315,-72.612,29.92,1.423
net-total-equity-issued-repurchased,,,,,,,,,,,,,,
financial-activities-other,-2106.853,-2707.08,-1516.499,-2171.463,2.466,8.214,-2.951,0.82,2.032,5.774,4.131,8.64,8.067,
cash-flow-from-financial-activities,-170.611,89.737,381.565,482.943,97.754,-132.051,138.326,-87.751,120.802,-66.083,-46.968,-64.432,37.079,-53.385
net-cash-flow,-23.455,24.502,4.126,3.644,16.791,9.857,2.684,-7.655,-0.252,12.157,-88.497,33.248,58.403,4.181
stock-based-compensation,,,,,,,,,,,,,,
