,2018-12-31,2017-12-31,2016-12-31
net-income-loss,-82.8659,-31.0445,-19.7923
total-depreciation-amortization-cash-flow,2.0149,0.6985,0.2603
other-non-cash-items,26.2374,3.7618,3.5856
total-non-cash-items,,,
change-in-accounts-payable,-2.1195,4.7285,0.4531
change-in-assets-liabilities,-4.21,-1.1692,-0.2085
total-change-in-assets-liabilities,-4.2743,8.5289,1.5784
cash-flow-from-operating-activities,-58.8879,-18.0554,-14.368
net-change-in-property-plant-equipment,,,
cash-flow-from-investing-activities,-11.2585,-10.5357,-2.5936
net-long-term-debt,-0.0309,-0.0244,-0.0055
net-current-debt,-1.442,2.5,
debt-issuance-retirement-net-total,-1.4729,2.4756,-0.0055
net-common-equity-issued-repurchased,75.3542,0.01,
net-total-equity-issued-repurchased,,,
cash-flow-from-financial-activities,130.0404,19.3402,20.7572
net-cash-flow,59.5315,-9.2495,3.3744
stock-based-compensation,,,
