,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,6193.0,2418.0,3941.0,4459.0,11934.0,4517.0,6299.0,6392.0,982.0,13022.0,7932.0,3396.8,4433.8,4631.3
total-depreciation-amortization-cash-flow,4519.0,4676.0,5471.0,6375.0,6691.0,6988.0,6978.0,7427.0,7381.0,2576.0,1631.0,1988.2,2268.4,1708.1
other-non-cash-items,785.0,4184.0,3352.0,1098.0,-12494.0,684.0,853.0,-993.0,1152.0,-8968.0,384.0,444.4,182.3,-558.9
total-non-cash-items,5304.0,8860.0,8823.0,7473.0,-5803.0,7672.0,7831.0,6434.0,8533.0,-6392.0,2015.0,2432.6,2450.7,1149.2
change-in-accounts-receivable,-418.0,297.0,-619.0,-480.0,-554.0,436.0,349.0,-1168.0,-1089.0,165.0,-889.0,-290.7,-709.3,345.9
change-in-inventories,-911.0,-145.0,206.0,805.0,79.0,-365.0,-482.0,-678.0,1990.0,1211.0,-452.0,-40.7,226.5,125.6
change-in-accounts-payable,230.0,254.0,278.0,-37.0,593.0,522.0,-302.0,182.0,124.0,-45.0,,117.7,16.4,63.6
change-in-assets-liabilities,-940.0,-1210.0,-572.0,-282.0,92.0,431.0,-2950.0,-269.0,-258.0,334.0,-466.0,131.3,-107.5,235.3
total-change-in-assets-liabilities,-1553.0,-5017.0,-2601.0,-268.0,1824.0,-794.0,-4136.0,-766.0,930.0,-2703.0,-3983.0,1355.9,-250.5,1671.8
cash-flow-from-operating-activities,10922.0,6451.0,10376.0,12538.0,7989.0,11654.0,10022.0,12383.0,10822.0,3392.0,6572.0,6999.2,6765.2,7608.5
net-change-in-property-plant-equipment,-2615.0,-1888.0,-1614.0,-1283.0,-1317.0,-1548.0,-1954.0,-1723.0,-1678.0,-1461.0,-1298.0,-1011.0,-980.2,-1402.7
net-change-in-intangible-assets,,,,,-1000.0,0.0,,,,,,,,
net-acquisitions-divestitures,-431.0,-396.0,-780.0,-7428.0,11239.0,-200.0,,-50.0,-256.0,-12973.0,,-1135.9,-404.9,
net-change-in-short-term-investments,,,,,,,,,,,,,,
net-change-in-investments-total,7258.0,4925.0,-1298.0,3732.0,-9830.0,-1693.0,-5058.0,-1176.0,-2636.0,7871.0,-901.0,727.4998,-3447.5,3673.0
investing-activities-other,102.0,38.0,482.0,221.0,534.0,293.0,207.0,59.0,1073.0,9719.0,365.0,-1390.6,-51.1,-3.1
cash-flow-from-investing-activities,4314.0,2679.0,-3210.0,-4758.0,-374.0,-3148.0,-6805.0,-2890.0,-3497.0,3156.0,-1834.0,-2810.0,-4883.7,2267.2
net-long-term-debt,-4287.0,-1103.0,-1307.0,5032.0,-3471.0,4692.0,2540.0,-1547.0,658.0,4203.0,-1392.0,-1195.3,248.9,-14.9
net-current-debt,5124.0,-26.0,,-1540.0,-460.0,-159.0,624.0,1076.0,90.0,-2422.0,1860.0,11.4,-1522.8,1296.2
debt-issuance-retirement-net-total,837.0,-1129.0,-1307.0,3492.0,-3931.0,4533.0,3164.0,-471.0,748.0,1781.0,468.0,-1183.9,-1273.9,1281.3
net-common-equity-issued-repurchased,-8500.0,-3515.0,-2495.0,-3701.0,-6143.0,-5306.0,-1281.0,-1600.0,-1230.0,186.0,-2623.0,-531.1,-632.4,-878.8
net-total-equity-issued-repurchased,-8500.0,-3515.0,-2495.0,-3701.0,-6143.0,-5306.0,-1281.0,-1600.0,-1230.0,186.0,-2623.0,-531.1,-632.4,-878.8
total-common-preferred-stock-dividends-paid,-5172.0,-5167.0,-5124.0,-5117.0,-5247.0,-5277.0,-5236.0,-4811.0,-4853.0,-3479.0,-3401.0,-3428.1,-3322.6,-3349.8
financial-activities-other,-325.0,-195.0,-118.0,-61.0,79.0,60.0,86.0,-22.0,-106.0,-126.0,33.0,277.0,-375.3,-93.1
cash-flow-from-financial-activities,-13160.0,-10006.0,-9044.0,-5387.0,-15242.0,-5990.0,-3267.0,-6904.0,-5441.0,-1638.0,-5523.0,-4866.1,-5604.2,-3040.4
net-cash-flow,1871.0,-419.0,-2009.0,1083.0,-8180.0,2170.0,-80.0,2631.0,1589.0,4943.0,-968.0,-578.6,-3670.6,6706.5
stock-based-compensation,348.0,312.0,300.0,299.0,278.0,276.0,335.0,369.0,509.0,415.0,348.0,330.2,312.5,48.0
common-stock-dividends-paid,-5172.0,-5167.0,-5124.0,-5117.0,-5247.0,-5277.0,-5236.0,-4811.0,-4853.0,-3479.0,-3401.0,-3428.1,-3322.6,-3349.8
