,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,-98.418,-70.43,-83.118,-64.544,-43.698,-52.859,-20.286,-9.778,-14.26,-20.75,-8.47,-20.61,-6.62,-12.62
total-depreciation-amortization-cash-flow,-1.145,-0.082,0.187,0.549,0.733,0.171,0.123,0.197,0.68,0.86,1.22,1.36,1.31,1.05
other-non-cash-items,15.854,6.786,10.624,10.254,11.567,22.961,2.094,-1.37,,,,,,
total-non-cash-items,,,,,,,,,,,,,,
change-in-assets-liabilities,0.693,0.197,-1.005,-1.343,-1.514,0.34,-0.015,-0.34,,,,,,
total-change-in-assets-liabilities,13.613,-0.98,4.29,3.027,-1.363,0.272,1.419,-0.693,-1.73,0.62,-14.21,-3.08,16.72,-0.15
cash-flow-from-operating-activities,-70.096,-64.706,-68.017,-50.714,-32.748,-29.455,-16.65,-11.644,-15.25,-18.84,-20.99,-20.85,11.82,-10.78
net-change-in-property-plant-equipment,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
net-change-in-short-term-investments,-145.643,-8.57,38.451,54.53,35.073,-29.27,0.285,-19.843,,,,,,
net-change-in-long-term-investments,,,,-104.954,-10.468,,,0.665,,,,,,
net-change-in-investments-total,-145.643,-8.57,38.451,-50.424,24.605,-29.27,0.285,-19.178,3.15,24.85,24.07,7.0,-34.36,12.99
investing-activities-other,,,,,,,,,-0.61,,-0.15,-0.65,-0.25,-0.2
cash-flow-from-investing-activities,,,,,,,,,,,,,,
net-current-debt,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
net-common-equity-issued-repurchased,140.852,158.677,2.652,144.367,0.887,54.757,24.813,35.651,,,,,,
net-total-equity-issued-repurchased,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
financial-activities-other,,,,,,,,-2.037,6.01,-0.2,,-1.31,-0.53,
cash-flow-from-financial-activities,140.852,158.677,2.652,144.367,0.887,54.757,24.813,33.614,6.01,1.18,0.0,17.58,23.65,-0.0033
net-cash-flow,-75.009,85.32,-27.11,42.9,-7.642,-4.168,8.521,2.481,-6.65,7.27,2.58,2.36,0.13,0.65
stock-based-compensation,,,,,,,,,,,,,,
