,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31
net-income-loss,-50.1713,-31.5232,-31.0454,-27.0816,-56.9014,-3.262,-1.582
total-depreciation-amortization-cash-flow,-0.0641,0.0322,0.4669,0.642,1.9862,0.0362,
other-non-cash-items,8.1827,-4.3431,3.5712,2.2022,17.9565,0.6779,0.5878
total-non-cash-items,,,,,,,
change-in-accounts-payable,0.364,-0.0327,0.1078,0.7188,0.3687,0.523,
change-in-assets-liabilities,-0.6228,40.8837,0.3727,-0.4077,-0.7055,0.0081,0.0253
total-change-in-assets-liabilities,0.111,38.9271,1.3196,-0.032,0.9979,0.3877,0.0856
cash-flow-from-operating-activities,-41.9418,3.0929,-25.6877,-24.2694,-35.9609,-2.1602,-0.9085
net-change-in-property-plant-equipment,,,,,,,
net-acquisitions-divestitures,,,,,1.1679,,
net-change-in-short-term-investments,,,,,,,
net-change-in-investments-total,69.4896,-107.1359,17.818,-18.2846,,,
investing-activities-other,,,,-0.045,-0.035,,
cash-flow-from-investing-activities,69.4896,-107.1883,17.818,-18.3296,1.0872,-0.0032,
net-long-term-debt,-4.0007,-4.9387,-1.5706,10.0,,,
net-current-debt,,,,,,1.3,
debt-issuance-retirement-net-total,-4.0007,-4.9387,-1.5706,10.0,,1.3,
net-common-equity-issued-repurchased,0.6559,55.0495,81.9688,31.0,55.0408,1.85,0.9
net-total-equity-issued-repurchased,,,,,,,
financial-activities-other,,-2.9442,-3.832,-2.6626,-3.4398,0.6315,
cash-flow-from-financial-activities,-3.3448,47.1666,76.5662,38.3374,51.601,3.7815,0.9
net-cash-flow,24.2031,-56.9288,68.6966,-4.2616,16.7274,1.618,-0.0085
stock-based-compensation,,,,,,,
