,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31
net-income-loss,-85.343,-67.543,-31.634,-12.397,0.0
total-depreciation-amortization-cash-flow,4.464,2.994,1.104,0.328,0.0
other-non-cash-items,16.445,15.488,6.728,1.317,
total-non-cash-items,20.909,18.482,7.832,1.645,
change-in-accounts-receivable,,,,,
change-in-accounts-payable,0.232,-0.488,1.784,0.335,
change-in-assets-liabilities,-2.759,-14.104,60.531,8.861,
total-change-in-assets-liabilities,3.177,-16.215,59.911,8.989,0.0
cash-flow-from-operating-activities,-61.257,-65.276,36.109,-1.763,0.0
net-change-in-property-plant-equipment,,,,,0.0
net-change-in-short-term-investments,,,,,
net-change-in-investments-total,,,,,
cash-flow-from-investing-activities,,,,,0.0
net-common-equity-issued-repurchased,40.641,142.981,170.768,,
net-total-equity-issued-repurchased,,,,,0.0
financial-activities-other,-0.424,,-3.364,-1.702,
cash-flow-from-financial-activities,40.217,142.981,167.304,70.288,0.0
net-cash-flow,-281.822,67.614,197.248,65.971,0.0
stock-based-compensation,,,,,
