,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,3.292,-26.831,-28.879,-73.52,-51.5,-44.974,-51.867,-45.831,-61.159,-72.344,-94.771,-53.539,-35.95,-21.636
total-depreciation-amortization-cash-flow,15.646,13.854,13.833,15.838,12.223,11.806,11.03,8.503,5.077,10.807,9.068,4.92,2.64,1.236
other-non-cash-items,69.784,52.569,44.54,37.126,59.229,29.991,23.541,9.346,27.857,9.899,16.718,3.76,2.129,0.053
total-non-cash-items,85.43,66.423,58.373,52.964,71.452,41.797,34.571,17.849,32.934,20.706,25.786,8.68,4.769,1.289
change-in-accounts-receivable,-22.879,-26.322,12.551,-9.793,-10.069,-4.514,-13.513,-3.617,-5.196,-6.972,-12.491,-4.486,-1.426,-0.154
change-in-inventories,,,,,,,,,,,,,,
change-in-assets-liabilities,-12.305,-1.065,-2.67,0.533,2.147,-4.789,1.78,-0.429,0.278,1.957,2.92,2.208,-1.41,0.243
total-change-in-assets-liabilities,-52.823,1.615,-13.583,8.004,-11.032,6.525,-11.763,2.53,-7.4,2.315,-13.626,-5.513,-0.639,0.026
cash-flow-from-operating-activities,35.899,41.207,15.911,-12.552,8.92,3.348,-29.059,-25.452,-35.625,-49.323,-82.611,-50.372,-31.82,-20.321
net-change-in-property-plant-equipment,,,,,,,,,,,,,,
net-acquisitions-divestitures,,,5.714,-4.715,,,,-37.855,,,,,,
net-change-in-short-term-investments,,,,,,,,,,,,,,
net-change-in-investments-total,,,,,,,,,,,,,0.55,-0.55
cash-flow-from-investing-activities,-184.504,-210.797,-178.01,-15.323,-11.486,-7.307,-10.991,-48.969,-6.549,-3.14,-10.047,-10.089,-12.587,-6.022
net-long-term-debt,,-0.269,-5.518,-5.576,-3.858,-2.994,,50.588,-32.5,29.379,53.311,-2.727,20.0,9.989
net-current-debt,-6.699,293.066,180.097,,4.969,,,,,,,,,
debt-issuance-retirement-net-total,-6.699,292.797,174.579,-5.576,1.111,-2.994,,50.588,-32.5,29.379,53.311,-2.727,20.0,9.989
net-common-equity-issued-repurchased,15.815,15.804,4.854,7.851,11.586,102.652,4.927,5.46,60.42,94.417,1.413,124.535,0.18,0.015
net-total-equity-issued-repurchased,,,,,,,,,,,,,,
financial-activities-other,-17.781,-4.054,-2.866,-2.646,-8.665,-3.265,-1.539,-0.946,-0.468,,0.009,0.01,0.011,
cash-flow-from-financial-activities,-8.665,304.547,176.567,-0.371,4.032,96.393,3.388,55.102,27.452,123.796,54.733,121.818,69.978,10.004
net-cash-flow,-158.671,135.403,14.502,-28.521,1.466,92.434,-36.662,-19.319,-14.722,71.333,-37.925,61.357,25.571,-16.339
stock-based-compensation,,,,,,,,,,,,,,
