,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2015-06-30,2014-06-30,2013-06-30,2012-06-30,2011-06-30,2010-06-30,2009-06-30,2008-06-30,2007-06-30,2006-06-30,2005-06-30
net-income-loss,131.0,119.6,-4012.8,42.5,136.1,232.8,441.9,401.6,339.2,223.799,145.533,135.773,73.797,71.4,-352.983
total-depreciation-amortization-cash-flow,415.5,422.4,432.3,172.2,258.9,208.1,160.2,135.3,102.9,74.104,71.297,69.231,58.032,56.604,34.813
other-non-cash-items,65.9,260.8,4336.9,107.0,295.8,171.6,23.6,28.4,-55.3,15.234,35.018,15.768,14.313,11.464,370.196
total-non-cash-items,481.4,683.2,4769.2,279.2,554.7001,379.7,183.8,163.7,47.6,89.338,106.315,84.999,72.345,68.068,405.009
change-in-accounts-receivable,21.0,3.2,-0.6,52.5,-51.1,-140.5,-37.0,-49.3,-107.2,-21.766,5.747,-38.742,-36.812,-31.085,-16.903
change-in-inventories,-98.6,-16.0,100.7,-29.6,-11.4,84.7,-94.6,5.4,-30.4,-32.217,6.776,-72.48,18.786,-31.681,40.528
change-in-accounts-payable,28.8,-39.6,-75.7,-194.1,120.5,-24.9,6.5,-23.6,57.8,-1.558,4.444,67.638,-19.186,38.312,-6.736
change-in-assets-liabilities,-8.8,-4.8,-12.3,2.9,0.6,31.9,15.3,-5.7,11.2,4.947,-5.013,8.467,5.375,16.229,-4.53
total-change-in-assets-liabilities,-19.4,-103.9,-101.5,-120.8,164.4,20.5,-71.8,-51.9,-12.7,19.226,-12.091,23.543,-18.701,-12.937,17.562
cash-flow-from-operating-activities,593.0,698.9,654.9,200.9,855.2,633.0,553.8,513.4,374.1,332.363,239.757,244.315,127.441,126.531,77.644
net-change-in-property-plant-equipment,-102.6,-88.6,-106.2,-77.8,-137.0,-171.6,-104.1,-120.2,-99.4,-57.816,-57.431,-44.824,-45.014,-36.427,-26.824
net-change-in-intangible-assets,13.7,87.3,353.7,166.3,344.6,60.5,,10.5,0.0,,,,,,
net-acquisitions-divestitures,5.2,2354.2,-358.3,-791.6,-2177.8,-1605.8,-852.3,-573.7,-1.0,-851.822,-88.248,-83.312,,,-381.57
net-change-in-short-term-investments,,,,,,,,,,,,,,,
net-change-in-investments-total,-7.5,,4.5,,,81.4,8.6,,0.6,,,31.799,-22.495,-9.281,177.112
investing-activities-other,-35.6,-14.8,-68.7,-5.0,-332.1,-8.8,,-0.8,-10.8,-10.262,-1.0,-24.901,-57.925,-3.0,-418.136
cash-flow-from-investing-activities,-126.8,2338.1,-175.0,-708.1,-2302.3,-1644.3,-947.8,-684.1,-110.6,-919.9,-146.679,-121.238,-125.434,-48.708,-649.418
net-long-term-debt,-55.9,-2604.2,-171.3999,689.7,626.8,1255.6,-40.0,-610.0,-45.0,460.0,-31.38,239.199,40.0,-35.0,585.0
net-current-debt,,,,,,,5.0,-2.7,-6.2,-8.771,-13.736,-11.776,-8.295,-5.287,6.421
debt-issuance-retirement-net-total,-55.9,-2604.2,-171.3999,689.7,626.8,1255.6,-35.0,-612.7,-51.2,451.229,-45.116,227.423,31.705,-40.287,591.421
net-common-equity-issued-repurchased,-398.7,-190.8,8.3,-495.1,1043.5,9.8,10.7,3.4,6.0,-49.644,-52.427,-45.954,-7.102,-20.274,4.01
net-total-equity-issued-repurchased,-398.7,-190.8,8.3,-495.1,1043.5,9.8,10.7,3.4,6.0,-49.644,-52.427,-45.954,-7.102,-20.274,4.01
total-common-preferred-stock-dividends-paid,-104.9,-91.1,-83.2,-36.3,-64.8,-46.1,-33.0,-29.0,-25.3,-22.329,-19.957,-18.219,-16.476,-15.613,-11.935
financial-activities-other,-12.4,-118.6,-22.4,-8.7,-83.1,-191.3,634.6,1097.0,11.7,4.047,2.29,10.595,2.952,-0.861,-0.309
cash-flow-from-financial-activities,-571.9,-3004.7,-268.7,149.6,1522.4,1028.0,577.2,458.7,-58.8,383.303,-115.21,173.845,11.079,-77.035,583.187
net-cash-flow,-127.6,56.4,204.5,-367.8,-13.9,19.6,177.4,292.4,200.4,-207.873,-19.771,288.299,11.287,2.311,8.315
stock-based-compensation,37.7,43.8,23.0,22.8,31.6,24.6,18.4,19.0,15.4,14.696,10.353,8.469,8.953,9.485,8.056
common-stock-dividends-paid,-104.9,-91.1,-83.2,-36.3,-64.8,-46.1,-33.0,-29.0,-25.3,-22.329,-19.957,-18.219,-16.476,-15.613,-11.935
