,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31
net-income-loss,-83.304,-79.26,-73.374,-82.083,-49.777,-35.62,-18.92
total-depreciation-amortization-cash-flow,12.415,7.543,6.089,6.324,2.58,0.71,0.7
other-non-cash-items,1.053,22.12,5.388,17.843,9.605,,
total-non-cash-items,13.468,29.663,11.477,24.167,12.185,0.71,0.7
change-in-accounts-receivable,1.578,9.715,-5.917,-1.68,-1.195,,
change-in-inventories,,,0.48,-0.26,0.882,,
change-in-accounts-payable,1.065,-1.67,0.344,-0.774,-0.321,,
change-in-assets-liabilities,-8.844,-22.718,-5.199,68.098,1.375,,
total-change-in-assets-liabilities,-6.201,-14.673,-10.292,65.384,0.741,18.71,0.54
cash-flow-from-operating-activities,-76.037,-64.27,-72.189,7.468,-36.851,-5.49,-14.5
net-change-in-property-plant-equipment,-2.384,-4.461,-15.288,-7.607,-22.195,-1.77,-0.5
net-change-in-intangible-assets,-1.861,-1.122,-1.884,-0.415,-0.299,,
net-acquisitions-divestitures,,,,,,0.0,0.0
investing-activities-other,,,,,,-6.15,-0.56
cash-flow-from-investing-activities,-4.245,-5.583,-17.172,-8.022,-23.942,-7.93,-1.07
net-long-term-debt,,,,,,0.0,0.0
debt-issuance-retirement-net-total,14.775,1.322,-0.148,-0.186,9.335,0.0,0.0
net-common-equity-issued-repurchased,143.186,89.334,2.593,85.384,85.058,,
net-total-equity-issued-repurchased,,,,,,0.0,0.0
financial-activities-other,,-0.582,,75.493,,-0.18,
cash-flow-from-financial-activities,157.961,90.074,2.445,160.691,94.393,44.68,14.49
net-cash-flow,75.491,27.527,-88.545,156.938,31.911,31.27,-1.07
stock-based-compensation,,,,,,,
