,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2006-12-31,2005-12-31
net-income-loss,-197.611,-302.139,-245.874,-145.618,-59.802,-35.07,-16.334,-6.849,0.0,0.0
total-depreciation-amortization-cash-flow,16.897,7.531,8.266,7.021,4.284,1.857,0.313,0.034,,
other-non-cash-items,-85.062,44.75,50.331,24.884,8.718,3.558,1.193,0.537,,
total-non-cash-items,-68.165,52.281,58.597,31.905,13.002,5.415,1.506,0.571,,
change-in-accounts-receivable,-7.583,-5.172,,,,,,,,
change-in-inventories,-5.283,-0.757,,,,,,,,
change-in-accounts-payable,3.372,3.459,2.502,-1.982,3.177,0.237,0.858,0.252,,
change-in-assets-liabilities,-14.285,3.113,-8.389,-6.952,-4.492,-4.208,-0.039,-0.249,,
total-change-in-assets-liabilities,-24.79,-3.985,26.302,7.736,2.166,-1.545,2.324,0.453,,
cash-flow-from-operating-activities,-290.566,-253.843,-160.975,-105.977,-44.634,-31.2,-12.504,-5.825,,
net-change-in-property-plant-equipment,,,,,,,,,,
net-acquisitions-divestitures,,-142.804,,,,,,,,
net-change-in-short-term-investments,,,,,,,,,,
net-change-in-investments-total,-199.577,201.079,101.305,-285.855,-120.998,-47.352,,,,
investing-activities-other,170.322,,,-1.541,-0.293,0.025,-0.1,-0.376,,
cash-flow-from-investing-activities,-33.331,55.482,91.117,-292.351,-123.44,-47.734,-1.191,-0.924,,
net-long-term-debt,,-4.944,,,,,,,,
net-current-debt,,,,,,,0.1,2.45,,
debt-issuance-retirement-net-total,,-4.944,,,,,0.1,2.45,,
net-common-equity-issued-repurchased,336.853,141.211,138.676,467.573,189.317,0.171,0.131,,,
net-total-equity-issued-repurchased,336.853,141.211,138.676,467.573,189.317,0.171,89.14,14.879,,
total-common-preferred-stock-dividends-paid,,,,,,,,,,
cash-flow-from-financial-activities,336.853,136.267,138.676,467.573,184.971,0.171,89.24,17.329,,
net-cash-flow,12.484,-61.566,68.753,69.245,16.897,-78.763,75.545,10.58,,
stock-based-compensation,,,,,,,,,,
