,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31
net-income-loss,-45.3,-58.8,177.1,-84.3,-79.62,130.083,-119.74,-71.745,12.618,14.59,1.243
total-depreciation-amortization-cash-flow,40.3,16.3,10.2,8.5,6.047,6.823,6.355,4.862,6.157,3.921,2.54
other-non-cash-items,5.6,40.9,153.2,-25.0,-21.048,105.0,-55.809,-73.13,0.903,6.335,6.953
total-non-cash-items,45.9,57.2,163.4,-16.5,-15.001,111.823,-49.454,-68.268,7.06,10.256,9.493
change-in-accounts-receivable,,,,,,,,,,,
change-in-accounts-payable,-3.0,-0.3,1.2,-7.2,8.251,3.378,-0.358,-1.214,18.093,-6.113,15.546
change-in-assets-liabilities,27.9,22.9,-448.7,90.7,-18.382,-190.496,208.245,133.892,1.067,0.151,8.894
total-change-in-assets-liabilities,17.7,22.5,-427.4,77.0,17.385,-187.483,198.36,151.714,12.318,-9.747,28.79
cash-flow-from-operating-activities,18.3,20.9,-86.9,-23.8,-77.236,54.423,29.166,11.701,31.996,15.099,39.525
net-change-in-property-plant-equipment,,,,,,,,,,,
net-acquisitions-divestitures,,,1.0,-1.0,,,,,,,
investing-activities-other,,,,,,,,,-1.844,0.618,0.698
cash-flow-from-investing-activities,-496.3,-33.6,-11.6,-22.3,-6.034,-1.877,-10.544,-7.405,-16.869,-7.244,-6.133
net-long-term-debt,,,,,,,,,,,
debt-issuance-retirement-net-total,357.3,,,,,,,,,,
net-common-equity-issued-repurchased,23.5,-2.3,-0.2,1.5,-0.37,-0.115,-42.764,17.773,85.943,0.214,-1.359
net-total-equity-issued-repurchased,23.5,-2.3,178.5,1.5,-0.37,-0.115,-42.764,17.773,85.077,0.214,-1.359
total-common-preferred-stock-dividends-paid,,,,,,,,,,-14.941,-15.001
financial-activities-other,-3.4,-1.9,-2.0,3.4,0.176,0.015,4.403,18.927,11.989,-1.27,0.057
cash-flow-from-financial-activities,377.4,-4.2,176.5,4.9,-0.194,-0.1,-38.361,36.7,97.066,-15.997,-16.303
net-cash-flow,-101.3,-16.3,77.7,-41.7,-83.724,51.935,-19.769,40.658,111.914,-7.997,16.911
stock-based-compensation,18.4,10.7,29.8,29.2,27.181,25.025,25.298,25.186,16.549,11.426,6.883
common-stock-dividends-paid,,,,,,,,,,-14.941,-15.001
