,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2006-10-31,2005-10-31
net-income-loss,38.133,2.075,8.004,8.638,1.685,2.376,59.604,7.342,-12.685,-2.175,-12.733,-17.531,-10.983,-6.894,-3.57
total-depreciation-amortization-cash-flow,76.797,70.279,71.655,65.98,64.99,63.455,65.903,64.172,59.723,63.691,59.629,46.318,5.861,16.492,17.536
other-non-cash-items,-16.525,47.521,40.107,37.916,49.735,30.419,25.51,22.978,39.407,34.658,32.394,31.136,10.828,11.182,5.399
total-non-cash-items,60.272,117.8,111.762,103.896,114.725,93.874,91.413,87.15,99.13,98.349,92.023,77.454,16.689,27.674,22.935
change-in-accounts-receivable,,,,,,,,,,,,,,,
change-in-assets-liabilities,-11.766,23.333,14.001,-7.33,-2.34,4.866,-52.958,-4.384,-2.995,4.257,-0.831,4.984,2.698,-1.973,-2.572
total-change-in-assets-liabilities,18.349,22.35,-28.125,-45.497,-55.406,-29.828,-75.748,-36.856,-19.561,-19.556,-33.858,-34.602,-5.266,-10.529,-8.225
cash-flow-from-operating-activities,116.754,142.225,91.641,67.037,61.004,66.422,75.269,57.636,66.884,76.618,45.432,25.321,0.44,10.251,11.14
net-change-in-property-plant-equipment,,,,,,,,,,,,,,,
net-acquisitions-divestitures,,,,,,,,,,,,,,,
net-change-in-long-term-investments,-2.0,0.355,-0.38,-0.265,-3.562,2.64,-0.956,-5.094,,-0.315,-0.938,-2.153,,,
net-change-in-investments-total,-2.0,0.355,-0.38,-0.265,-3.562,2.64,-0.956,-5.094,,-0.315,-0.938,-2.153,,,
investing-activities-other,-2.2,-0.5,,,,,,2.74,,,,-0.139,,,
cash-flow-from-investing-activities,-146.749,-79.32,-65.49,-96.796,-53.642,-50.66,-87.048,-87.739,-101.382,-36.283,-56.035,-45.864,10.214,-13.497,-3.998
net-long-term-debt,-11.902,-33.502,-4.462,25.069,-9.957,-7.642,19.387,39.244,44.85,-25.402,14.62,18.952,-1.534,10.426,-8.03
net-current-debt,,,,,,,,,,,,,-0.737,,
debt-issuance-retirement-net-total,-11.902,-33.502,-4.462,25.069,-9.957,-7.642,19.387,39.244,44.85,-25.402,14.62,18.952,-2.271,10.426,-8.03
net-common-equity-issued-repurchased,0.02,,0.15,0.594,1.546,0.469,,0.242,0.271,0.016,0.473,0.958,0.003,1.497,
net-total-equity-issued-repurchased,,,,,,,,,,,,,,,
financial-activities-other,1.013,1.255,-1.598,4.276,-6.994,-0.45,-9.764,-7.553,-20.079,-4.855,-4.508,-2.57,-5.167,-8.677,0.889
cash-flow-from-financial-activities,-10.869,-32.247,-5.91,29.939,-15.405,-7.623,9.623,31.933,25.042,-30.241,10.585,17.34,-7.435,3.246,-7.141
net-cash-flow,-40.933,30.684,20.192,0.139,-8.105,8.05,-2.093,1.828,-9.467,10.094,-0.018,-3.203,3.219,0.0,0.001
stock-based-compensation,,,,,,,,,,,,,,,
