,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,2444.4,1198.5,895.5,636.056,338.126,413.738,750.269,-221.76,-104.468,-67.83,-79.129,-106.519,-102.337,-95.446
total-depreciation-amortization-cash-flow,148.2,145.5,104.7,74.909,52.686,41.204,36.94,31.082,19.687,14.247,11.287,11.487,14.592,15.504
other-non-cash-items,299.5,889.6,244.9,389.988,346.045,324.323,-189.025,67.909,43.977,33.497,34.771,34.018,17.862,21.859
total-non-cash-items,447.7,1035.1,349.6,464.897,398.731,365.527,-152.085,98.991,63.664,47.744,46.058,45.505,32.454,37.363
change-in-accounts-receivable,-268.9,-362.7,-143.8,-491.421,-34.927,-245.472,-588.398,-21.118,-17.518,-30.494,-16.892,-10.827,29.028,6.581
change-in-inventories,,,,,,,,,,,,,,
change-in-assets-liabilities,-250.2,-226.4,280.4,529.416,-53.73,-33.925,-66.448,-33.717,149.939,-31.933,-33.394,80.115,60.988,14.543
total-change-in-assets-liabilities,-697.0,-926.5001,240.8,229.8271,15.578,-190.669,-672.799,-18.913,140.026,-49.85,-56.015,88.386,92.958,27.787
cash-flow-from-operating-activities,2195.1,1307.1,1485.9,1330.78,752.435,588.596,-74.615,-141.682,99.222,-69.936,-89.086,27.372,23.075,-30.296
net-change-in-property-plant-equipment,,,,,,,,,,,,,,
net-change-in-short-term-investments,,,,,,,,,,,,,,
net-change-in-investments-total,-1069.9,-732.6,-534.9,-229.668,-87.771,-199.132,-31.736,185.688,-331.401,95.12,65.722,-67.277,-150.694,120.458
investing-activities-other,-10.0,,,,,,,,-5.941,0.05,-0.05,,-1.6,
cash-flow-from-investing-activities,-1463.0,-1005.2,-1046.8,-907.601,-420.777,-355.455,-81.073,128.471,-437.031,-2.148,30.815,-85.723,-155.105,115.494
net-long-term-debt,,37.1,-40.6,-713.934,-516.2859,-2.024,-2.203,271.94,46.516,22.765,,,,
net-current-debt,,,,,,,,,,,-200.807,,,
debt-issuance-retirement-net-total,,37.1,-40.6,-713.934,-516.2859,-2.024,-2.203,271.94,46.516,22.765,-200.807,,,
net-common-equity-issued-repurchased,-77.1,-61.5,-659.9,45.821,-141.539,-137.694,-99.751,112.309,196.79,8.598,7.949,319.4,185.008,4.081
net-total-equity-issued-repurchased,,,,,,,,,,,,,,
financial-activities-other,,,,405.317,439.278,211.909,4.308,,,,,,0.39,
cash-flow-from-financial-activities,-77.1,-24.4,-700.5,-262.796,-218.547,72.191,-97.646,384.249,243.306,31.363,-192.858,319.4,185.398,4.081
net-cash-flow,655.0,277.5,-261.4,160.383,113.111,305.332,-253.334,371.038,-94.503,-40.721,-251.129,261.049,53.368,89.279
stock-based-compensation,,,,,,,,,,,,,,
