,2019-03-31,2018-03-31,2017-03-31
net-income-loss,-30.834,-19.702,-7.704
total-depreciation-amortization-cash-flow,-1.567,-0.014,0.122
other-non-cash-items,8.275,1.81,0.358
total-non-cash-items,,,
change-in-accounts-payable,0.12,1.596,0.203
change-in-assets-liabilities,-1.08,-1.097,-1.462
total-change-in-assets-liabilities,-1.252,1.892,0.147
cash-flow-from-operating-activities,-25.378,-16.014,-7.077
net-change-in-property-plant-equipment,,,
net-change-in-short-term-investments,,,
net-change-in-investments-total,,,
cash-flow-from-investing-activities,,,
net-common-equity-issued-repurchased,103.547,,
net-total-equity-issued-repurchased,,,
financial-activities-other,-2.157,,
cash-flow-from-financial-activities,101.39,54.752,15.0
net-cash-flow,9.229,-3.011,6.266
stock-based-compensation,,,
