,2018-12-31,2017-12-31,2016-12-31
net-income-loss,-89.195,-43.847,-11.016
total-depreciation-amortization-cash-flow,1.263,0.447,0.118
other-non-cash-items,29.472,18.73,0.257
total-non-cash-items,,,
change-in-accounts-payable,4.938,1.11,0.589
change-in-assets-liabilities,-9.126,-0.625,-0.068
total-change-in-assets-liabilities,0.119,2.732,1.139
cash-flow-from-operating-activities,-58.341,-21.938,-9.502
net-change-in-property-plant-equipment,,,
net-change-in-short-term-investments,-160.972,,
net-change-in-long-term-investments,64.285,,
net-change-in-investments-total,,,
cash-flow-from-investing-activities,-111.639,-2.251,-0.443
net-long-term-debt,19.5,1.5,4.0
net-current-debt,0.246,,
debt-issuance-retirement-net-total,19.746,1.5,4.0
net-common-equity-issued-repurchased,0.064,0.137,
net-total-equity-issued-repurchased,,,
financial-activities-other,254.033,-0.011,-0.019
cash-flow-from-financial-activities,374.829,121.693,15.418
net-cash-flow,204.849,97.504,5.473
stock-based-compensation,,,
