,2018-12-31,2017-12-31,2016-12-31,2015-12-31
net-income-loss,-74.064,-33.709,-25.872,-11.073
total-depreciation-amortization-cash-flow,0.442,0.223,0.144,
other-non-cash-items,10.899,4.065,1.179,1.721
total-non-cash-items,,,,
change-in-accounts-payable,6.953,1.946,0.16,
change-in-assets-liabilities,-6.286,-1.985,1.17,-1.463
total-change-in-assets-liabilities,0.667,-0.039,1.33,2.375
cash-flow-from-operating-activities,-62.056,-29.46,-23.219,-6.977
net-change-in-property-plant-equipment,,,,
net-change-in-short-term-investments,,,,
net-change-in-investments-total,,,,
cash-flow-from-investing-activities,,,,
net-common-equity-issued-repurchased,164.686,126.358,,2.094
net-total-equity-issued-repurchased,,,,
cash-flow-from-financial-activities,164.686,167.2,,41.711
net-cash-flow,15.482,27.696,-28.329,34.717
stock-based-compensation,,,,
