,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,-222.693,-125.53,-140.111,-120.486,-76.141,-62.52,-53.782,-152.03,-66.265,-81.683,-85.501,-48.932,-36.015,-29.433
total-depreciation-amortization-cash-flow,23.502,24.766,22.78,17.351,12.34,10.498,8.733,16.644,6.991,6.882,5.084,2.548,2.418,2.333
other-non-cash-items,47.872,-3.332,52.471,41.836,40.619,31.406,25.34,19.984,14.33,11.849,10.412,7.221,4.683,1.247
total-non-cash-items,71.374,21.434,75.251,59.187,52.959,41.904,34.073,36.628,21.321,18.731,15.496,9.769,7.101,3.58
change-in-accounts-receivable,-45.233,-22.846,-8.998,-13.682,-9.74,3.935,21.512,-35.676,60.843,-71.936,-2.198,-5.09,-0.215,0.794
change-in-inventories,,,,,,,,,,,,,,
change-in-assets-liabilities,-46.799,-19.202,-41.891,-51.249,-29.147,3.404,34.274,9.251,-15.378,69.516,3.402,79.828,-6.396,-0.643
total-change-in-assets-liabilities,-52.217,-14.804,-32.111,-71.904,-36.817,19.506,30.59,-8.629,51.752,1.197,7.375,78.993,-6.267,0.381
cash-flow-from-operating-activities,-203.536,-118.9,-96.971,-133.203,-59.999,-1.11,10.881,-124.031,6.808,-61.755,-62.63,39.83,-35.181,-25.472
net-change-in-property-plant-equipment,,,,,,,,,,,,,,
net-acquisitions-divestitures,-598.151,-41.657,,,,,,,,,,,,
net-change-in-short-term-investments,,,,-5.0,0.0,0.0,,,,,,,,
net-change-in-long-term-investments,26.74,200.24,96.028,-357.458,53.798,-2.482,-69.091,19.57,-8.022,-142.829,-62.944,8.356,-9.081,27.233
net-change-in-investments-total,26.74,200.24,96.028,-362.458,53.798,-2.482,-69.091,19.57,-8.022,-142.829,-62.944,8.356,-9.081,27.233
investing-activities-other,,,,,,,,-5.764,0.026,-0.028,,,,
cash-flow-from-investing-activities,,,,,,,,,,,,,,
net-common-equity-issued-repurchased,713.407,41.311,35.196,554.381,16.188,35.199,35.724,187.984,7.377,196.887,101.614,6.604,43.923,1.152
net-total-equity-issued-repurchased,,,,,,,,,,,,,,
cash-flow-from-financial-activities,713.407,41.311,35.196,554.381,16.188,35.199,35.724,187.984,7.377,196.887,101.614,6.604,43.923,1.152
net-cash-flow,-82.759,52.272,6.418,45.328,-7.189,9.453,-32.971,66.507,2.641,-12.314,-28.844,50.507,-2.019,1.511
stock-based-compensation,,,,,,,,,,,,,,
