,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,-68.889,-54.568,-71.658,-40.703,-26.417,-26.624,-22.264,-35.75,-24.854,-18.587,-24.302,-21.48,-17.864,-13.293
total-depreciation-amortization-cash-flow,-3.47,0.825,1.218,1.815,1.647,1.481,1.549,2.222,1.863,0.86,-0.536,-1.871,-0.686,0.488
other-non-cash-items,16.245,9.181,15.142,6.078,9.43,6.206,5.461,8.081,7.818,8.199,6.808,2.437,7.796,0.021
total-non-cash-items,12.775,10.006,16.36,7.893,11.077,7.687,7.01,10.303,9.681,9.059,6.272,0.566,7.11,0.509
change-in-accounts-receivable,,,,,,,,,,,,,,
change-in-assets-liabilities,98.499,48.315,-6.326,-8.004,12.98,-2.67,11.148,-0.077,-11.636,3.5,1.347,2.704,-4.508,7.741
total-change-in-assets-liabilities,93.266,55.741,-10.585,-0.91,9.665,-0.545,7.172,-0.448,-8.761,3.391,0.685,4.846,-3.724,8.414
cash-flow-from-operating-activities,37.152,11.179,-65.883,-33.72,-5.675,-19.482,-8.082,-25.895,-23.934,-6.137,-17.345,-16.068,-14.478,-4.069
net-change-in-property-plant-equipment,,,,,,,,,,,,,,
net-acquisitions-divestitures,-75.647,,,-2.411,-0.621,0.079,,,,,,,,
net-change-in-short-term-investments,,,,,,,,,,,,,,
net-change-in-investments-total,,,,,,,,,,,,,,
cash-flow-from-investing-activities,,,,,,,,,,,,,,
net-common-equity-issued-repurchased,231.963,98.144,1.113,6.804,106.733,78.122,1.676,51.924,1.185,26.763,1.847,42.279,20.905,18.379
net-total-equity-issued-repurchased,,,,,,,,,,,,,,
financial-activities-other,-0.254,-0.654,-0.776,12.906,-4.556,-2.015,,-0.048,,,,,,
cash-flow-from-financial-activities,231.709,97.49,0.337,19.71,102.177,76.107,1.676,51.876,1.185,26.763,1.847,42.279,20.905,18.379
net-cash-flow,90.592,31.265,-47.421,63.452,-4.156,-11.493,4.913,5.982,-10.375,1.75,7.134,-0.427,-5.805,9.881
stock-based-compensation,,,,,,,,,,,,,,
