,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,-120.011,-91.248,-69.77,-52.642,-45.719,-62.134,94.201,49.931,-47.064,-20.192,-16.734,-21.981,-23.284,-18.642
total-depreciation-amortization-cash-flow,30.56,33.429,32.898,37.781,30.769,9.84,-0.057,-6.65,-7.794,-4.942,0.61,0.255,0.198,0.264
other-non-cash-items,5.146,5.595,14.209,20.268,26.284,42.536,-19.462,25.763,8.67,0.283,10.345,-5.903,7.264,1.011
total-non-cash-items,35.706,39.024,47.107,58.049,57.053,52.376,-19.519,19.113,0.876,-4.659,10.955,-5.648,7.462,1.275
change-in-accounts-receivable,1.273,11.357,-2.599,33.228,-19.601,42.686,-33.632,-30.652,-12.393,1.118,-4.811,0.959,-0.863,-0.088
change-in-inventories,,,,,,,,,,,,,,
change-in-assets-liabilities,5.265,-8.104,-6.154,-5.433,-5.909,-13.112,13.067,-2.762,16.819,-1.162,0.194,-0.311,0.731,0.248
total-change-in-assets-liabilities,21.902,13.369,-17.796,1.337,-14.961,7.672,-2.723,-25.756,23.644,7.217,-2.226,2.214,2.304,1.322
cash-flow-from-operating-activities,-62.403,-38.855,-40.459,6.744,-3.627,-2.086,71.959,43.288,-22.544,-17.634,-8.005,-25.415,-13.518,-16.045
net-change-in-property-plant-equipment,,,,,,,,,,,,,,
net-acquisitions-divestitures,,,,,,-14.169,-158.699,,,-30.94,-10.202,,,
net-change-in-short-term-investments,,-0.015,,,,,46.033,1.228,-8.258,25.783,-13.056,-4.265,-14.901,0.944
net-change-in-long-term-investments,,,,3.061,4.093,,-1.712,-0.007,,,,,,
net-change-in-investments-total,,-0.015,,3.061,4.093,,44.321,1.221,-8.258,25.783,-13.056,-4.265,-14.901,0.944
investing-activities-other,1.48,-0.601,-0.601,,-25.0,,,,,,,,,
cash-flow-from-investing-activities,1.373,-1.081,-0.679,2.838,-21.841,-14.33,-114.69,0.746,-9.834,-5.83,-24.776,-4.611,-15.162,0.805
net-long-term-debt,-0.02,-27.5,-9.014,,,45.0,74.991,-0.031,-0.029,,,,,
net-current-debt,,,,,,7.0,,,,,,,,
debt-issuance-retirement-net-total,-0.02,-27.5,-9.014,,,52.0,74.991,-0.031,-0.029,,,,,
net-common-equity-issued-repurchased,-8.437,136.221,73.364,1.471,0.812,-12.169,-3.979,23.642,3.628,95.94,,30.648,0.475,40.749
net-total-equity-issued-repurchased,-8.437,136.221,73.364,1.471,0.812,-12.169,-3.979,23.642,3.628,95.94,,30.648,0.475,40.749
total-common-preferred-stock-dividends-paid,,,-0.006,,,,-9.011,,,,,,-0.026,
financial-activities-other,,,-4.7,,,-4.573,-0.976,,,,41.5,,,
cash-flow-from-financial-activities,-8.457,108.721,59.644,1.471,0.812,35.258,61.025,23.611,3.599,95.94,41.5,30.648,0.449,40.749
net-cash-flow,-69.843,69.101,18.481,9.799,-26.364,16.608,18.496,67.645,-28.779,72.476,8.719,0.622,-28.231,25.509
stock-based-compensation,17.483,15.139,13.67,13.941,11.809,12.423,14.884,22.237,8.285,7.423,6.537,5.652,3.951,0.418
common-stock-dividends-paid,,,,,,,-9.011,,0.0,,,,,
