,2018-09-30,2017-09-30,2016-09-30,2015-09-30,2014-09-30,2013-09-30,2012-09-30,2011-09-30,2010-09-30,2009-09-30,2008-09-30,2007-09-30,2006-09-30,2005-09-30
net-income-loss,-4.457,3.926,9.985,11.947,12.031,15.167,10.231,-18.506,-21.089,37.55,14.739,3.347,20.334,-8.246
total-depreciation-amortization-cash-flow,6.431,5.982,4.873,2.805,2.715,2.886,2.96,3.252,3.748,6.051,6.141,2.826,2.176,3.733
other-non-cash-items,10.898,4.99,5.474,3.011,3.269,0.615,2.419,31.45,34.768,15.636,9.95,0.866,7.967,8.755
total-non-cash-items,17.329,10.972,10.347,5.816,5.984,3.501,5.379,34.702,38.516,21.687,16.091,3.692,10.143,12.488
change-in-accounts-receivable,-1.773,-0.528,0.911,-2.727,0.581,-0.263,-0.685,1.873,2.117,3.269,1.548,1.94,-3.497,-2.866
change-in-inventories,,,,,,,,,,,,,,
change-in-assets-liabilities,19.067,-0.723,0.28,0.128,0.052,-0.069,-0.027,0.199,-0.501,-32.288,12.865,34.491,2.893,29.922
total-change-in-assets-liabilities,21.18,-0.845,4.834,-2.697,0.522,-0.887,2.016,6.704,5.041,-27.666,8.992,43.676,4.802,20.45
cash-flow-from-operating-activities,34.052,14.053,25.166,15.066,18.537,17.781,17.626,22.9,22.468,31.321,39.822,50.715,35.279,25.95
net-change-in-property-plant-equipment,-14.092,-6.432,-8.103,-1.835,-2.278,-1.842,-0.763,-1.551,-2.78,-29.364,-23.834,-3.589,-5.619,-2.109
net-change-in-intangible-assets,,,,,,,,,-0.21,-0.631,-2.452,-1.355,-1.592,-5.238
net-acquisitions-divestitures,,,-25.859,-0.315,-0.354,-0.116,27.665,-4.841,-8.49,-8.585,-3.219,-49.112,,-5.181
net-change-in-short-term-investments,,,,,,,,,,,-0.615,0.53,0.6,
net-change-in-long-term-investments,-9.408,-9.757,-21.506,18.844,25.019,2.036,2.716,0.438,-9.433,19.195,3.839,42.828,-32.348,-14.894
net-change-in-investments-total,-9.408,-9.757,-21.506,18.844,25.019,2.036,2.716,0.438,-9.433,19.195,3.224,43.358,-31.748,-14.894
investing-activities-other,,,,,,,,-5.65,,-0.187,-0.228,-0.265,,
cash-flow-from-investing-activities,,,,,,,,,,,,,,
net-current-debt,,,,,,,,,,-0.236,-0.222,,,
debt-issuance-retirement-net-total,,,,,,,,,,-0.236,-0.222,,,
net-common-equity-issued-repurchased,-2.468,-6.414,0.106,-20.115,-13.144,-17.427,-54.883,0.534,-1.685,-14.319,-10.934,-29.783,3.261,2.684
net-total-equity-issued-repurchased,,,,,,,,,,,,,,
financial-activities-other,-0.925,-0.096,-0.305,0.432,0.236,-0.477,-0.038,-0.004,-0.115,-0.934,-0.593,0.092,0.249,
cash-flow-from-financial-activities,-3.393,-6.51,-0.199,-19.683,-12.908,-17.904,-54.921,0.53,-1.8,-15.489,-11.749,-29.691,3.51,2.684
net-cash-flow,7.134,-8.453,-30.601,12.077,28.016,-0.045,-7.677,11.826,-0.245,-3.74,1.564,10.061,-0.17,1.212
stock-based-compensation,,,,,,,,,,,,,,
