,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31
net-income-loss,-212.526,11.109,-63.937,-50.074,-34.657,-21.911,-4.845,-3.2365,-1.8084,-0.9423,-0.0257,-0.2706
total-depreciation-amortization-cash-flow,9.604,7.556,2.885,2.37,3.184,1.29,0.293,0.1592,0.0234,0.0028,,
other-non-cash-items,85.155,-100.244,-35.382,-9.167,2.931,3.694,0.863,0.298,0.251,0.0545,,0.071
total-non-cash-items,,,,,,,,,,,,
change-in-accounts-payable,3.578,1.592,3.714,-2.713,-0.497,0.878,-0.023,0.0429,-0.1346,0.1446,0.0249,-0.4685
change-in-assets-liabilities,-3.329,-20.113,21.792,17.515,0.275,-0.44,-0.085,-0.0071,0.1218,0.0054,0.0008,
total-change-in-assets-liabilities,6.0,-17.601,25.506,14.802,-0.222,0.438,-0.108,0.0359,-0.0128,0.15,0.0257,-0.4685
cash-flow-from-operating-activities,-111.767,-99.18,-70.928,-42.069,-28.764,-16.489,-3.797,-2.7434,-1.5468,-0.735,,-0.6681
net-change-in-property-plant-equipment,-21.195,-10.972,-6.86,-3.707,-0.591,-0.42,-0.548,-1.0517,-0.046,-0.0455,,
net-change-in-intangible-assets,,,,,,-0.511,,,,,,
net-acquisitions-divestitures,,-0.557,-3.842,27.759,,0.428,,,,0.1049,,
net-change-in-short-term-investments,,-5.0,-6.75,,,,,,,,,
net-change-in-long-term-investments,,,,-11.5,-10.0,,,,,,,
net-change-in-investments-total,,,,,,,,,,,,
cash-flow-from-investing-activities,-21.195,-16.529,-17.452,12.552,-10.591,-0.503,-0.548,-1.0517,-0.046,0.0593,,
net-long-term-debt,279.435,-3.241,38.869,-3.095,7.5,6.85,,,,,,
net-current-debt,-20.0,,,,,,,,,,,
debt-issuance-retirement-net-total,259.435,-3.241,38.869,-3.095,7.5,6.85,,,,,,
net-common-equity-issued-repurchased,83.819,57.928,92.871,1.699,72.09,37.718,5.97,1.9841,3.4405,4.1055,,0.69
net-total-equity-issued-repurchased,,,,,,,,,,,,
financial-activities-other,-17.256,-1.012,,-1.951,,-1.0,,,,,,
cash-flow-from-financial-activities,325.998,53.675,131.74,-3.347,79.59,43.568,5.97,1.9841,3.4405,4.1055,,0.69
net-cash-flow,192.901,-61.969,43.36,-32.864,40.235,26.576,1.625,-1.811,1.8477,3.4299,,0.0219
stock-based-compensation,,,,,,,,,,,,
