,2018-12-31,2017-12-31,2016-12-31
net-income-loss,-24.251,-13.07,-9.915
total-depreciation-amortization-cash-flow,0.419,0.298,0.22
other-non-cash-items,1.855,0.408,0.093
total-non-cash-items,,,
change-in-accounts-payable,2.224,-0.101,0.076
change-in-assets-liabilities,-1.433,0.103,-0.222
total-change-in-assets-liabilities,3.199,0.349,0.222
cash-flow-from-operating-activities,-18.778,-12.015,-9.38
net-change-in-property-plant-equipment,,,
net-change-in-long-term-investments,-75.32,8.35,-8.35
net-change-in-investments-total,-75.32,8.35,-8.35
investing-activities-other,,-0.29,
cash-flow-from-investing-activities,,,
net-common-equity-issued-repurchased,0.14,0.044,
net-total-equity-issued-repurchased,,,
financial-activities-other,-2.16,-0.048,-0.024
cash-flow-from-financial-activities,122.98,16.163,22.486
net-cash-flow,27.863,11.82,3.887
stock-based-compensation,,,
