,2018-12-31,2017-12-31,2016-12-31
net-income-loss,-56.609,-5.85,-3.128
total-depreciation-amortization-cash-flow,0.247,0.114,0.032
other-non-cash-items,36.442,0.091,0.098
total-non-cash-items,,,
change-in-assets-liabilities,-1.561,-0.088,0.03
total-change-in-assets-liabilities,3.442,0.563,0.233
cash-flow-from-operating-activities,-16.478,-5.082,-2.765
net-change-in-property-plant-equipment,,,
cash-flow-from-investing-activities,,,
net-common-equity-issued-repurchased,138.7,0.004,
net-total-equity-issued-repurchased,,,
cash-flow-from-financial-activities,202.095,5.002,4.876
net-cash-flow,184.695,-0.468,1.708
stock-based-compensation,,,
