,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31
net-income-loss,-47.269,12.791,-5.521,-2.864,-1.107
total-depreciation-amortization-cash-flow,16.905,9.604,6.394,6.081,2.076
other-non-cash-items,56.232,-6.87,6.344,1.483,0.972
total-non-cash-items,73.137,2.734,12.738,7.564,3.048
change-in-accounts-receivable,-9.456,-1.765,-0.756,-1.711,-1.388
change-in-inventories,-0.799,0.116,-0.607,-0.264,-0.792
change-in-accounts-payable,-0.778,1.288,0.665,0.44,1.383
change-in-assets-liabilities,-1.604,0.518,1.423,-0.969,-0.878
total-change-in-assets-liabilities,-10.038,2.783,-0.443,-1.444,-1.071
cash-flow-from-operating-activities,15.83,18.308,6.774,3.256,0.87
net-change-in-property-plant-equipment,-10.546,-6.617,-5.667,-1.174,-0.968
net-change-in-intangible-assets,-0.03,,-0.029,0.0,
net-acquisitions-divestitures,,,,,
investing-activities-other,-1.0,,,0.3,-0.5
cash-flow-from-investing-activities,-43.808,-41.068,-11.096,-3.277,-14.916
net-long-term-debt,43.949,34.576,-25.956,7.485,13.221
net-current-debt,,-35.342,-16.0,-6.86,
debt-issuance-retirement-net-total,43.949,-0.766,-41.956,0.625,13.221
net-common-equity-issued-repurchased,0.657,34.418,55.339,0.012,0.059
net-total-equity-issued-repurchased,,,,,
financial-activities-other,-2.029,-4.807,-6.942,-2.712,-1.139
cash-flow-from-financial-activities,42.577,28.845,6.441,-2.075,12.141
net-cash-flow,14.599,6.085,2.119,-2.096,-1.905
stock-based-compensation,,,,,
