,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
net-income-loss,-132.6172,-76.9254,-89.8755,-85.077,-54.2172,-28.4193,-35.1202,-12.9134
total-depreciation-amortization-cash-flow,0.5637,0.2131,0.1325,0.0624,0.3125,2.6128,1.6605,0.1095
other-non-cash-items,8.878,6.8935,19.9359,7.2119,4.9649,3.8316,19.3168,7.387
total-non-cash-items,9.4417,7.1066,20.0684,7.2743,5.2774,6.4444,20.9773,7.4966
change-in-accounts-receivable,-6.951,0.1677,-3.9759,-0.9177,-0.458,-1.0686,-0.7283,-0.0164
change-in-inventories,-1.7823,-0.409,-0.3862,0.492,-0.1385,0.5716,-1.0271,0.03
change-in-accounts-payable,18.6462,-3.2609,4.2323,-3.201,4.2129,0.4729,1.3349,0.1889
change-in-assets-liabilities,-2.6572,-4.4341,0.7099,2.3853,-0.1975,1.2311,1.187,-0.3468
total-change-in-assets-liabilities,16.3636,-6.3369,0.6647,-1.2414,3.4188,1.2069,1.4057,0.4502
cash-flow-from-operating-activities,-106.8118,-76.1556,-69.1423,-79.0441,-45.521,-20.7681,-12.7373,-4.9666
net-change-in-property-plant-equipment,-0.217,-0.0618,-0.3962,-0.1653,-0.031,-0.0408,-0.0664,-0.0288
net-change-in-intangible-assets,,,,,,,,
investing-activities-other,-0.1754,,-0.014,,0.0107,-0.1037,,
cash-flow-from-investing-activities,-21.4979,-0.8271,-1.2555,-0.5844,-0.6068,-0.5836,-0.2725,-0.0376
net-long-term-debt,75.0,,,,,-4.6918,6.35,3.0842
net-current-debt,,,,,,,,-0.1007
debt-issuance-retirement-net-total,75.0,,,,,-4.6918,6.35,2.9835
net-common-equity-issued-repurchased,91.574,72.5843,137.2255,92.9732,43.2981,78.6813,8.0869,1.7243
net-total-equity-issued-repurchased,,,,,,,,
financial-activities-other,-3.7869,,,,,,,
cash-flow-from-financial-activities,162.7871,72.5843,137.2255,92.9732,43.2981,73.9894,14.4369,4.7077
net-cash-flow,34.4775,-4.3985,66.8277,13.3448,-2.8297,52.6378,1.4271,-0.2965
stock-based-compensation,,,,,,,,
