,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,797.883,771.312,747.171,750.698,604.996,554.023,489.047,448.87,275.795,304.247,240.07,213.748,259.458,240.845
total-depreciation-amortization-cash-flow,453.076,447.883,416.608,398.618,375.624,337.356,308.69,295.861,223.997,204.703,195.766,183.281,170.058,176.358
other-non-cash-items,-14.094,-28.859,33.434,-29.812,7.26,-11.115,-56.147,13.364,-35.235,-29.102,-44.383,-30.783,-264.828,-73.791
total-non-cash-items,438.982,419.024,450.042,368.806,382.884,326.241,252.543,309.225,188.762,175.601,151.383,152.498,-94.77,102.567
change-in-accounts-receivable,,,,,,,,,,,,,,
change-in-assets-liabilities,-6.733,-43.101,48.967,-118.925,87.579,35.218,59.53,8.778,-14.898,17.39,4.188,-29.737,-0.499,-15.877
total-change-in-assets-liabilities,39.413,35.48,55.49,-74.537,45.547,-19.508,51.274,-46.025,35.975,60.659,99.923,23.487,-10.575,81.377
cash-flow-from-operating-activities,1340.893,1183.252,1333.842,1068.262,1035.876,884.241,799.231,710.683,501.344,541.262,494.187,381.446,169.239,425.426
net-change-in-property-plant-equipment,,,,,,,,,,,,,,
net-acquisitions-divestitures,,,,,,,,,,,,,,
net-change-in-long-term-investments,-15.231,-11.076,,-3.3,-12.0,,,,,,-1.249,,,
net-change-in-investments-total,-15.231,-11.076,,-3.3,-12.0,,,,,,-1.249,,,
investing-activities-other,,,,,-13.488,-49.811,-47.862,-38.249,-17.971,-7.957,1.539,,144.571,75.0
cash-flow-from-investing-activities,-813.398,-620.399,-1155.217,-912.885,-832.846,-383.458,-789.59,-285.805,-2194.083,-390.434,-295.666,-434.787,-278.369,-46.033
net-long-term-debt,,,,,,,,,,,,,,
debt-issuance-retirement-net-total,-39.249,-102.006,711.6171,166.234,-49.129,-424.463,63.853,-283.417,1874.06,-40.43,-15.428,174.49,459.455,-149.887
net-common-equity-issued-repurchased,-387.229,-354.147,-343.877,-201.341,-93.886,-21.493,-13.719,-55.703,-7.934,-59.998,-147.05,-71.827,-344.735,-235.568
net-total-equity-issued-repurchased,-387.229,-354.147,-343.877,-201.341,-93.886,-21.493,-13.719,-55.703,-7.934,-59.998,-147.05,-71.827,-344.735,-235.568
total-common-preferred-stock-dividends-paid,-37.342,-38.211,-38.875,-39.532,-29.665,-19.621,-58.395,-19.466,-19.422,-16.706,-16.15,-17.169,-17.445,-17.885
financial-activities-other,-28.382,-24.789,-500.032,-49.97,-14.744,-41.439,-19.138,-54.537,-133.671,-29.974,-30.787,-30.738,18.831,-1.215
cash-flow-from-financial-activities,-492.202,-519.153,-171.167,-124.609,-187.424,-507.016,-27.399,-413.123,1713.033,-147.108,-209.415,54.756,116.106,-404.555
net-cash-flow,32.388,45.347,4.668,29.159,14.831,-6.233,-17.758,11.755,20.294,3.72,-10.894,1.415,6.976,-25.162
stock-based-compensation,66.581,56.738,48.109,39.971,31.092,27.783,22.518,18.225,16.799,13.096,14.125,16.899,,
common-stock-dividends-paid,-37.342,-38.211,-38.875,-39.532,-29.665,-19.621,-58.395,-19.466,-19.422,-16.706,-16.15,-17.169,-17.445,-17.885
