,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,593.794,20.311,521.503,469.053,431.62,450.003,461.443,432.968,381.763,323.313,322.479,268.072,222.2,201.975
total-depreciation-amortization-cash-flow,108.408,106.002,96.449,89.987,94.231,79.695,68.831,66.387,62.558,57.272,65.271,53.317,46.159,43.685
other-non-cash-items,39.946,89.946,54.546,56.165,57.817,35.533,-20.78,25.02,23.638,77.607,25.712,42.207,42.73,28.272
total-non-cash-items,148.354,195.948,150.995,146.152,152.048,115.228,48.051,91.407,86.196,134.879,90.983,95.524,88.889,71.957
change-in-accounts-receivable,-47.921,-24.013,-31.721,-49.888,-29.435,-35.233,-39.836,-12.528,-43.286,-16.905,21.739,-26.266,-7.21,-4.041
change-in-inventories,-25.396,0.731,-20.147,-19.967,-15.984,-11.389,-10.93,-8.707,-37.036,-6.823,-20.618,-6.368,-29.853,-6.973
change-in-accounts-payable,-81.663,3.175,6.842,27.451,-13.687,-28.127,0.563,-11.845,52.017,-10.83,-19.97,32.309,1.67,26.802
change-in-assets-liabilities,17.278,501.488,15.448,0.447,-12.914,-5.606,-10.011,6.079,18.202,-5.371,23.635,7.236,-12.102,7.582
total-change-in-assets-liabilities,-137.702,481.381,-29.578,-41.957,-72.02,-80.355,-60.214,-27.001,-10.103,-39.929,4.786,6.911,-47.495,23.37
cash-flow-from-operating-activities,604.446,697.64,642.92,573.248,511.648,484.876,449.28,497.374,457.856,418.263,418.248,370.507,263.594,298.067
net-change-in-property-plant-equipment,-96.079,-85.473,-90.967,-94.858,-89.559,-118.45,-104.749,-85.436,-62.74,-93.796,-69.065,-60.342,-51.421,-51.045
net-change-in-intangible-assets,0.0,-5.0,0.0,-3.0,-15.126,0.0,0.0,,,,,,,
net-acquisitions-divestitures,-31.486,,-5.609,-23.494,-27.008,-41.395,-31.016,-11.1,,-36.086,-7.805,-8.352,-78.953,
net-change-in-short-term-investments,1818.482,-438.2789,-391.342,-278.3871,-270.3371,-304.884,-160.629,-259.44,-348.775,-289.146,95.681,-95.681,,
net-change-in-long-term-investments,-7.615,-7.0,,,,,,,,,,-3.532,,
net-change-in-investments-total,,,,,,,,,,,,,,
cash-flow-from-investing-activities,1683.302,-535.752,-487.918,-399.739,-402.03,-464.729,-296.394,-355.976,-411.515,-419.028,18.811,-167.907,-130.374,-51.045
net-long-term-debt,,,,,,,,,,,,,,
debt-issuance-retirement-net-total,-850.161,169.976,159.975,205.079,141.897,145.565,186.217,224.777,134.283,91.753,-348.056,-19.285,72.215,369.623
net-common-equity-issued-repurchased,-1262.677,-234.755,-263.57,-282.645,-263.595,-232.622,-267.009,-310.682,-195.708,-192.278,-208.854,-109.221,-209.29,-642.4839
net-total-equity-issued-repurchased,,,,,,,,,,,,,,
financial-activities-other,-6.684,0.91,-12.106,-4.983,14.477,22.469,14.257,25.483,1.173,10.245,-16.028,8.82,11.169,0.846
cash-flow-from-financial-activities,-2119.522,-63.869,-115.701,-82.549,-107.221,-64.588,-66.535,-60.422,-60.252,-90.28,-572.938,-119.686,-125.906,-272.015
net-cash-flow,153.961,136.688,17.966,65.488,-18.619,-40.239,97.045,75.492,-32.613,-87.411,-168.811,83.167,20.578,-45.489
stock-based-compensation,,,,,,,,,,,,,,
