,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,439.8,373.7,242.1,118.6,63.7,175.3,184.7,264.2,-53.4,39.871,-36.833,216.236,121.229,47.368
total-depreciation-amortization-cash-flow,179.7,120.4,87.6,72.6,59.9,44.1,31.6,26.4,23.946,23.336,99.663,18.757,17.17,9.204
other-non-cash-items,94.9,57.0,63.9,90.9,-5.4,35.0,46.5,115.2,-53.292,56.537,15.891,26.863,40.953,13.036
total-non-cash-items,274.6,177.4,151.5,163.5,54.5,79.1,78.1,141.6,-29.346,79.873,115.554,45.62,58.123,22.24
change-in-accounts-receivable,,,,,,,,,,,,,,
change-in-accounts-payable,216.8,328.3,117.2,310.3,317.4,97.8,-50.7,53.4,-51.067,66.383,117.12,47.825,349.33,58.255
change-in-assets-liabilities,-94.1,63.9,-26.6,-90.8,47.3,-35.1,-74.8,-178.3,230.011,45.718,94.696,-10.04,-75.156,-61.269
total-change-in-assets-liabilities,-435.4,498.9,354.7,430.5,157.6,-87.3,-295.5,-245.2,316.135,-46.998,259.111,-21.226,327.306,9.114
cash-flow-from-operating-activities,279.0,1050.0,748.3,712.6,299.3,178.9,-30.7,162.0,223.057,57.925,296.427,277.601,507.729,81.447
net-change-in-property-plant-equipment,,,,,,,,,,,,,,
net-acquisitions-divestitures,,,,,,,,,,,,,,
net-change-in-long-term-investments,-271.6,-879.8,235.3,30.0,-48.8,-54.4,-34.9,-62.0,-32.988,79.717,14.964,-163.313,-48.336,-24.456
net-change-in-investments-total,-271.6,-879.8,235.3,30.0,-48.8,-54.4,-34.9,-62.0,-32.988,79.717,14.964,-163.313,-48.336,-24.456
investing-activities-other,,,,,,,,,,,-86.542,,,
cash-flow-from-investing-activities,-2568.0,-1736.5,61.1,-124.2,-75.6,-290.5,-222.8,-111.6,-60.504,63.639,-91.137,-186.205,-88.053,-59.33
net-long-term-debt,714.0,156.1,-203.1,308.9,298.6,449.8,-14.1,39.3,-1.011,-152.8,-2.0,-1.6,-25.6,-1.6
net-current-debt,221.3,,,,,,,,,,,,,
debt-issuance-retirement-net-total,935.3,156.1,-203.1,308.9,298.6,449.8,-14.1,39.3,-1.011,-152.8,-2.0,-1.6,-25.6,-1.6
net-common-equity-issued-repurchased,1318.9,-15.2,-7.0,-7.0,-3.1,6.2,2.9,2.6,-4.794,-1.246,-1.681,12.834,30.273,3.622
net-total-equity-issued-repurchased,,,,,,,,,,,,,,
financial-activities-other,-511.6,687.3,1043.2,203.2,-688.2,37.6,40.1,-126.8,44.669,8.691,-28.096,-58.763,118.421,
cash-flow-from-financial-activities,1742.6,828.2,833.1,505.1,-392.7,493.6,28.9,-84.9,38.864,-145.355,-31.777,-47.529,123.094,2.022
net-cash-flow,-546.4,141.7,1642.5,1093.5,-169.0,382.0,-224.6,-34.5,201.417,-23.791,173.513,43.867,542.776,24.139
stock-based-compensation,,,,,,,,,,,,,,
