,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,-169.505,-202.598,-432.373,-298.701,-259.683,-273.945,-21.744,-30.456,-39.509,-55.686,-34.177,-41.191,0.0,0.0
total-depreciation-amortization-cash-flow,141.209,135.607,167.952,85.359,39.578,248.01,30.232,28.107,27.038,29.732,22.331,15.582,,
other-non-cash-items,13.826,-52.458,290.865,73.36,120.316,0.473,10.569,31.761,32.748,42.28,11.391,20.737,,
total-non-cash-items,155.035,83.149,458.817,158.719,159.894,248.483,40.801,59.868,59.786,72.012,33.722,36.319,,
change-in-accounts-receivable,-8.223,2.483,-1.118,-13.078,-11.97,-3.477,-2.188,-4.673,-3.79,0.425,-5.007,-6.772,,
change-in-inventories,,,,,,,,,,,,,,
change-in-assets-liabilities,-11.171,-44.578,11.19,-15.196,8.167,-9.014,0.532,3.793,1.403,-1.03,3.408,4.472,,
total-change-in-assets-liabilities,-49.259,-65.361,11.38,-55.888,-16.213,-11.139,-4.626,-6.246,-17.388,-14.035,-19.027,-4.084,,
cash-flow-from-operating-activities,-63.729,-184.81,37.824,-195.87,-116.002,-36.601,14.431,23.166,2.889,2.291,-19.482,-8.956,,
net-change-in-property-plant-equipment,-71.467,-63.474,-50.099,-43.666,-48.603,-28.23,-20.373,-26.333,-20.525,-23.448,-31.622,-16.938,,
net-change-in-intangible-assets,-2.483,-2.099,-4.845,-0.082,-11.693,-4.291,-1.41,-3.142,-2.328,,,,,
net-acquisitions-divestitures,,,,,,,,,,,,,,
net-change-in-long-term-investments,,,,2.566,11.795,6.613,,,,,,,,
net-change-in-investments-total,,,,2.566,11.795,6.613,,,,,,,,
investing-activities-other,-2.0,,,30.117,,,-104.012,,,-7.656,-11.692,-88.459,,
cash-flow-from-investing-activities,-510.239,-109.421,-34.241,-15.97,145.63,-121.317,-125.795,-29.475,-22.853,-31.104,-43.314,-105.397,,
net-long-term-debt,92.819,20.694,222.79,354.72,-4.209,-0.859,92.361,-119.223,3.674,-3.851,7.329,16.458,,
net-current-debt,-0.919,-1.429,-1.035,-70.12,,,-8.009,-10.513,6.468,-3.506,-2.122,11.161,,
debt-issuance-retirement-net-total,91.9,19.265,221.755,284.6,-4.209,-0.859,84.352,-129.736,10.142,-7.357,5.207,27.619,,
net-common-equity-issued-repurchased,548.707,27.551,59.77,-56.29,37.201,6.328,7.71,171.577,0.819,52.214,61.28,94.267,,
net-total-equity-issued-repurchased,,,,,,,,,,,,,,
financial-activities-other,-42.467,,-11.108,-101.448,0.059,0.788,-5.396,-2.731,-3.534,,,,,
cash-flow-from-financial-activities,598.14,46.816,270.417,126.862,33.051,6.257,86.666,39.11,7.427,44.857,66.487,121.886,,
net-cash-flow,23.611,-244.525,272.461,-87.522,58.591,-151.625,-23.598,29.868,-13.131,16.621,4.001,8.613,,
stock-based-compensation,,,,,,,,,,,,,,
