,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
net-income-loss,-514.706,-126.82,-190.274,-87.994,-85.616,-40.908,-81.874,-85.28
total-depreciation-amortization-cash-flow,66.919,28.97,84.536,-48.491,22.241,-2.522,14.274,7.013
other-non-cash-items,343.532,68.29,67.502,113.326,31.082,-1.94,-0.115,1.203
total-non-cash-items,410.451,97.26,152.038,64.835,53.323,-4.462,14.159,8.216
change-in-accounts-receivable,7.763,2.032,9.621,-17.894,-1.771,-6.153,0.801,-0.606
change-in-inventories,-0.478,0.663,3.807,-0.774,-7.313,,,
change-in-accounts-payable,4.628,-3.549,3.928,-3.327,0.129,-0.037,-1.409,-0.603
change-in-assets-liabilities,-36.639,-74.847,-24.708,68.739,20.389,-4.982,5.159,-2.44
total-change-in-assets-liabilities,-19.985,-74.16,-10.752,58.828,12.435,-8.313,6.186,-4.694
cash-flow-from-operating-activities,-124.24,-103.72,-48.988,35.669,-19.858,-53.683,-61.529,-81.758
net-change-in-property-plant-equipment,,,,,,,,
net-acquisitions-divestitures,14.58,-12.165,-7.244,-123.928,-67.577,0.517,,-28.662
net-change-in-short-term-investments,,,,-0.6,-61.978,,,
net-change-in-long-term-investments,-129.071,162.427,13.171,-124.094,109.721,-222.633,-16.002,-22.816
net-change-in-investments-total,-129.071,162.427,13.171,-124.694,47.743,-222.633,-16.002,-22.816
investing-activities-other,2.598,-0.9,-2.964,1.5,,-0.5,-0.166,0.3
cash-flow-from-investing-activities,-151.213,104.332,-28.392,-259.245,-26.029,-223.663,-23.636,-64.097
net-long-term-debt,219.236,-0.194,-0.654,-1.483,-0.411,0.389,-0.077,-0.115
net-current-debt,0.233,-0.587,0.259,-1.712,-1.818,,,15.0
debt-issuance-retirement-net-total,219.469,-0.781,-0.395,-3.195,-2.229,0.389,-0.077,14.885
net-common-equity-issued-repurchased,90.326,14.666,19.165,342.696,26.489,169.215,0.473,0.184
net-total-equity-issued-repurchased,,,,,,,,
financial-activities-other,,-9.601,-6.705,-7.818,-0.256,-3.153,-0.016,4.765
cash-flow-from-financial-activities,309.795,4.284,12.065,331.683,24.004,316.451,75.94,148.111
net-cash-flow,34.637,5.951,-66.188,108.316,-22.043,39.106,-9.225,2.256
stock-based-compensation,,,,,,,,
