,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31
net-income-loss,1424.0,862.0,819.0,339.0,587.0,503.0,436.0,248.0,111.0
total-depreciation-amortization-cash-flow,308.0,242.0,240.0,199.0,204.0,209.0,200.0,205.0,185.0
other-non-cash-items,-54.0,252.0,88.0,334.0,84.0,94.0,-33.0,161.0,-142.0
total-non-cash-items,254.0,494.0,328.0,533.0,288.0,303.0,167.0,366.0,43.0
change-in-accounts-receivable,-67.0,-50.0,15.0,-58.0,69.0,-99.0,-65.0,-85.0,30.0
change-in-inventories,61.0,19.0,-101.0,-262.0,-110.0,-178.0,-318.0,40.0,117.0
change-in-accounts-payable,37.0,-10.0,-28.0,17.0,-210.0,-82.0,96.0,-16.0,25.0
change-in-assets-liabilities,14.0,-54.0,-340.0,61.0,11.0,225.0,57.0,-4.0,-14.0
total-change-in-assets-liabilities,112.0,-10.0,-434.0,-208.0,-249.0,-125.0,-149.0,-117.0,100.0
cash-flow-from-operating-activities,1790.0,1346.0,713.0,664.0,626.0,681.0,454.0,497.0,254.0
net-change-in-property-plant-equipment,-282.0,-187.0,-126.0,-222.0,-171.0,-175.0,-123.0,-101.0,79.0
net-change-in-intangible-assets,,,,,-15.0,,,,
net-acquisitions-divestitures,,,,,,,,,
net-change-in-long-term-investments,28.0,,,,,,,,
net-change-in-investments-total,28.0,,,,,,,,
investing-activities-other,-7.0,-1.0,,-10.0,-1.0,-4.0,-12.0,-3.0,-7.0
cash-flow-from-investing-activities,-2259.0,-270.0,-214.0,-1115.0,-187.0,-179.0,-135.0,-449.0,-9.0
net-long-term-debt,1485.0,481.0,-400.0,1117.0,,2625.0,,-143.0,
net-current-debt,8.0,,-5.0,-2.0,-8.0,16.0,,,
debt-issuance-retirement-net-total,1493.0,481.0,-405.0,1115.0,-8.0,2641.0,,-143.0,
net-common-equity-issued-repurchased,-698.0,-500.0,-300.0,-203.0,,,,,-3.0
net-total-equity-issued-repurchased,-698.0,-500.0,-300.0,-203.0,,,,,-3.0
total-common-preferred-stock-dividends-paid,-243.0,-206.0,-188.0,-168.0,-146.0,-98.0,-63.0,-416.0,-207.0
financial-activities-other,-19.0,-26.0,-10.0,11.0,,-2743.0,-15.0,529.0,-67.0
cash-flow-from-financial-activities,533.0,-251.0,-903.0,755.0,-154.0,-200.0,-78.0,-30.0,-277.0
net-cash-flow,38.0,837.0,-427.0,272.0,272.0,293.0,238.0,16.0,-36.0
stock-based-compensation,53.0,44.0,37.0,43.0,32.0,43.0,28.0,19.0,16.0
common-stock-dividends-paid,-243.0,-206.0,-188.0,-168.0,-146.0,-98.0,-63.0,-416.0,-207.0
