,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
current-ratio,0.9953,1.0324,0.7107,1.1305,0.9211,0.9965,1.0993,1.1552,1.1814,1.2078,1.3184,2.2678,3.9529,0.9873,0.9898,1.0346,2.0483,1.3709,1.4391,1.355,1.3952,1.9776,1.5125,1.3459,1.4511,1.6392,1.307,1.3961,1.5695,1.5156,1.5258,1.397,1.8088,1.4675,2.2618,2.2113,2.3407,2.3298,2.0099,1.6886,4.2857,1.4182,1.3686,3.0257,3.324,2.9312,2.6706,2.6381,2.846,2.3803,2.4393,1.8287,4.6385,4.125,4.6555,5.5096,5.3046,5.5012,5.6886
long-term-debt-capital,0.2473,0.2512,0.2449,0.2604,0.2397,0.2519,0.2639,0.2593,0.2716,0.2601,0.2586,0.2823,0.2579,0.326,0.3323,0.3438,0.3441,0.3644,0.3742,0.3437,0.3412,0.5259,0.4675,0.4718,0.6026,0.6355,0.6328,0.6187,0.2172,0.2358,0.2413,0.1924,0.2483,0.2278,0.2324,0.2364,0.2652,0.2698,0.272,0.2756,0.3015,0.063,0.1036,0.2812,0.2868,0.295,0.3022,0.3272,0.3503,0.3557,0.3853,0.4008,0.2092,0.2122,0.2115,0.2187,0.2198,0.2147,0.2092
debt-equity-ratio,0.3946,0.3893,0.3908,0.3654,0.3153,0.3368,0.3672,0.4073,0.3729,0.3515,0.3487,0.3933,0.3652,0.4838,0.4978,0.524,0.5509,0.5948,0.6207,0.5236,0.5331,1.2733,0.9057,0.9491,1.6837,1.7936,1.7728,1.6682,0.3308,0.3629,0.3696,0.29,0.3308,0.3669,0.3027,0.3095,0.3718,0.3966,0.401,0.4822,0.4324,0.3926,0.4051,0.4163,0.4038,0.42,0.4347,0.4897,0.5429,0.5552,0.63,0.7327,0.2693,0.2742,0.2822,0.2799,0.2817,0.2734,0.2646
gross-margin,84.225,84.0517,86.1611,85.5382,84.742,88.3177,85.7629,86.5722,85.4622,86.2704,87.394,87.5864,87.2398,88.0184,85.9559,96.5778,79.5273,74.7072,60.1928,54.8596,44.9926,51.391,51.3013,47.0874,46.1898,47.2158,42.6748,42.1838,43.6586,44.3625,40.6744,42.1015,44.2308,43.293,48.0205,46.342,45.0816,43.1052,41.0741,41.288,46.5791,42.0035,41.7591,41.708,39.6441,42.2033,39.3683,40.5114,41.7494,40.2264,36.7604,33.999,41.4529,35.1708,42.3539,46.6488,48.6203,49.2601,48.3694
operating-margin,-14.7283,-30.877,-64.1961,7.3069,6.5833,-11.3234,-17.81,-2.0919,-99.7025,-22.5183,-25.3576,-22.2913,-7.3547,-14.188,-5.1452,-19.8131,-39.7003,-13.1204,-26.4458,-14.6664,-59.6057,7.7272,7.8302,-2.4467,7.4764,41.8082,-2.2474,0.7771,6.925,7.0986,7.6691,10.0026,12.9253,10.9365,12.6412,5.773,3.8985,13.2183,11.7105,12.7529,16.7195,13.4996,12.2116,13.9802,13.5789,15.8985,13.0802,10.5087,10.4416,10.9032,9.2206,-76.5813,11.19,-5.9733,8.5435,7.1745,15.4454,15.4567,15.1564
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-18.9473,-35.5321,-68.8304,-137.0836,4.5278,-11.5247,-26.3092,-9.4727,-138.48,-32.3576,-86.5739,-28.7581,-14.8805,-18.4759,-14.7354,-30.8559,-49.3991,-23.5291,-40.8062,-19.5938,-64.3063,3.4643,5.3143,-5.2819,4.8137,-25.7915,-3.9726,6.6964,8.6913,-5.9696,6.3701,10.0803,10.9652,8.8379,9.8232,3.3694,1.5299,11.2533,12.4343,11.4166,15.4508,13.3668,11.9868,13.4222,14.6871,15.3846,13.0483,9.5211,9.313,9.5236,7.691,-77.468,12.4526,-4.9256,9.9545,7.5614,15.1964,15.4831,15.3345
net-profit-margin,-19.4238,-43.0063,-66.9428,-105.3975,-0.969,-11.4568,-9.0548,70.5416,-99.7769,-19.8508,-73.744,-1.8166,418.2651,-15.5042,5.4747,-23.1394,150.7883,-8.6174,-20.885,-18.0655,-48.4843,1.8259,3.6345,-5.3395,3.2588,-28.3848,-5.4234,1.5998,5.9679,-4.5897,3.5951,6.1375,6.2962,4.872,5.1683,1.9209,2.9125,8.0658,8.1494,7.242,9.5152,7.8194,7.3569,8.7415,11.0972,9.6836,8.0715,6.1164,5.819,6.0379,4.7069,-78.7172,7.8078,-3.0588,6.1817,4.8731,9.5263,9.7171,9.6333
asset-turnover,0.0429,0.0428,0.0367,0.0401,0.0367,0.0379,0.0328,0.0366,0.0339,0.0321,0.0282,0.03,0.0252,0.0278,0.025,0.0223,0.0243,0.0262,0.0184,0.0769,0.0402,0.1034,0.1185,0.1223,0.1475,0.1467,0.1337,0.124,0.1957,0.2076,0.2221,0.2306,0.17,0.1629,0.1478,0.1675,0.1509,0.1532,0.1454,0.1331,0.1645,0.176,0.1779,0.1754,0.1807,0.1784,0.1823,0.1807,0.1721,0.1728,0.1894,0.1652,0.1377,0.1599,0.129,0.1361,0.1336,0.1332,0.1253
inventory-turnover,0.59,0.6494,0.5278,0.6967,0.6671,0.5223,0.5512,0.6422,0.6518,0.5879,0.4978,0.6681,0.6551,0.6075,0.467,0.1368,0.5526,0.3294,0.3264,1.8599,0.4503,0.7938,0.749,0.8233,0.653,0.6557,0.7036,0.6543,0.8181,0.8663,0.9997,1.0055,0.8878,0.9771,0.7692,0.8101,0.72,0.7121,0.7101,0.6663,0.6994,0.7873,0.8163,0.795,0.803,0.7334,0.7291,0.7607,0.661,0.6508,0.8626,0.7926,0.8106,1.0658,0.7804,0.8036,0.7758,0.7301,0.6574
receiveable-turnover,1.3447,1.3252,1.317,1.4224,1.3836,1.4938,1.3914,1.4923,1.4364,1.4333,1.4055,1.5268,1.5102,1.4795,1.2814,1.4243,1.6188,0.821,0.6418,3.6473,0.9648,1.7013,1.7599,1.9783,1.4734,1.45,1.4861,1.3151,1.3897,1.547,1.4788,1.325,1.544,1.3123,1.6454,1.6985,1.6869,1.7433,1.575,1.5186,1.7558,1.9007,1.8874,2.1154,2.0374,2.0954,2.2938,2.3487,2.156,1.9993,1.788,1.6147,1.6669,1.4673,1.5096,1.2546,1.4117,1.5346,1.7425
days-sales-in-receivables,66.9284,67.912,68.335,63.2716,65.046,60.2473,64.6845,60.3107,62.6562,62.7916,64.032,58.9473,59.595,60.8296,70.2356,63.187,55.5953,109.6285,140.2294,24.6757,93.2848,52.8993,51.1405,45.4938,61.082,62.0701,60.5619,68.4385,64.7619,58.1759,60.862,67.9224,58.2887,68.5837,54.6982,52.9873,53.3534,51.6269,57.1419,59.2669,51.2596,47.3503,47.6836,42.5449,44.1747,42.9507,39.2366,38.3187,41.7443,45.0149,50.3342,55.7379,53.9935,61.336,59.6169,71.7382,63.7548,58.6481,51.6485
