,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31
current-ratio,3.1053,2.8132,2.0556,2.0625,2.0162,1.9402,2.3992,2.7946,3.0749,3.0389,2.6272,3.037,3.1262,2.7611,2.6716,2.9344,2.8174,2.9378,2.8103,3.1631,3.4111,3.8063,2.4349,2.6447,,,,2.7583,,,,
long-term-debt-capital,0.1126,0.1175,0.0998,0.0807,0.0872,0.0951,0.1082,0.109,0.1133,0.1074,0.0873,0.0895,0.0942,0.0936,0.0893,0.0926,0.0995,0.1087,0.1139,0.1136,0.1272,0.1296,0.0368,0.0385,,,,0.064,,,,
debt-equity-ratio,0.1501,0.1555,0.1638,0.1378,0.15,0.1641,0.1399,0.1413,0.1465,0.1389,0.1118,0.1146,0.13,0.1387,0.1358,0.1391,0.1625,0.1663,0.1734,0.155,0.1814,0.186,0.165,0.1279,,,,0.1628,,,,
gross-margin,43.9897,40.9718,38.7304,38.6766,38.7329,36.6892,29.0651,33.7423,35.4876,41.0312,40.2823,31.4244,42.9939,46.6156,41.9466,43.1285,27.5224,24.7303,23.3449,21.4059,19.7468,30.6022,27.2684,35.7898,34.1886,43.9655,36.9258,100.0,100.0,100.0,100.0,
operating-margin,2.9999,1.2309,-3.9754,1.7226,3.3756,-4.1399,-16.7434,-3.1704,-5.0815,3.3519,2.4775,-7.5949,9.0264,15.1838,6.8642,18.685,-5.8683,-19.0519,-12.7641,-12.5723,-13.0914,-2.3917,-4.2926,5.3138,0.381,19.1638,4.4408,100.0,100.0,100.0,100.0,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,1.9741,77.2869,-4.5532,0.6567,3.4073,-5.9122,-15.2227,-2.1754,-3.6501,4.8675,2.654,-7.7727,9.344,14.3342,6.4279,13.4413,-6.6951,-18.9943,-10.8937,-10.4104,-13.3711,-3.8283,-5.387,5.0842,0.5648,19.0631,4.1369,100.0,100.0,100.0,100.0,
net-profit-margin,1.6347,60.4539,1.0879,2.0816,3.1624,-4.016,-12.2292,1.1308,0.1709,3.0251,1.5758,-5.4357,6.057,10.1348,4.1926,9.7943,-4.7097,-12.3429,-1.169,-4.5117,-9.0084,-2.408,-3.5295,3.333,-0.268,12.4912,4.4975,8.3804,5.7966,9.9387,11.9786,
asset-turnover,0.1368,0.1315,0.1465,0.1746,0.1572,0.1573,0.1298,0.1339,0.1323,0.1468,0.1301,0.1486,0.1498,0.1665,0.1503,0.1971,0.1617,0.135,0.1435,0.1435,0.1489,0.1234,0.1329,0.162,,,,0.164,,,,
inventory-turnover,0.4086,0.4702,0.6221,0.7934,0.7075,0.7292,0.6598,0.6292,0.5365,0.5163,0.4331,0.5464,0.4039,0.4112,0.4191,0.619,0.6392,0.5056,0.5137,0.5334,0.5442,0.3208,0.4221,0.5043,,,,,,,,
