,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
current-ratio,19.9926,18.283,18.074,17.9771,21.02,15.2402,14.742,15.7827,17.0042,14.3502,17.329,19.3704,21.2247,14.6958,13.6125,10.2114,12.7056,19.5701,23.6988,23.0765,19.9958,16.3243,14.7155,10.1903,9.1724,7.3901,7.3267,5.3544,5.6275,4.5747,4.9652,4.4116,3.874,3.3072,3.051,2.9077,2.9541,3.122,3.1153,3.0159,5.9709,5.8033,6.0834,6.1808,5.1983,4.9717,5.6818,4.9301,6.0084,8.2921,11.057,10.5479,8.4756,9.0447,10.9576,8.9948,8.4871,9.9275,7.9593
long-term-debt-capital,0.0712,0.0805,0.0763,,,,,,,,,,,,,,,,,0.0006,,,,,0.0504,0.0569,0.0631,0.0684,0.0751,0.0803,0.0856,0.092,0.0972,0.1024,0.1097,0.1162,0.1209,0.1307,0.1324,0.1348,0.1703,0.1786,0.1859,0.1916,0.111,0.1162,0.0646,,,,,,,,,,,,
debt-equity-ratio,0.0767,0.0876,0.0826,,,,,,,,,,,,,,,,,0.0006,,,,,0.0655,0.0737,0.0815,0.0881,0.0966,0.1032,0.1099,0.1182,0.1249,0.1317,0.1415,0.1503,0.1564,0.1704,0.1722,0.1753,0.2301,0.243,0.2544,0.2633,0.135,0.1384,0.0708,,,,,,,,,,,,
gross-margin,79.9609,77.5265,70.4283,74.0281,69.082,73.3141,63.1067,70.3416,77.0085,81.1279,73.9887,73.7555,80.6196,77.183,75.6541,79.6433,78.1428,76.9691,72.2101,76.3003,74.0436,79.7032,87.1774,70.6608,69.7114,69.6984,68.2484,67.8416,51.099,58.806,55.3399,61.3515,59.9318,58.7642,52.2515,54.4701,55.9564,59.3667,58.8991,65.9756,67.0949,65.4108,65.0918,68.5145,61.9231,59.7742,62.3798,66.4897,60.6007,57.4089,59.3857,48.1383,65.729,62.9278,56.1652,58.5411,62.5491,69.8379,58.9378
operating-margin,40.5731,39.1709,22.1737,36.2146,32.0043,36.8142,-36.8322,33.1019,37.7759,52.9735,34.2342,44.35,53.0808,50.6715,48.0591,55.2405,55.4664,54.2656,35.4639,51.9789,46.6381,57.8607,70.1863,49.0835,43.7427,45.1235,32.8682,34.4659,18.4657,31.2558,21.3295,26.6521,26.1021,22.7843,4.7427,16.834,14.9802,12.4419,9.448,15.0993,18.6815,12.6814,8.2537,13.9265,14.4646,9.8329,8.8405,22.0303,23.6053,19.2073,19.9206,14.7822,27.6898,23.0912,14.9483,15.7034,38.9671,28.0206,24.7698
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,42.1962,40.9231,24.188,38.2586,33.953,37.7635,-36.3854,33.5715,38.736,53.0213,34.4822,44.5207,53.4414,50.8559,48.3822,55.3635,55.61,54.3704,35.6186,52.1581,46.6831,57.8833,70.1877,48.9976,43.5579,44.9488,32.6088,34.2788,18.1599,31.0054,20.973,26.3814,25.8514,22.5037,4.394,16.5247,14.6926,12.033,9.0475,14.8126,18.273,12.6669,8.2694,14.1579,15.8822,11.5755,11.0561,26.2689,30.5103,27.3181,29.1544,24.6426,36.8699,29.3719,21.5797,23.4304,42.2725,31.9252,27.6803
net-profit-margin,30.9796,31.0178,18.23,28.6281,28.3682,33.0365,-31.4428,27.45,25.3348,33.9759,23.4884,28.1452,34.7125,32.4104,30.9429,35.7448,35.387,34.1381,22.6546,33.6088,27.9786,35.4043,44.1933,31.3152,27.9212,28.3022,20.122,19.7431,11.1417,19.0416,13.315,15.6315,16.1278,14.142,2.7639,9.175,8.5388,7.357,5.7298,6.5651,14.0087,10.0358,5.6815,12.2076,11.9957,8.9725,7.2239,17.3826,22.5505,19.2244,19.5629,17.775,21.3629,17.3385,12.6673,15.0439,25.1694,19.0399,16.4887
asset-turnover,0.0929,0.1059,0.0806,0.0966,0.0995,0.1151,0.0748,0.104,0.0995,0.1263,0.0945,0.1196,0.1116,0.1193,0.1039,0.131,0.1063,0.1101,0.0785,0.1206,0.1189,0.1467,0.1954,0.1362,0.1132,0.1404,0.1079,0.1591,0.1095,0.1439,0.1078,0.1388,0.1422,0.1228,0.0912,0.1142,0.1068,0.1168,0.098,0.082,0.1119,0.0992,0.0965,0.0936,0.1043,0.1026,0.1035,0.1211,0.0981,0.0938,0.0884,0.0865,0.0905,0.1177,0.1109,0.0873,0.1601,0.1176,0.1226
inventory-turnover,0.2357,0.2974,0.3233,0.3287,0.3476,0.3388,0.3445,0.3956,0.3086,0.3591,0.376,0.4717,0.2774,0.3513,0.3441,0.421,0.4286,0.4502,0.3446,0.4442,0.4215,0.3847,0.3359,0.567,0.4643,0.6093,0.4866,0.8776,0.8084,0.7502,0.7063,0.9762,0.9391,0.7257,0.6388,0.7489,0.6502,0.7039,0.5832,0.4227,0.5109,0.451,0.5446,0.5114,0.6954,0.7621,0.599,0.7348,0.6659,0.546,0.4166,0.566,0.3792,0.6518,0.8706,0.6929,1.1261,0.5245,0.7954
