,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
current-ratio,1.0684,1.0127,0.9198,0.9235,3.343,3.8401,3.6165,3.3549,3.4516,3.989,3.2993,3.2242,3.1313,3.2278,7.1897,16.3817,16.2036,30.0688,22.3733,14.7352,7.0675,17.5444,14.8982,7.8338,3.9555,3.9134,3.4235,1.1107,3.5326,2.6219,8.2483,8.0283,6.1344,3.3218,4.1548,4.9644,5.1693,7.0727,6.8196,7.9922,2.9763,2.0807,3.753,4.1753,4.0592,6.4766,9.5478,20.4551,14.9209,13.4345,7.7833,5.1652,6.3381,2.0459,2.663,3.506,7.0208,7.9003,8.2588
long-term-debt-capital,0.2334,0.2403,0.2498,0.2544,0.5097,0.5186,0.5252,0.5314,0.4528,0.4665,0.4696,0.4156,0.413,0.4167,0.4183,0.4147,0.4249,0.4319,0.4366,0.4325,,,,,,,,,,,0.2164,0.3143,0.3035,0.6314,0.4083,0.4766,0.5455,0.4095,0.4401,0.513,,,,,,,,,,,,,,,,,,,
debt-equity-ratio,0.8756,0.8942,0.9208,0.9278,1.0691,1.1053,1.1274,1.1531,0.8276,0.8745,0.8855,0.7111,0.7037,0.7143,0.7192,0.7086,0.7389,0.7603,0.775,0.7622,,,,,,,0.3138,0.6735,0.2352,0.3389,0.2762,0.4585,0.4638,1.816,0.7341,0.9687,1.2,0.6936,0.7861,1.0534,,,,,,,,,,,,,,,,,,,
gross-margin,70.7774,71.242,72.1576,64.7544,69.2227,64.8959,55.4827,56.761,56.237,52.8148,55.2637,55.7492,56.732,62.3608,83.4104,80.3715,83.6772,83.9055,85.3662,82.5403,82.3949,68.1511,75.9428,74.5063,65.416,64.7107,56.7062,52.898,53.8967,59.1477,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
operating-margin,14.2743,17.0944,8.3234,20.036,19.9475,15.3656,14.0632,15.605,19.3734,15.6242,12.627,3.3975,20.5607,16.5747,27.5651,34.7546,42.3142,43.1134,50.891,51.205,47.1559,-37.0092,32.0672,32.8523,10.3369,-61.3622,7.2456,64.8873,-4.1184,11.3061,-6080.645,-7336.309,-7127.652,-16128.96,-28847.23,-9206.632,-21897.45,,-392.9787,-3042.567,-60718.23,-4012.315,-5936.546,-51.496,-8138.514,-21313.98,-6270.481,-611.452,-4902.971,-3788.263,-3731.716,63.043,-618.2442,-1309.583,-3926.209,-2622.059,-2247.385,-5885.409,-10002.58
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,7.7118,10.913,1.7358,12.8497,12.5555,7.4109,6.1141,9.1993,13.234,8.8241,4.573,-4.1984,13.0928,7.5055,14.0404,19.4123,28.3247,29.0275,36.7573,47.8205,47.6851,-37.5508,32.3332,33.1466,12.2256,-74.4961,4.6746,89.6823,-7.5423,0.6829,-9003.927,-5813.353,-6966.524,-18487.25,-30264.34,-9278.869,-22578.39,,-462.3246,-3053.269,-60718.23,-4012.314,-5919.524,-32.2845,-8009.882,-23379.59,-5756.843,-508.5142,-4037.275,-3456.368,-3442.179,64.0369,-530.9576,-1269.551,-3812.627,-2522.11,-2127.542,-5661.867,-9661.028
net-profit-margin,7.5871,12.1144,0.832,9.2591,9.9343,5.875,4.8125,-20.3633,9.7999,5.9892,3.1451,-2.8818,6.6009,3.59,6.5483,16.0743,22.827,18.2978,23.1183,99.6578,38.3102,-35.5499,30.5074,32.5864,15.1991,-113.0202,-42.1431,58.2518,-57.6827,-21.2791,-9003.927,-5813.353,-6966.524,-18487.25,-30264.34,-9278.869,-22578.39,,-462.3246,-3053.269,-60718.23,-4012.314,-5919.524,-32.2845,-8009.882,-23379.59,-5756.842,-508.514,-3866.015,-3456.368,-3590.377,64.0369,-530.9576,-1269.551,-3812.627,-2522.111,-2127.542,-5661.867,-9661.028
asset-turnover,0.1124,0.1216,0.1218,0.1327,0.1154,0.1114,0.1112,0.1147,0.13,0.1246,0.1026,0.1183,0.1206,0.1017,0.0705,0.0632,0.0705,0.0722,0.0707,0.081,0.1615,0.0697,0.1128,0.2367,0.181,0.1477,0.1573,0.7299,0.1165,0.1097,0.0021,0.0018,0.0024,0.0019,0.001,0.0032,0.0013,,0.0482,0.0292,0.0007,0.0121,0.0052,0.2042,0.0041,0.0011,0.0022,0.0105,0.0013,0.002,0.0027,0.6275,0.0131,0.0357,0.0113,0.0101,0.0081,0.0036,0.0019
inventory-turnover,0.3249,0.3451,0.3503,0.4971,0.3901,0.4395,0.6034,0.5419,0.5478,0.4993,0.357,0.6457,0.5898,0.4708,0.2449,0.2644,0.2372,0.2473,0.2562,0.4886,0.4167,0.3581,0.5151,0.7632,0.9647,0.8399,,1.682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,0.7261,0.7127,0.7846,0.8809,0.7495,0.8423,0.8482,0.8043,0.7747,0.8064,0.7844,0.8324,0.8114,0.8812,0.9143,0.8223,0.9227,1.0337,1.0822,1.2162,1.1933,0.8528,0.9993,0.8417,0.8235,0.9571,,1.8472,,,,,,,,,,,17.1745,16.4587,0.2742,0.9815,0.1918,15.7099,0.9961,1.215,2.0848,22.6011,0.0122,0.0194,0.0144,1.3356,,,,,,,
