,2019-07-31,2019-04-30,2019-01-31,2018-10-31,2018-07-31,2018-04-30,2018-01-31,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-07-31,2016-04-30,2016-01-31,2015-10-31,2015-07-31,2015-04-30,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-04-30,2013-01-31,2012-10-31,2012-07-31,2012-04-30,2012-01-31,2011-10-31,2011-07-31,2011-04-30,2011-01-31,2010-10-31,2010-07-31,2010-04-30,2010-01-31,2009-10-31,2009-07-31,2009-04-30,2009-01-31,2008-10-31,2008-07-31,2008-04-30,2008-01-31,2007-10-31,2007-07-31,2007-04-30,2007-01-31,2006-10-31,2006-07-31,2006-04-30,2006-01-31,2005-10-31,2005-07-31,2005-04-30,2005-01-31
current-ratio,2.1313,3.4097,3.39,3.2861,3.6164,3.315,3.2307,3.3009,3.22,3.2013,3.3379,3.8466,3.0669,3.0786,3.5892,3.7766,4.0774,3.8925,3.9375,3.2559,3.0614,3.128,3.275,3.1105,2.9574,2.5252,2.5525,2.4453,2.0148,3.2752,3.3519,3.0316,3.4704,3.201,3.2703,2.001,1.9661,2.1085,2.1652,3.5272,2.9233,2.6233,2.6619,2.3925,1.7533,1.7034,1.896,2.2075,2.1728,2.4395,2.7325,2.5735,2.5128,2.565,2.8259,2.297,2.7815,2.7269,2.6251
long-term-debt-capital,0.2142,0.2597,0.2631,0.2824,0.2826,0.2805,0.2845,0.2714,0.2809,0.2917,0.2953,0.3096,0.2754,0.2842,0.2899,0.2841,0.2873,0.2847,0.2811,0.2387,0.2789,0.3236,0.331,0.3379,0.3606,0.2841,0.2829,0.2894,0.2602,0.2896,0.3001,0.3092,0.3405,0.3512,0.3904,0.4036,0.4365,0.3461,0.3518,0.536,0.4638,0.471,0.4559,0.4537,0.1594,0.1646,0.1648,0.3922,0.3133,0.2967,0.2909,0.2914,0.2834,0.2691,0.264,,0.2256,0.2291,0.2338
debt-equity-ratio,0.3788,0.3508,0.357,0.3936,0.3938,0.4581,0.4739,0.4159,0.4513,0.467,0.4633,0.4484,0.4342,0.4535,0.4281,0.3969,0.4031,0.398,0.391,0.3135,0.3929,0.4784,0.4948,0.5103,0.5639,0.4439,0.4412,0.4555,0.4543,0.4607,0.4848,0.5063,0.5162,0.5413,0.6406,1.1406,1.3089,1.0995,1.1205,1.1555,0.865,0.8905,0.8573,0.8304,0.7268,0.7522,0.67,0.6453,0.4562,0.4219,0.4102,0.4112,0.3956,0.3682,0.3587,,0.2913,0.2972,0.3052
gross-margin,54.3171,54.0388,55.0623,55.255,54.7797,53.3168,55.3262,54.4155,53.5009,53.7205,53.7957,52.9253,51.9157,52.0118,52.2374,51.6908,50.5917,49.8442,50.0,49.6953,49.7522,49.0891,50.5952,52.8522,51.816,51.4434,52.381,52.1788,51.6541,52.9717,53.4557,53.2986,52.7499,53.6673,53.7196,52.9188,52.3844,55.9402,54.4106,54.3273,50.9934,48.5793,50.5146,56.0432,55.6094,55.4258,54.2714,54.6335,55.1674,55.303,53.9844,54.8946,55.3672,51.7353,51.5853,56.3484,47.9871,50.0783,48.7624
operating-margin,17.6609,17.4475,19.4704,20.711,18.3707,17.4129,18.91,19.5963,18.0431,18.2396,19.3065,16.4717,13.9847,12.8557,15.0778,15.0725,14.2012,11.1111,11.2086,9.6399,12.9832,9.5142,12.3016,16.5891,14.2857,12.2979,12.9167,15.7329,15.6703,17.311,16.5749,18.1134,16.6174,15.8617,13.8907,12.8807,8.3092,12.1164,7.7494,6.084,-0.0946,-4.308,2.0583,17.0155,15.097,13.1181,9.6195,13.1397,12.2271,9.9242,7.4219,11.2199,14.6893,7.9096,2.9991,10.5981,2.818,3.2864,3.1353
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,17.4254,17.6091,19.3146,18.8563,20.1164,18.8226,19.2403,19.0076,17.325,17.3321,18.0881,13.5914,12.8353,11.4818,13.8132,13.8164,12.6233,9.9688,11.0137,4.7091,8.4242,6.9838,9.623,14.7846,12.8329,11.4319,11.6071,14.4878,13.8131,16.9071,15.6575,16.956,16.6174,15.5039,13.0349,15.4188,16.4017,10.9363,6.8425,6.7695,-3.8789,-5.3162,2.3156,17.3531,14.8892,13.4615,10.5528,13.9004,13.8282,11.8182,9.6094,13.0271,18.3212,11.6223,7.1123,12.1721,4.8309,4.4601,4.7855
net-profit-margin,14.9922,14.7011,39.2523,15.0696,19.6176,16.9983,-26.4244,14.8865,15.7092,14.882,15.7451,11.3411,11.8774,8.9303,11.7704,13.5266,10.9468,9.0343,6.1404,0.8864,14.5689,14.0688,19.3452,12.2817,10.1695,9.5843,10.6548,24.0521,14.1033,14.7144,14.0673,16.7245,19.5151,11.9261,12.7057,18.5279,14.8121,8.4972,6.5128,2.1422,-1.7975,-9.2576,5.4889,15.5976,11.7036,11.8819,8.6145,12.4481,13.4643,9.3182,11.7188,11.2199,18.3212,9.2817,241.3025,2.6233,8.3736,7.4335,8.4984
asset-turnover,0.1477,0.1372,0.1434,0.1515,0.1441,0.1373,0.1392,0.1411,0.1349,0.1375,0.1355,0.1425,0.135,0.1334,0.1408,0.1384,0.1398,0.1299,0.1365,0.1669,0.0972,0.0896,0.0948,0.1608,0.1607,0.1636,0.1577,0.1677,0.1766,0.1841,0.1797,0.1908,0.1932,0.1939,0.1888,0.1625,0.1521,0.1636,0.1602,0.1533,0.1608,0.1659,0.1628,0.2114,0.1915,0.1897,0.1868,0.1914,0.1956,0.1812,0.178,0.1802,0.1603,0.1538,0.1454,0.1412,0.1689,0.1758,0.1695
inventory-turnover,0.8818,0.8661,0.8836,0.9075,0.8732,0.9478,0.8898,0.9426,0.9152,0.9307,0.8947,0.9812,0.9245,0.8811,0.8863,0.9242,0.9193,0.8687,0.9161,1.5819,0.4613,0.4573,0.4577,0.7598,0.7552,0.8071,0.7692,0.8333,0.8041,0.8606,0.8122,0.8987,0.8907,0.9109,0.8821,1.0363,0.9578,1.0256,1.0091,0.9656,0.9072,0.9227,0.8809,1.0077,0.951,0.9629,0.9451,1.0202,0.9139,0.9077,0.909,0.9553,0.7844,0.8387,0.7635,0.6797,0.6902,0.666,0.5988
receiveable-turnover,1.4883,1.5116,1.5414,1.6675,1.6412,1.5995,1.6125,1.6423,1.6431,1.6278,1.634,1.7607,1.7695,1.6927,1.6661,1.7079,1.7363,1.6719,1.6683,2.8834,1.1324,1.0941,1.1873,1.911,1.888,1.8908,1.9222,1.9144,1.8137,1.9065,2.0086,2.0093,1.8441,1.8268,1.7787,1.8136,1.7519,1.8999,1.9315,1.9613,1.943,1.9174,1.8508,1.9234,1.8975,1.8407,1.9187,1.9673,1.8618,1.8384,1.9076,1.9191,1.4525,1.4663,1.5117,1.4056,1.2857,1.3257,1.2812
days-sales-in-receivables,60.471,59.5396,58.3879,53.9722,54.8379,56.2687,55.8134,54.8024,54.7756,55.2904,55.0797,51.1161,50.8621,53.1698,54.0175,52.6957,51.8343,53.8318,53.9474,31.2133,79.4747,82.2571,75.8036,47.0955,47.6695,47.5982,46.8214,47.0119,49.6228,47.2072,44.8073,44.7917,48.8054,49.2666,50.5991,49.6256,51.3728,47.3722,46.5952,45.8869,46.3198,46.9386,48.6278,46.7927,47.4308,48.8942,46.906,45.7469,48.3406,48.9546,47.1797,46.8976,61.9613,61.3801,59.5373,64.0294,70.0,67.8873,70.2475
roe,4.0236,3.5512,10.0079,4.266,5.1664,4.4401,-7.0703,3.6608,3.7953,3.7486,3.907,2.9675,2.8532,2.1849,2.9891,3.3573,2.7521,2.211,2.1934,0.3017,1.117,0.7106,2.2214,3.9894,3.5073,3.1274,3.3452,8.1967,4.9867,5.3968,5.1122,6.696,7.8571,5.0492,5.7802,9.0235,7.2954,4.1033,3.0408,0.9944,-0.7634,-4.1753,2.4893,9.027,5.3061,5.4816,3.7819,5.5659,5.6265,3.4599,4.1017,3.4539,5.6962,2.9701,23.2903,0.8086,1.3678,1.3699,1.3535
return-on-tangible-equity,16.9176,12.339,37.6963,17.6152,21.0714,12.1662,-20.6186,9.4805,10.7759,11.4365,12.6697,9.5963,8.992,8.1323,11.4475,10.3017,8.9968,7.0552,6.9977,0.7449,3.369,2.3028,7.7021,15.9125,19.7647,12.7008,14.7812,39.5717,28.9976,9.327,9.2481,12.4569,15.2919,10.4548,13.5534,22.7061,22.8285,5.8002,4.406,1.4775,-1.1384,-6.3843,3.7669,13.7092,7.3414,7.5579,5.1458,7.2058,7.2379,4.0487,4.7771,3.9623,6.5237,3.3677,25.5845,0.8833,1.5486,1.5538,1.5413
roa,2.2145,2.0173,5.63,2.2831,2.8267,2.3338,-3.679,2.1006,2.1184,2.0459,2.1341,1.6166,1.6033,1.1911,1.6571,1.8719,1.5584,1.2412,1.2369,0.1479,0.6069,0.3628,1.1374,1.9745,1.6346,1.568,1.6803,4.0338,2.4905,2.709,2.5278,3.1909,3.7701,2.3124,2.3993,3.0116,2.2527,1.3905,1.043,0.3284,-0.2891,-1.5359,0.8936,3.2967,2.2411,2.2544,1.6088,2.3828,2.6338,1.6889,2.0854,1.7099,2.7947,1.5018,12.1356,0.4888,0.7345,0.7292,0.7133
roi,3.1617,2.6289,7.3749,3.0612,3.7066,3.1946,-5.0585,2.6673,2.7293,2.655,2.7532,2.0488,2.0674,1.5638,2.1224,2.4034,1.9615,1.5816,1.5768,0.2297,0.8055,0.4807,1.4861,2.6415,2.2427,2.239,2.3988,5.8243,3.6891,3.834,3.5781,4.6255,5.1822,3.276,3.5238,5.3815,4.1107,2.6832,1.9711,0.4614,-0.4093,-2.2086,1.3545,4.9317,4.4603,4.5791,3.1587,3.3828,3.8638,2.4332,2.9087,2.4476,4.0816,2.1708,17.1419,0.8086,1.0592,1.056,1.037
