,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
current-ratio,2.7794,1.8296,2.0871,2.5991,2.6208,2.6329,2.5746,2.7979,3.0117,2.7207,2.3958,2.5284,1.8327,2.097,2.0515,1.8622,2.2967,1.6026,1.6833,1.6078,1.6371,1.6631,1.9426,1.9209,2.6982,1.8447,1.9458,2.0424,1.6526,1.6712,1.7809,1.9212,1.9372,1.9956,1.977,1.9386,1.8054,1.8709,1.8528,2.3253,2.0831,2.1429,1.9664,2.2374,2.2278,2.1672,1.9819,1.7999,1.8948,1.9244,1.9307,2.162,1.8328,1.7884,1.2283,1.4233,1.3389,1.2313
long-term-debt-capital,0.4188,0.3354,0.3076,0.2766,0.2827,0.2808,0.2779,0.2698,0.2737,0.243,0.2513,0.2465,0.1975,0.1865,0.3067,0.3258,0.6004,0.5131,0.4734,0.4792,0.4643,0.4637,0.4892,0.5276,0.5411,0.4242,0.4443,0.4385,0.4013,0.3878,0.4102,0.3821,0.3767,0.3843,0.391,0.392,0.4017,0.3785,0.3168,0.3613,0.3466,0.3737,0.3483,0.3109,0.3053,0.2807,0.2781,0.2434,0.2347,0.2434,0.2904,0.2972,0.2767,0.2837,0.3596,0.4074,0.4192,0.4297
debt-equity-ratio,0.7212,0.6088,0.4449,0.3827,0.3944,0.3907,0.3853,0.3698,0.3772,0.3213,0.336,0.3278,0.3723,0.3722,0.734,0.8577,1.7726,1.3728,1.107,1.0999,1.0175,1.0001,1.0801,1.1704,1.2351,0.838,0.8498,0.8271,0.8037,0.748,0.7608,0.6317,0.6074,0.6275,0.6455,0.722,0.7848,0.7138,0.5594,0.5702,0.5657,0.6349,0.597,0.4845,0.448,0.4105,0.4466,0.4085,0.4062,0.4119,0.4466,0.443,0.4022,0.4185,0.7765,0.9968,1.0663,1.1469
gross-margin,40.8099,41.0334,41.9571,44.6693,43.5961,41.6138,41.9611,41.7436,43.4549,42.1818,41.8904,41.8687,37.6016,40.6316,41.1833,41.5762,41.2525,42.4053,43.2772,44.0384,47.4001,49.1424,46.1823,51.3747,52.8482,50.9281,49.6713,52.0564,52.4076,50.5903,49.1096,50.9054,51.8948,51.0049,46.255,51.4578,51.2837,35.6338,50.9222,51.8919,52.4496,52.6912,51.1658,48.2704,51.0191,47.9666,49.3519,50.0364,49.2047,47.3271,47.5932,47.5166,43.6014,43.6696,43.2758,42.1184,40.2018,40.663
operating-margin,12.5,14.5897,14.0092,13.914,13.5116,16.1375,10.4903,11.0824,13.3205,14.2626,11.4556,7.2713,2.6306,7.9158,6.8383,3.6992,3.5152,3.8285,6.8483,8.0103,15.8642,17.4636,12.633,17.628,22.5675,20.7367,14.9471,22.3469,21.7525,20.4546,17.3901,21.4142,23.5011,22.6858,14.9514,24.2556,21.8535,4.5439,21.1239,23.275,23.9193,23.5482,22.421,19.3589,22.0132,19.1171,20.2725,18.5455,20.9968,19.5888,18.8925,19.7106,16.1193,16.1063,17.0614,16.0968,14.2026,14.8133
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,12.7817,14.8556,15.6635,14.6729,14.2153,16.3616,10.5624,10.713,11.7466,13.2525,10.5482,5.0039,47.118,140.1684,7.8755,-1.3269,4.3636,6.159,3.9082,7.4566,14.4921,16.9699,12.124,17.8976,20.2508,20.0986,14.9471,22.0305,22.8723,21.6057,15.2476,20.8968,22.7093,22.2594,13.3505,19.8821,20.9768,3.8264,20.6052,20.9221,23.1828,22.5567,21.9419,17.8356,21.1979,18.6653,20.2061,17.5636,17.9569,19.7757,18.6392,18.7329,15.0245,14.6949,15.4155,14.5955,15.9876,12.5053
net-profit-margin,12.0775,13.1839,12.2492,19.6603,12.069,14.5312,-2.5595,9.2723,10.1727,10.9899,9.1871,5.0821,46.8859,142.3158,7.8755,0.0402,13.4141,17.8943,34.17,17.2758,12.5181,14.4491,7.5428,14.6631,16.0807,16.0093,14.1183,16.7673,18.505,17.3554,12.8826,16.5565,17.3925,17.3569,12.0926,16.2841,16.7502,-2.1524,16.4842,16.8522,18.796,18.272,18.1731,14.9794,17.0586,14.9114,15.8857,14.3636,15.2351,15.0654,15.6352,14.6265,11.6648,11.7061,11.7222,4.8374,12.4952,9.4838
asset-turnover,0.1619,0.161,0.1816,0.1642,0.1714,0.1585,0.1621,0.1543,0.1536,0.1581,0.1701,0.162,0.1617,0.1369,0.1242,0.1233,0.0825,0.0967,0.1067,0.106,0.1621,0.1523,0.1713,0.1469,0.1545,0.1697,0.1716,0.1754,0.1936,0.1804,0.1884,0.195,0.1993,0.1886,0.2,0.1836,0.1937,0.1705,0.2,0.1855,0.1984,0.1889,0.2032,0.2072,0.2061,0.1922,0.1967,0.1944,0.193,0.1847,0.1881,0.1835,0.2037,0.1885,0.1957,0.174,0.1891,0.1726
inventory-turnover,0.9567,0.8864,0.9976,0.8912,0.9883,0.9886,1.0915,1.0174,0.9659,0.9669,1.0748,0.9483,1.0138,0.8383,0.9545,0.8567,0.3784,0.3953,1.0032,0.4093,0.5696,0.5221,0.6648,0.5038,0.5637,0.571,0.6283,0.5888,0.6227,0.6116,0.696,0.6517,0.6424,0.6393,0.7929,0.626,0.6527,0.7606,0.666,0.5757,0.595,0.5518,0.6476,0.6468,0.6075,0.5903,0.653,0.5922,0.6574,0.6649,0.7009,0.6424,0.7396,0.6765,0.734,0.7125,0.7927,0.6717
